,theta_0_1_2,theta_1_2_3,theta_2_3_4,theta_0_5_6,theta_5_6_7,theta_6_7_8,theta_0_9_10,theta_9_10_11,theta_10_11_12,theta_0_13_14,theta_13_14_15,theta_14_15_16,theta_0_17_18,theta_17_18_19,theta_18_19_20
A,-0.24370379465089426,4.455644336358319,0.9275596855142004,-1.9201250088146489,-2.3091839377712335,1.8701772459758101,0.47914778482383297,-0.7315404121733088,0.6690669340391301,1.937800399942037,-0.30614311525742366,0.4337492852473775,-0.1449125129688063,-2.7430274381694026,-0.43344015786058515
B,-1.0183089707170034,-0.7275512971070385,-0.5452508721239077,-0.3553745426237824,1.0703730751681526,1.061606430293601,0.4094318503667153,0.6768116126557073,0.5146820736296573,0.4122080358549347,1.7692666243260222,0.5272799366099999,0.014199054069015093,2.71695277304809,0.7417680154711106
C,-1.24649468578545,1.4839476719972935,0.4397620458066725,0.6153058974800976,0.6321147801635945,-1.2483202943259828,0.8709959132090659,0.6507293993927615,-1.6608117168448775,1.0312989418917329,1.094457804195583,-0.2662208234476677,0.9886252326991369,1.1434989054760538,-0.26575447938846297
D,-0.06675961548606538,-2.1588645350560904,-0.5222337836057462,2.2349298796855863,2.1989240392948703,1.017871439479157,0.09759270348037354,-2.1407820930151265,-0.778138258962257,1.3205963028481968,-0.08606695524353826,0.1729009566273117,0.9280372411155606,-0.23509346413621174,-0.15257450523606633
E,-2.4650357656730026,-4.656520069334179,-3.1392924750258,1.6041466381887282,-1.3199927942289744,-1.8009522574312893,1.922165243587822,-0.6512545491075773,-0.5486898804798377,2.1829206273924813,0.12458740081734522,0.4850224679871914,-0.06104718207112343,-1.6667548498218714,-0.6023624924103327
F,1.7226613747064887,1.1002116176753851,-0.39711557658835095,-0.28727979286594585,-0.3453190041666609,-1.3243252827025187,0.3445480597491154,1.1895601284358739,1.127214934792985,0.6513804528613866,1.6438966319858481,0.7559122289414473,0.2523975847439769,0.860572877362552,0.7675710771208797
G,-2.064088079131528,3.0035102814748322,-1.0929826120678843,-2.1203952623262214,1.2022098445510703,1.3686591839156597,-2.085836314323982,0.009227159347559653,-1.4765407142209697,-1.8193514076683344,0.32135905508256124,-1.901496321580545,-0.42953889152239405,0.11132932884870585,-1.580202635116631
H,-1.1326169768208338,0.8148514537061582,-1.2751583848358976,-2.298877603433044,0.6559892658518925,0.6356222308458517,-1.2591633927133405,1.6380069921940137,2.212293473846529,-0.7264154695260285,-0.6973785193909231,-0.850781579778008,-0.43533063906441366,-0.6440825872511767,-1.3309795871764056
I,-1.689922517678847,0.05352082358589058,-0.04545635413471375,-1.743857507375718,-0.8425573168102716,-2.238169711079882,-1.9703913403192241,-0.3844669594767841,0.4783626167325955,0.0875713001242272,-1.126924219374514,-0.15153047414035317,0.1813392595689836,2.6293765703273206,1.8342050815694353
J,-0.25298440817258927,-2.206768629663856,-1.5673678870063197,1.5248860110866702,-0.805499217229198,2.013008399254466,2.576048416131023,-0.7321142559371087,-0.9576364949636803,1.5680049721505824,-0.638213244745616,0.46148829524342294,0.4253475779855637,2.7521341221609017,-0.8244084598163001
