class,feature,coefficient,abs_coefficient
U,theta_0_17_18,5.029408856248851,5.029408856248851
Q,theta_0_1_2,4.748785618918884,4.748785618918884
E,theta_1_2_3,-4.656520069334179,4.656520069334179
A,theta_1_2_3,4.455644336358319,4.455644336358319
S,theta_18_19_20,4.316100270071106,4.316100270071106
R,theta_0_9_10,4.056506091060953,4.056506091060953
S,theta_0_17_18,3.530466302474407,3.530466302474407
M,theta_18_19_20,-3.206062187708559,3.206062187708559
Q,theta_2_3_4,3.191700168846704,3.191700168846704
T,theta_5_6_7,-3.180863157041992,3.180863157041992
V,theta_0_5_6,3.1697880081758165,3.1697880081758165
E,theta_2_3_4,-3.1392924750258,3.1392924750258
N,theta_6_7_8,-3.0939087605565363,3.0939087605565363
U,theta_17_18_19,-3.0830234846913505,3.0830234846913505
S,theta_5_6_7,-3.0101088279222887,3.0101088279222887
W,theta_13_14_15,3.0074585427562686,3.0074585427562686
G,theta_1_2_3,3.0035102814748322,3.0035102814748322
P,theta_0_9_10,-2.979161446016465,2.979161446016465
K,theta_0_5_6,2.9746819868295193,2.9746819868295193
Y,theta_1_2_3,2.8297163310980458,2.8297163310980458
V,theta_0_1_2,-2.8132356835150167,2.8132356835150167
J,theta_17_18_19,2.7521341221609017,2.7521341221609017
A,theta_17_18_19,-2.7430274381694026,2.7430274381694026
B,theta_17_18_19,2.71695277304809,2.71695277304809
S,theta_14_15_16,-2.645069450334774,2.645069450334774
