class,feature,coefficient,abs_coefficient
A,theta_1_2_3,4.455644336358319,4.455644336358319
A,theta_17_18_19,-2.7430274381694026,2.7430274381694026
A,theta_5_6_7,-2.3091839377712335,2.3091839377712335
A,theta_0_13_14,1.937800399942037,1.937800399942037
A,theta_0_5_6,-1.9201250088146489,1.9201250088146489
A,theta_6_7_8,1.8701772459758101,1.8701772459758101
A,theta_2_3_4,0.9275596855142004,0.9275596855142004
A,theta_9_10_11,-0.7315404121733088,0.7315404121733088
A,theta_10_11_12,0.6690669340391301,0.6690669340391301
A,theta_0_9_10,0.47914778482383297,0.47914778482383297
B,theta_17_18_19,2.71695277304809,2.71695277304809
B,theta_13_14_15,1.7692666243260222,1.7692666243260222
B,theta_5_6_7,1.0703730751681526,1.0703730751681526
B,theta_6_7_8,1.061606430293601,1.061606430293601
B,theta_0_1_2,-1.0183089707170034,1.0183089707170034
B,theta_18_19_20,0.7417680154711106,0.7417680154711106
B,theta_1_2_3,-0.7275512971070385,0.7275512971070385
B,theta_9_10_11,0.6768116126557073,0.6768116126557073
B,theta_2_3_4,-0.5452508721239077,0.5452508721239077
B,theta_14_15_16,0.5272799366099999,0.5272799366099999
C,theta_10_11_12,-1.6608117168448775,1.6608117168448775
C,theta_1_2_3,1.4839476719972935,1.4839476719972935
C,theta_6_7_8,-1.2483202943259828,1.2483202943259828
C,theta_0_1_2,-1.24649468578545,1.24649468578545
C,theta_17_18_19,1.1434989054760538,1.1434989054760538
C,theta_13_14_15,1.094457804195583,1.094457804195583
C,theta_0_13_14,1.0312989418917329,1.0312989418917329
C,theta_0_17_18,0.9886252326991369,0.9886252326991369
C,theta_0_9_10,0.8709959132090659,0.8709959132090659
C,theta_9_10_11,0.6507293993927615,0.6507293993927615
D,theta_0_5_6,2.2349298796855863,2.2349298796855863
D,theta_5_6_7,2.1989240392948703,2.1989240392948703
D,theta_1_2_3,-2.1588645350560904,2.1588645350560904
D,theta_9_10_11,-2.1407820930151265,2.1407820930151265
D,theta_0_13_14,1.3205963028481968,1.3205963028481968
D,theta_6_7_8,1.017871439479157,1.017871439479157
D,theta_0_17_18,0.9280372411155606,0.9280372411155606
D,theta_10_11_12,-0.778138258962257,0.778138258962257
D,theta_2_3_4,-0.5222337836057462,0.5222337836057462
D,theta_17_18_19,-0.23509346413621174,0.23509346413621174
E,theta_1_2_3,-4.656520069334179,4.656520069334179
E,theta_2_3_4,-3.1392924750258,3.1392924750258
E,theta_0_1_2,-2.4650357656730026,2.4650357656730026
E,theta_0_13_14,2.1829206273924813,2.1829206273924813
E,theta_0_9_10,1.922165243587822,1.922165243587822
E,theta_6_7_8,-1.8009522574312893,1.8009522574312893
E,theta_17_18_19,-1.6667548498218714,1.6667548498218714
E,theta_0_5_6,1.6041466381887282,1.6041466381887282
E,theta_5_6_7,-1.3199927942289744,1.3199927942289744
E,theta_9_10_11,-0.6512545491075773,0.6512545491075773
F,theta_0_1_2,1.7226613747064887,1.7226613747064887
F,theta_13_14_15,1.6438966319858481,1.6438966319858481
F,theta_6_7_8,-1.3243252827025187,1.3243252827025187
F,theta_9_10_11,1.1895601284358739,1.1895601284358739
F,theta_10_11_12,1.127214934792985,1.127214934792985
F,theta_1_2_3,1.1002116176753851,1.1002116176753851
F,theta_17_18_19,0.860572877362552,0.860572877362552
F,theta_18_19_20,0.7675710771208797,0.7675710771208797
F,theta_14_15_16,0.7559122289414473,0.7559122289414473
F,theta_0_13_14,0.6513804528613866,0.6513804528613866
G,theta_1_2_3,3.0035102814748322,3.0035102814748322
G,theta_0_5_6,-2.1203952623262214,2.1203952623262214
G,theta_0_9_10,-2.085836314323982,2.085836314323982
G,theta_0_1_2,-2.064088079131528,2.064088079131528
G,theta_14_15_16,-1.901496321580545,1.901496321580545
G,theta_0_13_14,-1.8193514076683344,1.8193514076683344
G,theta_18_19_20,-1.580202635116631,1.580202635116631
G,theta_10_11_12,-1.4765407142209697,1.4765407142209697
G,theta_6_7_8,1.3686591839156597,1.3686591839156597
G,theta_5_6_7,1.2022098445510703,1.2022098445510703
H,theta_0_5_6,-2.298877603433044,2.298877603433044
H,theta_10_11_12,2.212293473846529,2.212293473846529
H,theta_9_10_11,1.6380069921940137,1.6380069921940137
H,theta_18_19_20,-1.3309795871764056,1.3309795871764056
H,theta_2_3_4,-1.2751583848358976,1.2751583848358976
H,theta_0_9_10,-1.2591633927133405,1.2591633927133405
