class,feature,coefficient,abs_coefficient
H,d3_4,-0.9727720422245999,0.9727720422245999
G,d5_13,-0.9467489985387207,0.9467489985387207
R,d6_10,-0.9103902021058259,0.9103902021058259
S,d7_8,-0.8699245878328153,0.8699245878328153
M,d2_4,-0.8599518854659535,0.8599518854659535
Q,d15_18,-0.8380991035688726,0.8380991035688726
Q,d0_5,0.8223872087601845,0.8223872087601845
Q,d1_17,-0.8158921734537299,0.8158921734537299
V,d9_14,-0.807466563906987,0.807466563906987
M,d2_3,-0.8012769251535927,0.8012769251535927
Q,d1_18,-0.757550614275934,0.757550614275934
Q,d4_5,0.7560467456650849,0.7560467456650849
J,d2_3,-0.7423087107345088,0.7423087107345088
G,d3_6,-0.7321968628214796,0.7321968628214796
G,d5_20,-0.7255123171865131,0.7255123171865131
G,d5_9,-0.7240064665538263,0.7240064665538263
Q,d3_5,0.7224409172573505,0.7224409172573505
Q,d6_7,0.7111966928528921,0.7111966928528921
Q,d16_18,-0.7094504225327063,0.7094504225327063
G,d5_17,-0.7011237254142768,0.7011237254142768
Q,d1_13,-0.6928595284426208,0.6928595284426208
V,d0_2,-0.6910358016969934,0.6910358016969934
S,d11_12,-0.6884606316026678,0.6884606316026678
T,d6_7,-0.6833664005458154,0.6833664005458154
G,d1_17,0.6829226087155452,0.6829226087155452
