class,feature,coefficient,abs_coefficient
A,d0_3,0.3708122814166753,0.3708122814166753
A,d1_3,0.35139696749004096,0.35139696749004096
A,d1_4,0.34557309811049536,0.34557309811049536
A,d0_4,0.3442286126794783,0.3442286126794783
A,d0_2,0.3041166242650437,0.3041166242650437
A,d5_10,-0.28038178676093023,0.28038178676093023
A,d2_4,0.2800764406622774,0.2800764406622774
A,d0_17,0.27924698766433614,0.27924698766433614
A,d1_2,0.2754175081407036,0.2754175081407036
A,d0_13,0.26441317020584687,0.26441317020584687
B,d14_20,-0.3917923861700346,0.3917923861700346
B,d14_19,-0.2927184678824904,0.2927184678824904
B,d10_20,-0.2622736311216761,0.2622736311216761
B,d17_20,0.2343149568092211,0.2343149568092211
B,d15_20,-0.23124613693995497,0.23124613693995497
B,d16_17,0.22611232075850782,0.22611232075850782
B,d13_16,0.20213114805025767,0.20213114805025767
B,d15_17,0.19906340866971595,0.19906340866971595
B,d0_16,0.18103343040344244,0.18103343040344244
B,d13_18,-0.17912769153442556,0.17912769153442556
C,d6_17,-0.20353675089643536,0.20353675089643536
C,d2_6,0.1973288210898598,0.1973288210898598
C,d6_13,-0.18606447314030164,0.18606447314030164
C,d2_10,0.18156747746154267,0.18156747746154267
C,d3_6,0.179177721792204,0.179177721792204
C,d0_5,-0.1761788898488318,0.1761788898488318
C,d3_10,0.17252711967870604,0.17252711967870604
C,d6_18,-0.16672806425851616,0.16672806425851616
C,d5_10,0.15927245577773982,0.15927245577773982
C,d4_6,0.14889521938856348,0.14889521938856348
D,d4_12,-0.35684663125801763,0.35684663125801763
D,d18_19,-0.3100118253205184,0.3100118253205184
D,d12_17,-0.2699475804983773,0.2699475804983773
D,d12_13,-0.2647312129618609,0.2647312129618609
D,d10_11,-0.2644574722760927,0.2644574722760927
D,d4_5,-0.25837304447464216,0.25837304447464216
D,d15_16,0.2573715686844959,0.2573715686844959
D,d11_14,-0.25495096630897723,0.25495096630897723
D,d8_12,0.25415022633228807,0.25415022633228807
D,d14_17,0.21625235133971177,0.21625235133971177
E,d0_10,0.40953790605638274,0.40953790605638274
E,d14_17,0.3998476679393561,0.3998476679393561
E,d0_14,0.39707763106639093,0.39707763106639093
E,d19_20,0.3821220060916753,0.3821220060916753
E,d15_16,0.3497909044336523,0.3497909044336523
E,d14_20,0.32236586388229355,0.32236586388229355
E,d13_14,0.3103132705744904,0.3103132705744904
E,d0_13,0.2933296232090698,0.2933296232090698
E,d4_6,0.2886910457486998,0.2886910457486998
E,d10_13,0.2804214984035659,0.2804214984035659
F,d14_18,0.18284761630440396,0.18284761630440396
F,d3_20,0.16216589954145633,0.16216589954145633
F,d4_20,0.15476148040163698,0.15476148040163698
F,d4_8,-0.15435491923781353,0.15435491923781353
F,d15_18,0.1529462529744838,0.1529462529744838
F,d6_7,-0.14986481524219095,0.14986481524219095
F,d2_3,-0.14649354899692762,0.14649354899692762
F,d3_19,0.14245690296254784,0.14245690296254784
F,d4_19,0.1424107857785121,0.1424107857785121
F,d16_17,0.14221991546071094,0.14221991546071094
G,d5_13,-0.9467489985387207,0.9467489985387207
G,d3_6,-0.7321968628214796,0.7321968628214796
G,d5_20,-0.7255123171865131,0.7255123171865131
G,d5_9,-0.7240064665538263,0.7240064665538263
G,d5_17,-0.7011237254142768,0.7011237254142768
G,d1_17,0.6829226087155452,0.6829226087155452
G,d15_18,0.6290764196318132,0.6290764196318132
G,d1_13,0.6081576172187194,0.6081576172187194
G,d1_2,0.6050143245734059,0.6050143245734059
G,d14_19,-0.5987058432849746,0.5987058432849746
H,d3_4,-0.9727720422245999,0.9727720422245999
H,d0_17,-0.5581640056852688,0.5581640056852688
H,d2_4,-0.4164035139540208,0.4164035139540208
H,d0_13,-0.398154396630502,0.398154396630502
H,d4_10,-0.36884695608817797,0.36884695608817797
H,d5_14,0.3539485292515856,0.3539485292515856
H,d15_17,-0.3450735621961526,0.3450735621961526
H,d0_1,0.323011260224241,0.323011260224241
H,d8_10,-0.3126263675892965,0.3126263675892965
H,d7_10,-0.3064984633074833,0.3064984633074833
I,d2_3,0.6697116381021768,0.6697116381021768
I,d2_4,0.5830788747674451,0.5830788747674451
I,d14_18,-0.5507760749218047,0.5507760749218047
I,d10_17,-0.46547217450183426,0.46547217450183426
I,d10_13,-0.4449194011772386,0.4449194011772386
I,d9_14,0.42819243720854355,0.42819243720854355
I,d6_13,-0.4216859786729742,0.4216859786729742
I,d1_4,0.39688360541145334,0.39688360541145334
I,d10_18,-0.34294584216324264,0.34294584216324264
I,d6_17,-0.34220146498696224,0.34220146498696224
J,d2_3,-0.7423087107345088,0.7423087107345088
J,d2_4,-0.5687796038451192,0.5687796038451192
J,d1_4,-0.5450304635651833,0.5450304635651833
J,d0_4,-0.5276590546074037,0.5276590546074037
J,d4_12,-0.4665717363827652,0.4665717363827652
J,d4_16,-0.437838130776576,0.437838130776576
J,d1_3,-0.42427486021626787,0.42427486021626787
J,d10_17,0.4199623744297067,0.4199623744297067
J,d4_5,-0.41316583906944804,0.41316583906944804
J,d4_9,-0.4130291306343499,0.4130291306343499
K,d0_1,-0.6100554445771558,0.6100554445771558
K,d0_5,-0.5892284909728807,0.5892284909728807
K,d3_4,0.5563153565350504,0.5563153565350504
K,d0_2,-0.4450757863596826,0.4450757863596826
K,d2_4,0.411118086522887,0.411118086522887
K,d0_9,-0.4063350901310705,0.4063350901310705
K,d0_6,-0.3823573453879514,0.3823573453879514
K,d1_5,-0.36098216435780267,0.36098216435780267
K,d7_10,0.32180355206605543,0.32180355206605543
K,d14_17,-0.30973554909248907,0.30973554909248907
L,d4_10,0.2879406243671243,0.2879406243671243
L,d4_14,0.28498992857545175,0.28498992857545175
L,d4_17,0.27703879204244874,0.27703879204244874
L,d4_18,0.2768445646345281,0.2768445646345281
L,d13_18,-0.2752526781987175,0.2752526781987175
L,d4_13,0.27074575815175117,0.27074575815175117
L,d4_9,0.2518478666972301,0.2518478666972301
L,d4_15,0.23914619067469262,0.23914619067469262
L,d4_19,0.23506607757943615,0.23506607757943615
L,d3_17,0.23422119991619558,0.23422119991619558
M,d2_4,-0.8599518854659535,0.8599518854659535
M,d2_3,-0.8012769251535927,0.8012769251535927
M,d3_4,-0.6029284785263167,0.6029284785263167
M,d4_5,-0.484243475079928,0.484243475079928
M,d6_7,0.4673426086096059,0.4673426086096059
M,d10_11,0.43599207814227214,0.43599207814227214
M,d1_4,-0.38606186414887583,0.38606186414887583
M,d4_7,-0.35481346450978324,0.35481346450978324
M,d6_8,0.3410733156392396,0.3410733156392396
M,d18_19,0.3370194801484918,0.3370194801484918
N,d17_18,-0.4465491683397691,0.4465491683397691
N,d13_14,-0.43640518709527065,0.43640518709527065
N,d10_11,-0.35609156550798077,0.35609156550798077
N,d5_6,-0.33236463006050665,0.33236463006050665
N,d1_6,-0.3320120410950083,0.3320120410950083
N,d12_14,-0.32859815540820153,0.32859815540820153
N,d2_4,0.31074284486682213,0.31074284486682213
N,d10_16,0.3034974089402074,0.3034974089402074
N,d1_2,-0.3011577661980465,0.3011577661980465
N,d4_5,0.29780104169827104,0.29780104169827104
O,d4_12,-0.24896050208770137,0.24896050208770137
O,d10_13,0.2408174502861208,0.2408174502861208
O,d6_9,0.2174082165358828,0.2174082165358828
O,d4_8,-0.20794901152905707,0.20794901152905707
O,d6_15,-0.20095649844465482,0.20095649844465482
O,d0_1,0.19991031933541212,0.19991031933541212
O,d6_13,0.19693462650776583,0.19693462650776583
O,d6_11,-0.18719166848838684,0.18719166848838684
O,d13_14,0.18457370256699743,0.18457370256699743
O,d9_10,0.18323519098992597,0.18323519098992597
P,d6_7,0.6579095097227783,0.6579095097227783
P,d6_8,0.6509640402021551,0.6509640402021551
P,d14_18,-0.46198425938591087,0.46198425938591087
P,d5_15,0.44494306898887304,0.44494306898887304
P,d7_8,0.44194554132171604,0.44194554132171604
P,d5_10,0.4382392375460448,0.4382392375460448
P,d2_13,-0.4368819116026794,0.4368819116026794
P,d5_14,0.42646025701119106,0.42646025701119106
P,d5_16,0.4256333211014925,0.4256333211014925
P,d10_17,-0.41703041186677714,0.41703041186677714
Q,d15_18,-0.8380991035688726,0.8380991035688726
Q,d0_5,0.8223872087601845,0.8223872087601845
Q,d1_17,-0.8158921734537299,0.8158921734537299
Q,d1_18,-0.757550614275934,0.757550614275934
Q,d4_5,0.7560467456650849,0.7560467456650849
Q,d3_5,0.7224409172573505,0.7224409172573505
Q,d6_7,0.7111966928528921,0.7111966928528921
Q,d16_18,-0.7094504225327063,0.7094504225327063
Q,d1_13,-0.6928595284426208,0.6928595284426208
Q,d14_19,0.5898535110887662,0.5898535110887662
R,d6_10,-0.9103902021058259,0.9103902021058259
R,d6_13,-0.625045413938457,0.625045413938457
R,d6_9,-0.5401546933651508,0.5401546933651508
R,d5_10,-0.5216314825439928,0.5216314825439928
R,d6_8,0.5106783734786658,0.5106783734786658
R,d0_9,0.5079910464439609,0.5079910464439609
R,d3_4,0.5030508215277837,0.5030508215277837
R,d0_5,0.4997809024174704,0.4997809024174704
R,d10_14,0.48115614565474135,0.48115614565474135
R,d6_11,-0.4596217829955214,0.4596217829955214
S,d7_8,-0.8699245878328153,0.8699245878328153
S,d11_12,-0.6884606316026678,0.6884606316026678
S,d17_19,-0.5528001228650584,0.5528001228650584
S,d15_16,-0.49750069191163304,0.49750069191163304
S,d13_20,-0.4175893976403327,0.4175893976403327
S,d6_7,0.3786680306367249,0.3786680306367249
S,d17_20,-0.3745212400767801,0.3745212400767801
S,d9_20,-0.36559168580914975,0.36559168580914975
S,d13_19,-0.36176718521998286,0.36176718521998286
S,d10_12,-0.34647100159910443,0.34647100159910443
T,d6_7,-0.6833664005458154,0.6833664005458154
T,d8_10,-0.5820822656157493,0.5820822656157493
T,d3_7,-0.42041173108342267,0.42041173108342267
T,d6_11,0.4192294210397848,0.4192294210397848
T,d2_4,0.4043969178706058,0.4043969178706058
T,d7_10,-0.3914806447475846,0.3914806447475846
T,d6_12,0.38163452280403637,0.38163452280403637
T,d4_6,-0.378538096541589,0.378538096541589
T,d3_5,-0.3754474578606941,0.3754474578606941
T,d6_13,0.37039007656593786,0.37039007656593786
U,d8_11,-0.6781387094304259,0.6781387094304259
U,d8_10,-0.6329930104761649,0.6329930104761649
U,d7_10,-0.6238394248114518,0.6238394248114518
U,d15_16,0.6209489332538702,0.6209489332538702
U,d1_5,-0.5542695423507061,0.5542695423507061
U,d19_20,0.553003713617434,0.553003713617434
U,d6_7,-0.5518397218455334,0.5518397218455334
U,d6_8,-0.5089794443593032,0.5089794443593032
U,d0_18,0.4942847841502053,0.4942847841502053
U,d4_12,0.4902692852269699,0.4902692852269699
V,d9_14,-0.807466563906987,0.807466563906987
V,d0_2,-0.6910358016969934,0.6910358016969934
V,d1_2,-0.6571552874846087,0.6571552874846087
V,d6_10,0.6533734383510796,0.6533734383510796
V,d7_10,0.599901959920395,0.599901959920395
V,d13_18,-0.5829120506689999,0.5829120506689999
V,d0_3,-0.5423074239703881,0.5423074239703881
V,d0_1,-0.5340984390400824,0.5340984390400824
V,d14_16,-0.5185475483039602,0.5185475483039602
V,d13_14,-0.5011726459566394,0.5011726459566394
W,d15_20,0.44346282005954535,0.44346282005954535
