class,feature,coefficient,abs_coefficient
R,x11_scale,0.5981380658434835,0.5981380658434835
U,theta_0_17_18,0.5797849464427283,0.5797849464427283
Q,y8_scale,0.5529072368999725,0.5529072368999725
R,x10_scale,0.5435176880643869,0.5435176880643869
Q,y7_scale,0.5359278110249853,0.5359278110249853
V,x11_scale,-0.5283070554229824,0.5283070554229824
V,x12_scale,-0.5038150930130388,0.5038150930130388
U,norm_d8_11,-0.4942243998223797,0.4942243998223797
R,x12_scale,0.492348380764095,0.492348380764095
S,norm_d11_12,-0.4764409863291832,0.4764409863291832
U,theta_2_3_4,-0.4731551616612687,0.4731551616612687
Q,y4_scale,0.4491518724193446,0.4491518724193446
U,norm_d7_10,-0.4465456023699059,0.4465456023699059
U,norm_d8_10,-0.4335345006126776,0.4335345006126776
R,norm_d6_10,-0.4332494891992565,0.4332494891992565
M,norm_d2_4,-0.4268281430300214,0.4268281430300214
Q,y3_scale,0.42251799884737395,0.42251799884737395
S,norm_d7_8,-0.41416115593106884,0.41416115593106884
U,norm_d1_5,-0.4104371561813066,0.4104371561813066
R,theta_0_5_6,-0.4086263196286821,0.4086263196286821
S,norm_d17_19,-0.4066048226622205,0.4066048226622205
G,y8_scale,-0.40585777692274766,0.40585777692274766
S,norm_d15_16,-0.3855698492457486,0.3855698492457486
U,norm_d9_19,-0.38493464665905497,0.38493464665905497
M,norm_d2_3,-0.3848948532264897,0.3848948532264897
