class,feature,coefficient,abs_coefficient
A,norm_d1_3,0.2628621848064879,0.2628621848064879
A,norm_d1_4,0.2613092114434163,0.2613092114434163
A,norm_d0_4,0.22067382714136388,0.22067382714136388
A,norm_d1_2,0.21331003898685408,0.21331003898685408
A,norm_d4_11,0.20628332741914443,0.20628332741914443
A,norm_d0_3,0.20032479645924822,0.20032479645924822
A,norm_d4_12,0.19864512384459784,0.19864512384459784
A,norm_d4_16,0.19236183576427976,0.19236183576427976
A,norm_d4_15,0.18823964937237117,0.18823964937237117
A,norm_d4_17,0.18427657101087927,0.18427657101087927
B,norm_d14_20,-0.24988356127681252,0.24988356127681252
B,norm_d14_19,-0.21309683265947282,0.21309683265947282
B,norm_d15_20,-0.19700579649962718,0.19700579649962718
B,norm_d10_20,-0.1888555659368558,0.1888555659368558
B,theta_17_18_19,0.18694492634229162,0.18694492634229162
B,norm_d17_20,0.1845811446274518,0.1845811446274518
B,norm_d11_20,-0.14979918417457402,0.14979918417457402
B,norm_d16_17,0.14331549715297123,0.14331549715297123
B,norm_d8_20,-0.14292733695269108,0.14292733695269108
B,norm_d7_20,-0.13837454583913422,0.13837454583913422
C,x9_scale,-0.13950582471080694,0.13950582471080694
C,norm_d2_6,0.12076242778846202,0.12076242778846202
C,norm_d3_10,0.11713647955577645,0.11713647955577645
C,norm_d3_6,0.11558375070639369,0.11558375070639369
C,norm_d2_10,0.11074360397109018,0.11074360397109018
C,y3_scale,0.104284331979843,0.104284331979843
C,x4_scale,0.10315064667827811,0.10315064667827811
C,norm_d6_17,-0.10292193080003186,0.10292193080003186
C,norm_d4_10,0.10228549279098703,0.10228549279098703
C,y2_scale,0.10103815928031369,0.10103815928031369
D,norm_d4_12,-0.3082741339315089,0.3082741339315089
D,norm_d12_17,-0.21539060761083662,0.21539060761083662
D,norm_d12_13,-0.19777672144441183,0.19777672144441183
D,theta_1_2_3,-0.19596116774420136,0.19596116774420136
D,norm_d11_14,-0.19363264944430997,0.19363264944430997
D,x8_scale,0.19113550900229806,0.19113550900229806
D,x7_scale,0.1897612417995499,0.1897612417995499
D,theta_0_5_6,0.1880820102034861,0.1880820102034861
D,norm_d12_18,-0.1763167995050975,0.1763167995050975
D,norm_d4_11,-0.1680799234429578,0.1680799234429578
E,theta_2_3_4,-0.36082085779488016,0.36082085779488016
E,norm_d14_17,0.35402076341560634,0.35402076341560634
E,norm_d19_20,0.3179623869849736,0.3179623869849736
E,norm_d15_16,0.3152136854260765,0.3152136854260765
E,norm_d4_10,0.2851288119091918,0.2851288119091918
E,norm_d0_14,0.28286439081594694,0.28286439081594694
E,norm_d1_10,0.25626779158047386,0.25626779158047386
E,norm_d4_6,0.25359105614515914,0.25359105614515914
E,norm_d1_14,0.250284229748198,0.250284229748198
E,norm_d13_14,0.23394644584893545,0.23394644584893545
F,norm_d4_8,-0.18312351965313972,0.18312351965313972
F,y7_scale,0.13200415387862077,0.13200415387862077
F,norm_d4_7,-0.13168754687863368,0.13168754687863368
F,theta_6_7_8,-0.12778413542458797,0.12778413542458797
F,norm_d1_6,-0.12473481956116445,0.12473481956116445
F,norm_d6_8,-0.12355934681971685,0.12355934681971685
F,norm_d2_3,-0.11965917819152519,0.11965917819152519
F,norm_d6_7,-0.11955747854001927,0.11955747854001927
F,norm_d3_8,-0.11498813126290322,0.11498813126290322
F,norm_d2_4,-0.11485454132772638,0.11485454132772638
G,y8_scale,-0.40585777692274766,0.40585777692274766
G,y4_scale,-0.3701789952719837,0.3701789952719837
G,y3_scale,-0.3512529160949922,0.3512529160949922
G,y7_scale,-0.3226468921844608,0.3226468921844608
G,norm_d5_13,-0.30160132929851674,0.30160132929851674
G,theta_0_1_2,-0.2981196485869813,0.2981196485869813
G,norm_d3_6,-0.24740176929387442,0.24740176929387442
G,norm_d5_9,-0.23702824483478532,0.23702824483478532
G,y17_scale,-0.2271263183618694,0.2271263183618694
G,norm_d3_10,-0.2234134718322607,0.2234134718322607
H,x11_scale,-0.30782122786831406,0.30782122786831406
H,x12_scale,-0.2977426943904992,0.2977426943904992
H,y17_scale,0.22739968328920573,0.22739968328920573
H,x10_scale,-0.2208953631383734,0.2208953631383734
H,y18_scale,0.21786076672838792,0.21786076672838792
H,y2_scale,-0.2067127275242326,0.2067127275242326
H,y1_scale,-0.1955534646226021,0.1955534646226021
H,y5_scale,-0.1909086579272596,0.1909086579272596
H,y6_scale,-0.1864854352263097,0.1864854352263097
H,x7_scale,-0.17006714366370151,0.17006714366370151
I,x5_scale,0.22363188604701953,0.22363188604701953
I,x20_scale,-0.20081501216652903,0.20081501216652903
I,x1_scale,0.1805930890523537,0.1805930890523537
I,norm_d9_20,0.17938557819965853,0.17938557819965853
I,x19_scale,-0.16981110852347867,0.16981110852347867
I,norm_d9_19,0.1664281389012433,0.1664281389012433
I,norm_d13_20,0.16407231265266659,0.16407231265266659
I,norm_d13_19,0.16287259934788004,0.16287259934788004
I,x2_scale,0.15859516092630171,0.15859516092630171
I,y7_scale,0.15072942643275986,0.15072942643275986
J,x1_scale,-0.30782949954860234,0.30782949954860234
J,x2_scale,-0.26549624305181274,0.26549624305181274
J,x5_scale,-0.2603136539257988,0.2603136539257988
J,x20_scale,0.25654773528531244,0.25654773528531244
J,x19_scale,0.22388060360534795,0.22388060360534795
J,y6_scale,-0.1857881728033012,0.1857881728033012
J,x18_scale,0.17816849961898493,0.17816849961898493
J,x14_scale,0.17415254430021365,0.17415254430021365
J,x0_scale,-0.1706795051660772,0.1706795051660772
J,norm_d4_16,-0.15846563968934468,0.15846563968934468
K,norm_d8_14,0.22245274404345194,0.22245274404345194
