class,feature,coefficient,abs_coefficient
R,norm_d6_10,-0.5456579292819712,0.5456579292819712
U,norm_d8_11,-0.4620316606617138,0.4620316606617138
H,norm_d3_4,-0.45617726765755034,0.45617726765755034
U,norm_d7_10,-0.4221803431240177,0.4221803431240177
U,norm_d8_10,-0.41588145927944736,0.41588145927944736
S,norm_d11_12,-0.3898998241990345,0.3898998241990345
M,norm_d2_4,-0.37385906123471163,0.37385906123471163
S,norm_d17_19,-0.3675688363624126,0.3675688363624126
U,norm_d1_5,-0.36363990105052973,0.36363990105052973
S,norm_d7_8,-0.3536495817413459,0.3536495817413459
U,norm_d5_15,-0.35236451956563697,0.35236451956563697
U,norm_d9_19,-0.3503633953847427,0.3503633953847427
P,norm_d14_18,-0.3501726702849973,0.3501726702849973
I,norm_d14_18,-0.34892635793324595,0.34892635793324595
V,norm_d6_10,0.3352607353970504,0.3352607353970504
M,norm_d2_3,-0.33489244725059975,0.33489244725059975
V,norm_d7_10,0.32876260805436547,0.32876260805436547
R,norm_d6_13,-0.3254412236109813,0.3254412236109813
Q,norm_d15_18,-0.3210205715035107,0.3210205715035107
K,norm_d3_4,0.31962469385874026,0.31962469385874026
K,norm_d8_14,0.31850231757193775,0.31850231757193775
G,norm_d5_13,-0.3148140305807593,0.3148140305807593
S,norm_d4_11,-0.31465499883787335,0.31465499883787335
Q,norm_d1_13,-0.30988963310598877,0.30988963310598877
R,norm_d5_10,-0.3090594297933262,0.3090594297933262
