class,feature,coefficient,abs_coefficient
T,y4,-3.407096092322549,3.407096092322549
A,y4,-3.118406198881153,3.118406198881153
U,y4,2.8072836568797475,2.8072836568797475
E,y4,2.7094920707702976,2.7094920707702976
I,y20,-2.638585365750881,2.638585365750881
W,y16,-2.4669370115467646,2.4669370115467646
M,y2,-2.4155963982866657,2.4155963982866657
Y,y20,-2.412528056356312,2.412528056356312
E,y10,-2.4039512388062922,2.4039512388062922
R,x11,2.3879102309379685,2.3879102309379685
R,y4,-2.2772397440084884,2.2772397440084884
S,x4,-2.153626414437344,2.153626414437344
R,x12,2.1383340487142184,2.1383340487142184
A,x4,2.1311369773736577,2.1311369773736577
U,y12,-2.1309282924675355,2.1309282924675355
E,y14,-2.1192443334238793,2.1192443334238793
L,x4,2.100815267047709,2.100815267047709
E,y0,2.0906183785145602,2.0906183785145602
R,x8,-2.0813272848720996,2.0813272848720996
I,y19,-2.0102628619387386,2.0102628619387386
M,y1,-2.003014411792455,2.003014411792455
B,y20,-1.998029131179706,1.998029131179706
V,x8,1.8930423775147929,1.8930423775147929
V,x7,1.872138663361534,1.872138663361534
M,x3,1.8675106091058569,1.8675106091058569
