class,feature,coefficient,abs_coefficient
A,y4,-3.118406198881153,3.118406198881153
A,x4,2.1311369773736577,2.1311369773736577
A,x3,1.7120248573607806,1.7120248573607806
A,x5,-1.5337652399854016,1.5337652399854016
A,y8,1.4920999019062697,1.4920999019062697
A,y16,1.4841571931351012,1.4841571931351012
A,y0,1.4732853084265078,1.4732853084265078
A,y13,-1.4501174789981066,1.4501174789981066
A,y12,1.425535471937596,1.425535471937596
A,y17,-1.4218334789927471,1.4218334789927471
B,y20,-1.998029131179706,1.998029131179706
B,y16,-1.5433554645587602,1.5433554645587602
B,y8,-1.3733418305102585,1.3733418305102585
B,y19,-1.1759215879569616,1.1759215879569616
B,y7,-1.058411148787442,1.058411148787442
B,y15,-0.9348472684955921,0.9348472684955921
B,y12,-0.8898727547420471,0.8898727547420471
B,y11,-0.5208087966516891,0.5208087966516891
B,y4,0.4520443879729678,0.4520443879729678
B,y17,0.43293832514882313,0.43293832514882313
C,y3,0.9102440730297393,0.9102440730297393
C,y2,0.7449517814495064,0.7449517814495064
C,x5,-0.7085151967120014,0.7085151967120014
C,y4,0.694835906895478,0.694835906895478
C,x9,-0.654738052703336,0.654738052703336
C,x12,0.6515723814289741,0.6515723814289741
C,x16,0.553744540857316,0.553744540857316
C,y19,-0.5363375701491089,0.5363375701491089
C,x0,-0.4652504970943839,0.4652504970943839
C,y15,-0.45891684083904094,0.45891684083904094
D,y8,-1.7545155949410993,1.7545155949410993
D,y7,-1.4097476892040113,1.4097476892040113
D,y12,1.313289896332668,1.313289896332668
D,x2,0.9648727713284159,0.9648727713284159
D,x4,-0.9432888070028566,0.9432888070028566
D,y11,0.8668668356806553,0.8668668356806553
D,y0,0.7486529301799876,0.7486529301799876
D,x7,0.6885032791668401,0.6885032791668401
D,x1,0.6505650317547743,0.6505650317547743
D,x8,0.6328944449415778,0.6328944449415778
E,y4,2.7094920707702976,2.7094920707702976
E,y10,-2.4039512388062922,2.4039512388062922
E,y14,-2.1192443334238793,2.1192443334238793
E,y0,2.0906183785145602,2.0906183785145602
E,y6,-1.4133086271341768,1.4133086271341768
E,y15,-1.3517091047065923,1.3517091047065923
E,y1,1.3248075545846678,1.3248075545846678
E,x1,1.2476861321893558,1.2476861321893558
