,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,-0.2509753328805072,0.7344738205722349,-0.6888181336198836,-0.4492169131195047,0.751949579948114,-0.2313214205744156,-0.14191708466361339,0.42302847407874483,-0.19634030530357108,0.830877346693276,-0.49115948021106953,-0.2693340683468228,1.116508246315921,-1.5350430233329564,-0.37197039946543053,-0.7134379757425864,-0.17947790003964031,0.19186311751475946,-0.23380697850922075,-0.12189912411629734,0.06324798550868116,-0.15849194090492963,0.5267764754768753,-0.20587655028482837,-0.22603636805718794,0.7809866196097232,-0.30560700598792023,-0.3550614585045142,-0.5766096678864105,0.3572567806242703,0.3022574948004446,-0.281485589662657,0.11198398662747387,0.010402164492161678,0.2572547678025206,-0.0622508214595925,-0.35940367342232155,0.7363090467021144,-0.1044802269311918,-0.09310613453036064,-0.7320121825992697,0.3700206178856794,0.42089881376476823,-0.21965105375061722,0.06540483005677941,0.16607098427201153,0.24171441708412006,-0.07533254469222055,-0.12145471869488869,0.7329066080449256,-0.028316774491714478,0.01912911703342417,-0.7371804921875215,0.24423229726848,0.2972643223526958,-0.654606897425298,0.03310864522619626,0.17188231526727898,-0.058074581387353386,0.03855671564879159,0.04305936341399254,0.5305765224968497,0.164714346474274
B,0.008733901145833042,0.07255119863312312,0.43800776521892376,0.13313767187508116,0.10227265221423718,0.149304428640756,0.11709832832938952,0.07634442986870807,0.1779811835929604,-0.0742006588661919,0.11576983155812826,0.2013032830731554,-0.14155893961584393,0.2191321389043121,0.14900930908127805,0.12300306810275673,0.12252974463303548,0.031965762268533614,0.08473761780143718,0.07053801907474493,0.15761990994063538,0.05653388068254172,-0.5057022509161572,0.14150125313020256,0.006943148925629858,-0.5742779335693207,0.07328668412190997,0.017296009067167255,0.13757387081180666,-0.006927152261669983,0.09306764897884966,0.036395571022639815,0.2589487567985234,0.10130315355502854,-0.5124679867037109,0.19731417451081348,0.02292302754540767,-0.6253959603981014,0.044352374527580465,-0.0256532754234578,0.14202866810865397,-0.030785692558010194,0.12075492421567173,-0.025683038160798474,0.3924153011041148,0.14714341909509526,-0.5870126972756486,0.36634704276878904,0.0960164447750518,-0.8382340235317572,0.16518183261340552,-0.06695274263410274,0.13807848400125364,-0.05291523875684781,0.061113237149234084,-0.06001450642579625,0.2253136605934888,0.09858901236753861,-0.6246135297226414,0.20059820082542099,0.11459208988819664,-0.9960176438401489,0.07263725033614278
C,-0.13260136700929515,-0.050997872098897494,0.2447156076405877,-0.1442625034889327,0.05370872627100861,-0.24494155343626262,-0.08522187674798308,0.1649225556974609,-0.30366440051649146,0.04647207813071263,0.21038737395309723,-0.3104082083849506,0.14289949170555832,0.17763792200625397,-0.27883862061465814,-0.22992750542332513,0.07688760334956796,-0.3288339680502456,-0.1307559705487029,0.021177592725367685,-0.3071428132326722,0.003374679988157808,-0.06578271628021604,-0.2678813811285588,0.05739262661270107,-0.03705062727952624,-0.23073028669183276,-0.17735783717940357,0.024615856013030655,-0.29474075196605726,-0.07644291304036543,-0.0697981469083723,-0.19086530905763163,0.10410901296974091,-0.13063524019900805,-0.15899576619397388,0.15114070925240353,-0.07258448151503562,-0.1514044371117973,-0.08195470559500151,-0.028095967435522232,-0.08408250846607923,0.0049606221262567165,-0.08611876291814048,-0.007955809090919341,0.10443520740994014,-0.1623717827213804,-0.057953509295089266,0.14731179762661012,-0.13768798758514078,-0.10792439923177656,-0.011132703701384913,-0.06854638006763937,0.08520083258016921,0.04784578519654757,-0.10134214483691605,0.11000244379131406,0.08549783883726218,-0.152003774029653,0.08550266007380675,0.10309154063450167,-0.13884833678225422,0.054446462426392894
D,0.14344941219652332,0.37908492408168315,-0.24930382499878162,0.3605722426890039,0.32471129777704394,0.07761608534100112,0.5351858973961526,0.16199426991533888,0.07300196010071253,0.07365219398652753,0.13938225417036357,0.015498270021003008,-0.3909390692208266,0.1772645652796427,-0.11980686959570347,0.17808167795913224,0.1306526143232757,0.13747119509510902,0.3691980241922517,-0.12387073613531377,0.3876067019007168,0.39156478512288306,-0.9087715271837019,0.43348797771064324,0.3538077640788056,-1.0439434391682794,0.3278217912144469,0.017671252486628757,0.14216306087080552,0.06742197024197613,-0.18534361947143838,0.05286461769573971,-0.06893874430987322,-0.3583089407439114,0.6265583278498874,-0.22247196840359187,-0.250931696128198,0.8712057931716536,-0.2803421520234373,-0.045022154213251606,0.1159376374441389,0.008616691776778429,-0.07432118881399472,-0.18726076548288625,0.09637783980060158,-0.25940865584953005,-0.10663722313182186,0.014591158260598267,-0.3011045353937684,0.11787661649285316,-0.09026132691959439,-0.013223777936561836,0.1774686018847197,-0.036525865821016947,-0.11477362436643,-0.047539991777968804,0.03407658797039338,-0.17980885095022126,-0.059721997634124155,0.00033218607942212203,-0.17488630648221895,0.10293129030853401,-0.05519896356134507
E,0.20604788919612146,0.7944256281809811,-0.3381720152410995,0.6072843684545782,0.5788416381855781,0.08430084082194811,0.7163734618941208,0.24440180257120622,0.17359793424614373,0.0391088545198944,0.6242906430494561,0.16309190465457654,-0.2590251340621828,1.3521743626626745,0.0643950021674867,0.188952334528076,-0.0782955009077189,0.3393390095375598,0.18287122701829278,-0.5952605347975043,0.5173854858153928,0.09347192023199868,0.18044894991076604,0.42199458016232827,0.08045842784938535,0.5852008675849101,0.28504893495956113,-0.049114195153601,-0.26967869203601974,0.3655582693613763,0.03297725363566814,-1.2201249731558137,0.5858253643428171,-0.17260103933134643,-0.4466187668606935,0.39299853145794195,-0.09222689439423555,0.1204479798575913,0.2296601373399512,-0.15968804593912653,-0.2582373447057114,0.24454466560033333,-0.1284959253978785,-1.0589233714719541,0.6076583679563934,-0.26124535137838956,-0.5882330507875905,0.2928871308869805,-0.22271129610579304,0.031245054777357024,-0.043104065797954845,-0.13913549506913145,0.018226419814291708,0.059026887574918294,-0.14484769769187772,-0.4547059363179807,0.21907165063525763,-0.11704332763611089,-0.13521573421726812,0.07825185016217433,-0.0029987479780726194,0.4040380128076906,-0.11531046996614397
F,0.03851946325672509,0.1489260595108687,0.04476605546361693,-0.02408824150291058,0.1653105835660238,0.35169787061183755,-0.03858910718957856,0.26789263353169834,0.20115668051554614,0.04970264794290658,0.3043431782645181,0.03581455773981786,0.1404311785258816,0.16496953342321,-0.09609823067751633,-0.11867458441917515,0.10658165514550891,0.11282906855235578,-0.07555843390011181,0.35514049256287045,-0.06664438498566386,-0.050171720968377825,0.5926220884862672,-0.257869820005572,-0.023089326993314317,0.6159322187800108,-0.3451487797820948,-0.029811036126039386,0.003686071784462553,-0.06907406445478899,-0.0031315300623087346,-0.040772639265207064,-0.04895515438420879,0.08815204305630585,-0.28466162903994363,-0.10856568060725674,0.11680095376075322,-0.3284484495753991,-0.19793317879869848,0.03651343924740123,-0.01869281078486545,-0.32496765770924413,0.13340688217265884,-0.1543175636165264,-0.17771367903933422,0.2444939663159695,-0.4660389682093238,-0.28725228512347384,0.3219270323560442,-0.5951564425284132,-0.4265345632448223,0.055212203344752686,0.0492447233650402,-0.3720257972826622,0.03329772746951733,0.00417872774327436,-0.2972365782787967,0.017469443094431495,-0.25782237250256124,-0.37016027084126013,0.01944220585196603,-0.43163518620023406,-0.4606888801960414
G,0.22262724974618417,0.10976369828779907,-0.051559031597555045,0.09874554392786516,0.32236027383314786,-0.095361220816728,-0.14090820353910227,0.1120049410979642,-0.08547039565060499,-0.2904872880823938,-0.18393646962981416,-0.024808829026630366,-0.4071175942085784,-0.28124326163688596,-0.027574010372051393,0.23679604807038035,0.11458384279475729,-0.3278751345072129,-0.4057483144422823,0.22448893503240605,-0.08777178600630474,-0.48566219643480335,-0.27455648278903033,0.06440484740590142,-0.5064170587502885,-0.555858544709949,0.09341719553218218,0.3215965309192004,-0.2559723461789427,-0.3200311817412821,-0.12682763216582008,0.1860687541561009,-0.0380988484794088,0.278127999096173,0.2989575943074729,0.22786678622710968,0.6390495957257084,0.20419282131405364,0.3553594133442564,0.25059361657324863,-0.4979663382729023,-0.11044299477519387,-0.016151654460068544,-0.0501533254716074,0.17002815421274914,0.06659240513111679,0.15634358909968982,0.3885390739921501,0.2777358443020646,0.13142396679590476,0.41176115290418763,0.21347057392723778,-0.6259828728567206,0.0586943704236887,0.05844028095151108,-0.2975423406098682,0.309281859889256,0.053755124559854005,-0.030470839719304314,0.46805746509656765,0.1484544601532919,0.06985916132477457,0.4984651259967665
H,0.32153772268811115,-0.13646217447244782,0.11954189677875235,0.37787483779910996,-0.3621726454506573,0.06696596067009689,0.24772321431963318,-0.32987808572021804,0.18707299830103905,0.16485251698183687,-0.018802053384782948,0.28454012030056686,0.24076674391039926,0.19073817946774907,0.3493098391000164,0.1487371339144351,-0.09237256666567925,0.2368266710948224,-0.020437165289965642,0.06255424540765532,0.1971985821485376,-0.09879167071952852,0.0654201605776548,0.15300286922477369,-0.14016030052042738,0.03522446383407809,0.12645335926658816,0.17861003445028786,0.11214930130285057,0.20988484971507615,-0.20738696083092686,-0.0413220177340157,0.20049137123799324,-0.5322271318823588,-0.22616075301426516,0.23704888039931568,-0.6656922969202765,-0.2569694441928051,0.26283783888313583,0.1953991757864118,0.24438238684345867,0.013219250141821333,-0.05687812492577897,0.24533254083573103,-0.11400244504624579,0.12568556374479617,0.09422488235510038,-0.14087949369960256,0.19149123772262386,-0.04089104186578859,-0.11140995650103366,0.24398558559210226,0.328529576671466,-0.1277319024480277,0.10565917077640691,0.331125616866051,-0.24092263550996088,0.1742710420507801,0.15843340844300932,-0.31295013449144377,0.21108095221895218,0.020412489570896242,-0.3574334789020474
I,0.07196448888909353,0.14735249731748254,-0.37536584536036244,0.172894397692816,0.1691930491166207,-0.0980425038720385,0.027351648172695836,0.1585237450013028,-0.06762276337697802,-0.1801316408244635,0.12008417244315057,-0.0643125798025217,-0.28906470750256935,0.07309194822248972,0.01747963163118801,0.5541453892844261,0.33294947803769004,0.17678940103959387,0.34563444460019094,0.30490324992679996,0.13305032785301008,0.21290122347837834,0.47966586583712095,0.14669989497544136,0.21787634772453168,0.371365798536182,0.19829797793299947,0.34911114552344924,0.2644701910677318,0.29115369552532305,0.29434816615473497,0.215649069726066,0.034541797803859485,0.169399697376808,0.2790459682078734,-0.09111146115827401,0.19053326926057537,0.26640010553637145,-0.09393893687783816,0.0967671240733576,0.07817953693442359,0.283116968057511,0.08431431358883888,-0.028697999494134832,0.13959721795154062,0.027473374351787632,-0.08841822950088281,-0.05869932153146465,0.08099416571228853,8.757637064272984e-05,-0.143911675057587,-0.03355074090805685,-0.12400156012019285,0.1743365195859381,0.023003780018404175,-0.3640510064173794,0.2596515884842449,-0.14337407549548478,-0.9450703621579781,0.10027531701560206,-0.24266014557676308,-1.2293558986031035,-0.07533689979967124
J,-0.5800473402664057,-0.14166396096718076,0.07349127202393245,-0.7414524631140686,-0.3295538265890319,-0.008593057482358881,-0.4934472703871752,-0.3878629723518331,-0.1278744576878106,0.15143039492486904,-0.02088893885356534,-0.23532647596139572,0.622254082923421,0.4630581269164454,-0.24931437958818758,-0.4411511436973614,-0.33045226207700207,0.018622586154108094,0.04566288091988562,-0.32355031524571376,-0.03904152232720471,-0.09029569981035844,-0.07745701369031974,-0.09156526171295896,-0.17167633439580793,8.541376807966202e-05,-0.1314096414795706,-0.20013801087897762,-0.07878060397730029,0.006703034353926614,0.3759074231185917,-0.03575990370768578,0.004370966617067754,0.029517354095856194,0.038490292426823246,0.018731551217664667,-0.2257768336393729,0.004020762378843056,0.04099827446432671,-0.0470935424411969,0.16206987571616918,-0.034495957271048705,0.36816012945383386,0.16035314289390007,0.13943230798189984,0.11131305580395573,0.0620090318511173,0.24865002453903803,-0.156346389325726,0.03241040994588061,0.2952747243926059,0.012561012072077564,0.32029477923588895,-0.07537018281530176,0.22148230219259993,0.3228597384499364,0.04355272683567469,0.3551549147584431,0.047543682320959006,0.0008081530559687371,0.4716385711132458,-0.13584434886891963,-0.05944135576676881
