class,feature,coefficient,abs_coefficient
T,y4,-1.8005743365299063,1.8005743365299063
A,y4,-1.5350430233329564,1.5350430233329564
E,y4,1.3521743626626745,1.3521743626626745
W,y16,-1.3284796086260493,1.3284796086260493
L,x4,1.2616925326958983,1.2616925326958983
I,y20,-1.2293558986031035,1.2293558986031035
S,z20,1.2215665823864958,1.2215665823864958
E,y10,-1.2201249731558137,1.2201249731558137
S,z16,1.1641053224618716,1.1641053224618716
Y,y20,-1.1438995710340651,1.1438995710340651
A,x4,1.116508246315921,1.116508246315921
E,y14,-1.0589233714719541,1.0589233714719541
D,y8,-1.0439434391682794,1.0439434391682794
M,y4,1.0415703117471362,1.0415703117471362
N,x4,-1.0094746325471646,1.0094746325471646
B,y20,-0.9960176438401489,0.9960176438401489
M,z4,0.9749515686268583,0.9749515686268583
V,x7,0.9476564921969735,0.9476564921969735
V,x8,0.9465836484202987,0.9465836484202987
I,y19,-0.9450703621579781,0.9450703621579781
N,x3,-0.9391656178698397,0.9391656178698397
W,y15,-0.9275377362464337,0.9275377362464337
W,y20,0.9264013456311093,0.9264013456311093
R,x11,0.9124772095170531,0.9124772095170531
T,x6,0.9089530623473405,0.9089530623473405
