,x0_scale,y0_scale,x1_scale,y1_scale,x2_scale,y2_scale,x3_scale,y3_scale,x4_scale,y4_scale,x5_scale,y5_scale,x6_scale,y6_scale,x7_scale,y7_scale,x8_scale,y8_scale,x9_scale,y9_scale,x10_scale,y10_scale,x11_scale,y11_scale,x12_scale,y12_scale,x13_scale,y13_scale,x14_scale,y14_scale,x15_scale,y15_scale,x16_scale,y16_scale,x17_scale,y17_scale,x18_scale,y18_scale,x19_scale,y19_scale,x20_scale,y20_scale
A,-0.7596236307813834,0.03380057060039222,-1.1150085858964962,0.25608995462361905,-0.7008684855514046,0.4465206969331374,0.8224775677604871,-0.626547248156945,1.4805682485178568,-2.1360498608596155,-1.4070530011169755,0.24075128665886206,-0.58282444271218,0.8330307206541344,-0.44031114469313676,0.986054810397982,-0.5804301606013573,1.1326720243030743,-1.1495804218609957,-0.4767391366915972,0.37251600315542255,0.296009869208397,-0.17465672443666966,0.18949070816886934,-0.9266282340325852,0.8873678327262339,-0.40741168194161076,-1.0775014186552638,0.7159585223365078,0.12433374729644313,0.23892481106053262,0.2250440985195417,-0.5782036807101308,0.9912125050469486,-0.07170022109795453,-1.34155959659007,0.41731802309999466,-0.7779651086867723,0.1627843234855329,0.30614709928589173,-0.19963930055485157,1.6143749166533572
B,-0.6003868131866346,0.11232068924630116,0.11941000768736156,-0.10121059682490073,0.27004193739256394,-0.41017366675852407,-0.4587926337338487,-0.20006072974963143,-0.8670893185501709,0.39487897520625864,0.6668543901642088,0.22408634876101585,0.507039599801911,0.4429542341996544,0.30772826090731187,-0.8428753782930887,0.07428415904951796,-1.2464370910670957,0.01744885999487919,0.40607370981701574,0.5567984464423988,0.6261283686647763,0.5290560032444251,-0.2626041485829854,0.2789952687081191,-0.6718072520099457,-0.4311703341527898,0.5052189836806303,0.45712644725016044,0.35683161809917124,0.7833221012280254,-0.8073540296483039,0.7182426507804484,-1.6067749714535509,-0.614532629785116,0.45871882655737045,0.30410092562506147,0.0714234324496184,0.4266504328282492,-1.200327719242695,0.436379279085504,-2.255749194042347
C,-0.45725817947269654,-0.3032082812902544,-0.3011959881229795,0.40576602665576583,-0.09269465956844407,0.7811781838985912,0.1535067927960293,0.7609281919519487,0.4045016588264106,0.49879572750163476,-0.4559880145312793,0.17733578820747095,-0.2032457624695443,-0.07315060615354885,0.15107162846601818,-0.3866442485812562,0.2975372842284918,-0.17659153512549938,-0.6498676444237431,0.00924157777351527,-0.2808554113524787,-0.3124612189475439,0.3401232300297649,-0.42813131468047727,0.5067832224710147,-0.17679399715624539,-0.3829277271741556,-0.1920131028174261,-0.134609452193796,-0.27196135914140535,0.24304853693984538,-0.40667113604634214,0.4673935602605983,-0.277631820441917,-0.1322085493773675,-0.34807716769203695,0.049098196503341615,-0.3462553790833508,0.23553250010216636,-0.4364034786465922,0.3824108310205914,-0.37510433480152283
D,0.518031607032214,0.0011998938909494581,0.9091682562656961,0.15182203073392908,1.1258412244282727,0.21290539580581785,0.6705716198395631,0.375595468244951,-0.08625684770827913,0.38394787086220267,0.271115860412236,0.3704844021649488,0.5579442569056972,0.5436933320404844,0.628987917154684,-0.6251891738775269,0.5899855638053823,-1.0272233042246661,-0.007247325017970477,0.3800812584679519,-0.5517420564234875,0.5194603219436276,-0.6915568992991776,1.0894621914933669,-0.2983835454095841,1.3756793119259403,-0.13641317105353937,0.23903497910475205,-0.1147026902930327,-0.08043724965372559,-0.6196284395905365,-0.28955268105491244,-0.7309056792646003,-0.09215435998402219,-0.0006497168173695818,0.19679249548042668,-0.19282497547589236,-0.011089503407757212,-0.3868490828620161,-0.16846257848967414,-0.38637815005,-0.015081353070516343
E,0.6098979558054666,0.01767333489657645,1.213536622383983,0.05801044442316456,0.4478550035044411,-1.8772101612279448,-1.0005753029186824,-0.41254299788706444,-1.611499345497265,2.6378670276320877,-0.8412259166512496,0.781235790447872,0.43248428853817394,-0.01606941030992246,0.5500253334122659,-0.3854500632130956,0.09998986013400891,0.16535905720724312,-0.9560105733734623,0.046686310130711804,-0.04502690500399837,-1.570310407854455,-0.09684500391486607,-1.5513132820785969,-0.6362013732728464,-0.0014030509194182294,-0.6326262835061905,-0.27470898438821356,-0.08628032035433132,-1.9579176675323924,0.0780415490373681,-2.2205431161789093,-0.6589817567501702,-0.3942428521226391,-0.14725215193504407,0.008594183781460643,-0.22462001694737194,-1.3361458672293036,-0.007444616209104424,-1.7476456863008751,-0.09944660036635698,-0.45391562528984425
F,0.12361599623563034,0.18217107891691836,-0.046801332413044315,0.27855460135169374,-0.11214929940703562,0.5846685784384015,-0.12980956320141862,0.597152815738643,0.05075192114074519,0.2674358210494696,-0.30235047604948556,0.38246178428056576,-0.05596480029457859,0.992509239652774,0.010742728770935659,1.5321006574908602,0.03903320926287133,1.3844447865290574,-0.2865268306908638,0.26665958529840456,-0.10231517201237161,0.22384746662319682,0.025627244294053858,-0.4250112012877289,0.02815391716661536,-0.6017713358161154,-0.07442681118207702,0.20489493208500337,0.11325645641867825,-0.01029990504957225,0.24871977998556621,-0.6423213672189857,0.3304593885228347,-1.0097351396046288,0.010350687521906677,0.28070953753809763,-0.04589725748927702,0.2620207820233448,0.007560225179495588,-0.0879395964565635,0.10019731283605766,-0.3755767342408039
G,0.3295911945793978,-0.3996690653099325,0.25762567864337904,1.0884564897051032,0.03529386056079905,0.5161502054502043,-0.03691343747094239,-0.38978110178755826,-0.04562056390558305,-0.5072225859210268,0.3244330530632794,0.464428354899989,-0.03185931524764986,0.4260045585107918,-0.19292263208481528,-0.8469000408466448,-0.3129609329109901,-1.3648476765959336,0.5317109028147017,-0.7024419732806955,0.4088846042683986,0.6030367485144588,0.6031290160222572,0.4046012497789706,0.6370214728910263,0.07860369975926312,0.41704759548508213,-1.3494206925001015,0.3986399583092718,0.09131885916822173,0.34552948292797686,0.044082995954433275,0.4239916535832193,-0.02304396878991664,0.3265027481315583,-1.3723562531634348,0.28512518693048206,-0.46619630502080467,0.1892192011292689,-0.1696544875701868,0.1737702800349969,-0.035402855606640346
H,0.25239885160189207,0.05762936983619229,0.21233873429503397,-0.760666097373877,0.0618381119633265,-0.62226291666374,0.04232014738153045,-0.041517996934656666,0.12092442875488459,0.2782424916947332,-0.1533400317402762,-0.36991426713629755,-0.17759048341306144,-0.25493507473838417,-0.14366485184179012,-0.3152975255657249,-0.1292729687725831,-0.2768815197412773,-0.10403845526183442,0.041314370749917464,-0.30205407734640355,-0.29764310349064294,-0.6146454283891982,-0.6762630389138686,-0.7315236202112079,-0.7076049425782571,0.08902262316746816,0.5122505682564973,0.03693873634748251,0.507620283673527,0.26401125423238236,0.3212648059196275,0.3323746593299108,0.11384256127526715,0.18801667309307088,0.8457857651330126,0.1630922369116364,0.7447669779092484,0.22374615556640026,0.4975009096233479,0.23227853781322222,0.2625006934322601
I,0.09752140039022525,0.0029918753235505134,0.28689301638272846,0.3139664258862012,0.1483758782624533,0.33874852970891056,-0.1588138147998132,0.24528251564624765,-0.5249364729146411,0.18738002910307994,0.8594180154596743,0.400176735196577,0.3218089738316999,0.7234103354406076,0.05712182304924208,1.1101574386075421,0.1355796927841031,0.8426551840290091,0.7913094729917685,0.3239414702004341,0.23295697419078065,0.5170044781302872,-0.14964468046879806,0.678255321881406,0.09544705477421259,0.696262094452452,0.19906630358835561,0.03928839127039505,-0.015693908763897913,0.013096553693454853,-0.24702027752818984,-0.0993977016304745,-0.06156573952982708,0.03480610031805243,-0.07119920177732922,-0.2792337901985515,-0.0032097504345457157,-0.4139635133045235,-0.3656089592649013,-1.1127805810156366,-0.5681287127694076,-1.4967616928427696
J,-0.8636710080100092,0.0034106015304249467,-0.9810349101553391,-0.486555525901987,-0.6662168444319967,-0.5906710735817078,-0.16084437035127422,-0.11072084449625656,0.3844136380610921,0.3936232557196373,-0.6047162986263631,-0.5392417247050094,-0.08371993131170831,-0.8311163507374587,-0.17570113128113077,-0.5235193422546401,-0.25006802802327344,-0.22062157020901618,-0.5379153673808267,-0.29222123009383133,0.23636657672562467,-0.38418191619611153,-0.18302510055322038,-0.12139173367289378,-0.4156472835663456,-0.07913312676158168,-0.22174494332177472,0.05678997682333347,0.30758559396850343,-0.02687958983749924,-0.06468185885991551,-0.04555480274458058,-0.4540800292740221,-0.0055619702256224845,-0.046335673245625264,0.31930883168636554,0.21442531661515019,0.17023002588581101,0.39724686355794714,-0.2143294835957808,0.5598188546969748,-0.4839241649186697
