class,feature,coefficient,abs_coefficient
E,y4_scale,2.6378670276320877,2.6378670276320877
R,x11_scale,2.610608234116888,2.610608234116888
R,x10_scale,2.516549324273304,2.516549324273304
S,y6_scale,-2.484511018012145,2.484511018012145
M,y2_scale,-2.4208691636856563,2.4208691636856563
W,y16_scale,-2.32353499996273,2.32353499996273
T,y4_scale,-2.317258430049524,2.317258430049524
B,y20_scale,-2.255749194042347,2.255749194042347
E,y15_scale,-2.2205431161789093,2.2205431161789093
A,y4_scale,-2.1360498608596155,2.1360498608596155
W,y20_scale,2.0053992931632694,2.0053992931632694
R,x12_scale,1.9994072187204712,1.9994072187204712
E,y14_scale,-1.9579176675323924,1.9579176675323924
E,y2_scale,-1.8772101612279448,1.8772101612279448
M,y14_scale,-1.7727658804253352,1.7727658804253352
S,y2_scale,1.769302014677875,1.769302014677875
E,y19_scale,-1.7476456863008751,1.7476456863008751
U,y4_scale,1.6692136283171761,1.6692136283171761
U,x2_scale,1.6287548835304613,1.6287548835304613
Y,y20_scale,-1.6233279077695353,1.6233279077695353
A,y20_scale,1.6143749166533572,1.6143749166533572
R,x8_scale,-1.6125290136562112,1.6125290136562112
E,x4_scale,-1.611499345497265,1.611499345497265
B,y16_scale,-1.6067749714535509,1.6067749714535509
V,x4_scale,-1.5964491931962883,1.5964491931962883
