,x0_trans,y0_trans,x1_trans,y1_trans,x2_trans,y2_trans,x3_trans,y3_trans,x4_trans,y4_trans,x5_trans,y5_trans,x6_trans,y6_trans,x7_trans,y7_trans,x8_trans,y8_trans,x9_trans,y9_trans,x10_trans,y10_trans,x11_trans,y11_trans,x12_trans,y12_trans,x13_trans,y13_trans,x14_trans,y14_trans,x15_trans,y15_trans,x16_trans,y16_trans,x17_trans,y17_trans,x18_trans,y18_trans,x19_trans,y19_trans,x20_trans,y20_trans
A,-0.480990750966118,0.9043648461196966,-0.6795136062224221,0.9427053661049171,-0.2094066449879672,0.8239295011581792,1.3893765777859608,-0.10494003565684779,1.7308191712754708,-1.4233700764282318,-1.3214128680748551,0.20971242740074544,-0.34313844252054077,0.33983422748950937,-0.2703360791375728,1.407051723324829,-0.43582083288299434,1.6704678720647186,-0.5087544596991489,-0.2985662395919607,1.1917485196741877,-0.25497317055663393,0.17706673200149162,0.45189073310386924,-0.5620246116432261,1.1800695028960693,-0.13229179825988036,-0.6807298036646999,0.7668532592923313,-0.37897090787245136,0.2130786852133569,0.3322865408017779,-0.24882585661122864,1.0715018865561874,-0.038925099224810564,-0.9245834632408649,0.3829018578406169,-0.9354370259174358,0.11420371315874432,0.41789444323925456,-0.10116952074289909,1.6033950576960252
B,-0.21107581322507865,0.5204055906652311,-0.24249055792892205,0.3634412491171708,-0.30165743099109915,0.047705583403605735,-0.5246417363059384,0.0505390221648321,-0.5784115563996146,0.5460252367417485,-0.5058405596913356,0.3373086834942538,-0.14970917437121756,0.4463050674967488,-0.026524687086618683,-0.497503516773018,-0.0366566294241505,-0.8237034457943894,-0.5329974288638991,0.5166263296784371,-0.36199919918832346,0.603853639265781,-0.16899494709310975,-0.42628246668174335,-0.136579721282484,-0.795166210595861,-0.377261738991246,0.637165655573387,-0.21413270465892328,0.33589911462403244,-0.12572391704775976,-0.8496145993420602,-0.17333728927131095,-1.4614566644552431,-0.3358051128011016,0.6224252860531928,-0.0736262919708234,0.2620120558727175,0.11789366689120778,-1.2121324322956726,0.23300950311605226,-2.3096934619572105
C,-0.32280744287108215,-0.1908142519404361,-0.20345616637941608,0.22816185384911317,0.03715096620645587,0.6514928483293422,0.41646066282518973,0.8271518084004764,0.677678083185367,0.6240601569735197,-0.6332567598172817,0.2639821324581472,-0.38483204035090973,0.11566947311189667,0.38944736311752964,-0.4179215230818715,0.5719802691055784,-0.2782143700652056,-0.49044655647671415,0.0742996789428615,-0.21993119196183591,-0.23546304480273844,0.7278784687579791,-0.6183828616618512,0.861179652458707,-0.3250681930186212,-0.23946023969884686,-0.12235908932494745,-0.013876722275692602,-0.28046251247675386,0.3554978109679568,-0.5472148441375684,0.5389812718134397,-0.42474852661175916,-0.05662531610782237,-0.2929411145701049,0.10688616791121738,-0.35751530922499763,0.251014495246494,-0.453926359941771,0.34109736340173,-0.3603374192549661
D,0.14822250767339978,0.6358298200013806,0.48828422036566826,0.5328215304172466,0.8300363349601358,0.310649352729573,-0.15443874309558467,0.2384328314487341,-1.069712538075329,0.31347677010840874,0.2374952025497199,0.4441871781582171,0.6309574919989278,0.413920520087388,0.6113151249574796,-0.3506915891736582,0.539315999400364,-0.8694239803730894,-0.07006805958753107,0.44632360530278387,-0.360813958068711,0.3404061540551701,-0.5388135374776054,1.2947948078898466,-0.3315361611258152,1.6133870053490582,-0.12052811911465738,0.36653405998353555,-0.10237153162486885,-0.18982235274318932,-0.3330808844910741,-0.1598601991333011,-0.37839060480248454,0.1592429080985395,-0.06221068849775352,0.39599132041153606,-0.16599137931057173,0.010696429533663189,-0.2633523003377953,-0.08404857833664428,-0.2766900334112342,0.13257747677307527
E,0.30068998549599013,1.6446161434226372,0.8685340377254566,1.2679269316217272,0.8553646728223482,0.39987834440723224,-0.27411307525601153,0.6944510935349896,-0.7723280583215488,2.3707859604628116,-0.03552167748956941,0.38009919112031043,0.7554031719571855,-0.6864438873895081,0.35553240205056375,0.02710145196624212,-0.04863702818179477,0.91550062020921,-0.17096092978795163,0.1170788955430231,0.08020290544553521,-1.7515855595188514,-0.20421969609766805,-0.7976763866369067,-0.42330423232727277,0.5632116411210589,-0.18634118621013085,0.13124565842096492,-0.014324599659864788,-1.7744757650762308,-0.03505893479311451,-1.178783165752351,-0.25433438056766716,0.19548317362793965,-0.1008536910690178,0.44262842092464655,-0.09015236694469746,-0.7602663371657479,-0.0013820050457724888,-0.6275475248445606,0.015731530625477125,0.3064131314528655
F,0.09775708393323278,0.33454754496246975,0.06882365643777807,0.3691222040716745,0.12003070581763663,0.4966160380086994,0.28932512069952804,0.5756177087877958,0.3989171253748878,0.4547127506954803,0.08396988790119707,0.3712023835398426,0.24426913892665147,0.6876695959934498,0.19515785867478042,1.1050311581397483,0.16586277077672104,0.9959574453682718,0.22356908659187444,0.3009943483724705,0.5259811875888957,0.27245010608852394,0.6183332272423436,-0.22508851622652545,0.5002880406034409,-0.38625027894623315,0.23786017260886758,0.2690647686783364,0.43133877150446387,0.11895414893705458,0.5307092097340035,-0.4093459019288613,0.586481912044969,-0.6650505558305806,0.21588001530510276,0.30106810641323734,0.20994749982831176,0.27694415574810777,0.16713440275572042,0.010549138115942871,0.14199768033685353,-0.17931954573577677
G,0.033816837291370166,-0.5730128042560041,-0.10543517354199335,0.020053564114211973,-0.33623541126815437,-0.26922410424225235,-0.2817056203278939,-1.042807281938411,-0.05986178059831425,-1.2602786594666924,0.16958919192386723,0.25336049351434076,-0.388239135835966,0.11132951658047055,-0.2926908578938855,-1.3569376479770539,-0.35920436682883583,-1.998058500877327,0.16925847200114788,-0.693988456603865,0.26161154203251274,0.02724322809025611,0.7846507733331476,0.015373952292238844,0.9629442356438976,-0.13878951502167994,0.21292520345233576,-1.2919821163902456,0.3005490817732347,-0.5217933390205224,0.0402079939663016,-0.3287079819534201,0.1742863543212635,-0.22891611779243748,0.34498435576414016,-1.468774114999481,0.3418393159646967,-1.1055501434423476,0.07121574619392658,-0.6189050593682996,0.018523908229475774,-0.32556406118851
H,0.4526413738159731,-0.5080180724798303,0.6690710366231952,-0.7881511222828936,0.5790244702868788,-0.6098280505463392,0.3470605609748284,-0.01289730065819668,0.3732879069324539,0.42832248055948613,-0.30368748408973106,-0.2013611407246005,-0.011145176486342634,-0.044439275227896986,0.1526182706119896,-0.2641026730052587,0.1388712796713806,-0.3818054553095355,-0.12919446927821046,0.06474246225245503,-0.35173886501265644,-0.3348980696526444,-0.6064847622076495,-0.9976563080984782,-0.7801500798447588,-1.06905179016747,0.13740107941701385,0.3278339764813834,0.10402002965233474,0.4563685703710506,0.5943832909894259,0.06825914242531618,0.6950093136849336,-0.17720698417321243,0.3299218481817393,0.5982205119100306,0.36702948384836515,0.6708818443536827,0.5846573713627703,0.2889402063944624,0.6277150784702892,0.009381239086745898
I,-0.11978561374128416,0.26075941924016766,-0.12568918824160535,0.3696236452568039,-0.2666770767969878,0.40052189815209205,-0.3081674851925448,0.2711344135471209,-0.3666959372439352,0.1578409791303074,0.28226897232027337,0.46330519098736667,0.03077532273767085,0.6564184589185159,-0.12207752255372395,1.3128933478105465,-0.03431159546814429,1.0666438906591547,0.046762653078103844,0.40830126489005736,-0.13448584004035277,0.5929331652401446,-0.3098263225956609,0.826764977307072,-0.1353210000473109,0.7301075193473515,-0.1346914269247586,0.2202219443609286,-0.15378756034551158,0.05983898008876382,-0.24295091225102378,-0.08791567325542764,-0.20404583555631933,-0.028389219359149443,-0.1958749371000518,-0.032986411004710406,-0.16807440166384396,-0.29984078848299095,-0.37338696958329554,-1.0364805473817138,-0.4958398944472453,-1.4408241926785503
J,-0.6561619065159228,-0.27943028606263476,-0.8274003479553314,-0.3951654365154528,-0.633152314500618,-0.4067887999325748,0.136461837817159,-0.061062132104595615,0.6526631336029309,0.4079469626162821,-0.7975032362848479,-0.3848426472798754,-0.016799779868871833,-0.4475242192084755,-0.20794229530207348,-0.5040190436500651,-0.30291648218123357,-0.3605932189044539,-0.3286309198735166,-0.20850910644122458,0.6428056107696224,-0.19802966749088116,0.04739877096389062,-0.2057338473768478,-0.2739635933006099,-0.22259724051355512,-0.06147181329504862,-0.00706757325145077,0.4944900947490729,0.02774265521929004,0.1749038975429202,-0.14123860078704564,-0.0964628861156023,-0.1750389296815989,0.05119975817898229,0.15869914210204628,0.3775717465798809,0.17521886732189823,0.5443029630329661,-0.29501260708763594,0.6773184959433791,-0.5976243698513101
