class,feature,coefficient,abs_coefficient
M,y2_trans,-2.887712870209736,2.887712870209736
T,y4_trans,-2.8313531509179035,2.8313531509179035
W,y16_trans,-2.4144157636667143,2.4144157636667143
R,x11_trans,2.373738512314381,2.373738512314381
E,y4_trans,2.3707859604628116,2.3707859604628116
S,y8_trans,-2.365323010650914,2.365323010650914
W,y20_trans,2.3318428773532838,2.3318428773532838
B,y20_trans,-2.3096934619572105,2.3096934619572105
S,y16_trans,-2.2885474591996733,2.2885474591996733
S,y12_trans,-2.2772918655256986,2.2772918655256986
M,y1_trans,-2.259365256909348,2.259365256909348
L,x4_trans,2.255309808581295,2.255309808581295
U,y4_trans,2.202712223668584,2.202712223668584
S,x8_trans,2.1632296020645074,2.1632296020645074
M,y14_trans,-2.1576153154369684,2.1576153154369684
R,x8_trans,-2.1421599309228885,2.1421599309228885
R,x10_trans,2.137160735097517,2.137160735097517
V,x11_trans,-2.0717942896705224,2.0717942896705224
N,y11_trans,-2.0296080471471587,2.0296080471471587
N,x3_trans,-2.0165115732503245,2.0165115732503245
G,y8_trans,-1.998058500877327,1.998058500877327
M,x3_trans,1.9939715534770373,1.9939715534770373
V,x10_trans,-1.9827209463198265,1.9827209463198265
U,x2_trans,1.9361611497676514,1.9361611497676514
S,x4_trans,-1.914938020630689,1.914938020630689
