class,feature,coefficient,abs_coefficient
A,x4_trans,1.7308191712754708,1.7308191712754708
A,y8_trans,1.6704678720647186,1.6704678720647186
A,y20_trans,1.6033950576960252,1.6033950576960252
A,y4_trans,-1.4233700764282318,1.4233700764282318
A,y7_trans,1.407051723324829,1.407051723324829
A,x3_trans,1.3893765777859608,1.3893765777859608
A,x5_trans,-1.3214128680748551,1.3214128680748551
A,x10_trans,1.1917485196741877,1.1917485196741877
A,y12_trans,1.1800695028960693,1.1800695028960693
A,y16_trans,1.0715018865561874,1.0715018865561874
B,y20_trans,-2.3096934619572105,2.3096934619572105
B,y16_trans,-1.4614566644552431,1.4614566644552431
B,y19_trans,-1.2121324322956726,1.2121324322956726
B,y15_trans,-0.8496145993420602,0.8496145993420602
B,y8_trans,-0.8237034457943894,0.8237034457943894
B,y12_trans,-0.795166210595861,0.795166210595861
B,y13_trans,0.637165655573387,0.637165655573387
B,y17_trans,0.6224252860531928,0.6224252860531928
B,y10_trans,0.603853639265781,0.603853639265781
B,x4_trans,-0.5784115563996146,0.5784115563996146
C,x12_trans,0.861179652458707,0.861179652458707
C,y3_trans,0.8271518084004764,0.8271518084004764
C,x11_trans,0.7278784687579791,0.7278784687579791
C,x4_trans,0.677678083185367,0.677678083185367
C,y2_trans,0.6514928483293422,0.6514928483293422
C,x5_trans,-0.6332567598172817,0.6332567598172817
C,y4_trans,0.6240601569735197,0.6240601569735197
C,y11_trans,-0.6183828616618512,0.6183828616618512
C,x8_trans,0.5719802691055784,0.5719802691055784
C,y15_trans,-0.5472148441375684,0.5472148441375684
D,y12_trans,1.6133870053490582,1.6133870053490582
D,y11_trans,1.2947948078898466,1.2947948078898466
D,x4_trans,-1.069712538075329,1.069712538075329
D,y8_trans,-0.8694239803730894,0.8694239803730894
D,x2_trans,0.8300363349601358,0.8300363349601358
D,y0_trans,0.6358298200013806,0.6358298200013806
D,x6_trans,0.6309574919989278,0.6309574919989278
D,x7_trans,0.6113151249574796,0.6113151249574796
D,x8_trans,0.539315999400364,0.539315999400364
D,x11_trans,-0.5388135374776054,0.5388135374776054
E,y4_trans,2.3707859604628116,2.3707859604628116
E,y14_trans,-1.7744757650762308,1.7744757650762308
E,y10_trans,-1.7515855595188514,1.7515855595188514
E,y0_trans,1.6446161434226372,1.6446161434226372
E,y1_trans,1.2679269316217272,1.2679269316217272
E,y15_trans,-1.178783165752351,1.178783165752351
E,y8_trans,0.91550062020921,0.91550062020921
E,x1_trans,0.8685340377254566,0.8685340377254566
E,x2_trans,0.8553646728223482,0.8553646728223482
E,y11_trans,-0.7976763866369067,0.7976763866369067
F,y7_trans,1.1050311581397483,1.1050311581397483
F,y8_trans,0.9959574453682718,0.9959574453682718
F,y6_trans,0.6876695959934498,0.6876695959934498
F,y16_trans,-0.6650505558305806,0.6650505558305806
F,x11_trans,0.6183332272423436,0.6183332272423436
F,x16_trans,0.586481912044969,0.586481912044969
F,y3_trans,0.5756177087877958,0.5756177087877958
F,x15_trans,0.5307092097340035,0.5307092097340035
F,x10_trans,0.5259811875888957,0.5259811875888957
F,x12_trans,0.5002880406034409,0.5002880406034409
G,y8_trans,-1.998058500877327,1.998058500877327
G,y17_trans,-1.468774114999481,1.468774114999481
G,y7_trans,-1.3569376479770539,1.3569376479770539
G,y13_trans,-1.2919821163902456,1.2919821163902456
G,y4_trans,-1.2602786594666924,1.2602786594666924
G,y18_trans,-1.1055501434423476,1.1055501434423476
G,y3_trans,-1.042807281938411,1.042807281938411
G,x12_trans,0.9629442356438976,0.9629442356438976
G,x11_trans,0.7846507733331476,0.7846507733331476
G,y9_trans,-0.693988456603865,0.693988456603865
H,y12_trans,-1.06905179016747,1.06905179016747
H,y11_trans,-0.9976563080984782,0.9976563080984782
H,y1_trans,-0.7881511222828936,0.7881511222828936
H,x12_trans,-0.7801500798447588,0.7801500798447588
H,x16_trans,0.6950093136849336,0.6950093136849336
H,y18_trans,0.6708818443536827,0.6708818443536827
H,x1_trans,0.6690710366231952,0.6690710366231952
H,x20_trans,0.6277150784702892,0.6277150784702892
H,y2_trans,-0.6098280505463392,0.6098280505463392
H,x11_trans,-0.6064847622076495,0.6064847622076495
I,y20_trans,-1.4408241926785503,1.4408241926785503
I,y7_trans,1.3128933478105465,1.3128933478105465
I,y8_trans,1.0666438906591547,1.0666438906591547
I,y19_trans,-1.0364805473817138,1.0364805473817138
I,y11_trans,0.826764977307072,0.826764977307072
I,y12_trans,0.7301075193473515,0.7301075193473515
I,y6_trans,0.6564184589185159,0.6564184589185159
I,y10_trans,0.5929331652401446,0.5929331652401446
I,x20_trans,-0.4958398944472453,0.4958398944472453
I,y5_trans,0.46330519098736667,0.46330519098736667
J,x1_trans,-0.8274003479553314,0.8274003479553314
J,x5_trans,-0.7975032362848479,0.7975032362848479
J,x20_trans,0.6773184959433791,0.6773184959433791
J,x0_trans,-0.6561619065159228,0.6561619065159228
J,x4_trans,0.6526631336029309,0.6526631336029309
J,x10_trans,0.6428056107696224,0.6428056107696224
J,x2_trans,-0.633152314500618,0.633152314500618
J,y20_trans,-0.5976243698513101,0.5976243698513101
J,x19_trans,0.5443029630329661,0.5443029630329661
J,y7_trans,-0.5040190436500651,0.5040190436500651
K,x12_trans,-1.7398197827623598,1.7398197827623598
K,x11_trans,-1.599286551190802,1.599286551190802
K,y4_trans,-1.4903815682748136,1.4903815682748136
K,y15_trans,1.0238456164877643,1.0238456164877643
K,x4_trans,0.9627552494358858,0.9627552494358858
K,y19_trans,0.8935309160798625,0.8935309160798625
K,y16_trans,0.8455475176119771,0.8455475176119771
K,y14_trans,0.7858045809174703,0.7858045809174703
K,y20_trans,0.7103562468501754,0.7103562468501754
K,y3_trans,-0.7072277038500823,0.7072277038500823
L,x4_trans,2.255309808581295,2.255309808581295
L,x3_trans,1.378236041059241,1.378236041059241
L,y11_trans,0.623841454882592,0.623841454882592
L,y12_trans,0.6107900350313198,0.6107900350313198
L,y14_trans,0.5971823135862219,0.5971823135862219
L,y3_trans,0.5923623305812745,0.5923623305812745
