feature,importance
theta_1_2_3,0.10857611491565375
theta_5_6_7,0.08655853410563552
theta_0_5_6,0.08631925507748445
theta_17_18_19,0.08576929337781962
theta_9_10_11,0.079496346519008
theta_0_9_10,0.07602393359591206
theta_13_14_15,0.07481692713903802
theta_0_13_14,0.06987961078461037
theta_0_1_2,0.05614680612615806
theta_6_7_8,0.05183845587665658
theta_10_11_12,0.04875159961556018
theta_0_17_18,0.04832982885953193
theta_14_15_16,0.046965244922463734
theta_2_3_4,0.04363553195152419
theta_18_19_20,0.03689251713294358
