principal_component,proportion_variance_explained,cumulative_variance_explained
PC1,0.40179053287029826,0.40179053287029826
PC2,0.2398640944179812,0.6416546272882795
PC3,0.08766064883622973,0.7293152761245092
PC4,0.07565168022275479,0.804966956347264
PC5,0.05443979657742151,0.8594067529246855
PC6,0.0403569756805882,0.8997637286052736
PC7,0.029366986681921628,0.9291307152871953
PC8,0.020295334043298766,0.949426049330494
PC9,0.01620380156347451,0.9656298508939686
PC10,0.009499254371039802,0.9751291052650084
PC11,0.008063004648654745,0.9831921099136631
PC12,0.005615689620284203,0.9888077995339474
PC13,0.0032928793334798486,0.9921006788674273
PC14,0.0016360095348915582,0.9937366884023188
PC15,0.0015510611121455707,0.9952877495144643
PC16,0.0011858773069420533,0.9964736268214064
PC17,0.0009929774260595576,0.9974666042474659
PC18,0.0007704962330163083,0.9982371004804822
PC19,0.000449756370591428,0.9986868568510736
PC20,0.00028260184981523955,0.9989694587008888
PC21,0.00020000562716190388,0.9991694643280508
PC22,0.00018315330563863235,0.9993526176336894
PC23,0.00014403989363243345,0.9994966575273219
PC24,0.00010536561427425878,0.9996020231415961
PC25,8.246333009069889e-05,0.9996844864716867
PC26,7.87671585059953e-05,0.9997632536301927
PC27,6.963875863479927e-05,0.9998328923888274
PC28,3.9607753146906205e-05,0.9998725001419744
PC29,3.439940888684378e-05,0.9999068995508612
PC30,2.6420445482689414e-05,0.9999333199963439
PC31,1.8607969042985442e-05,0.9999519279653869
PC32,1.3261742443933304e-05,0.9999651897078309
PC33,1.1643042978516481e-05,0.9999768327508094
PC34,7.726192996821632e-06,0.9999845589438062
PC35,4.608798933162625e-06,0.9999891677427394
PC36,3.5066196910691623e-06,0.9999926743624304
PC37,2.9944303357272236e-06,0.9999956687927661
PC38,1.5687573646396529e-06,0.9999972375501308
PC39,1.1067849450515418e-06,0.9999983443350758
PC40,7.895798939051671e-07,0.9999991339149698
PC41,5.051978398618834e-07,0.9999996391128096
PC42,3.6088719033729426e-07,1.0
