,count,mean,std,min,25%,50%,75%,max
x0,5454.0,0.05611346916817771,0.04689620806123333,0.0,0.0182177871465683,0.051567912101745605,0.07999025285243988,0.3396711051464081
y0,5454.0,0.3751315130422873,0.2163954340621827,0.0,0.23208501189947128,0.3445287197828293,0.5109620839357376,1.035371333360672
x1,5454.0,0.11745852578279734,0.06353685932700075,0.011706322431564331,0.07418625056743622,0.10393285751342773,0.15290623903274536,0.388185977935791
y1,5454.0,0.32938093838507676,0.2015735669383929,0.0,0.18510141968727112,0.30280444025993347,0.4475410431623459,0.9775131940841675
x2,5454.0,0.16301949107749672,0.07498212669843995,0.0,0.10833996534347534,0.14434587955474854,0.2075367569923401,0.4326809346675873
y2,5454.0,0.25728119132465876,0.16395656841208608,0.0,0.132785364985466,0.22867725789546967,0.33700934052467346,0.8743911981582642
x3,5454.0,0.17288504873150035,0.08865878714621057,0.0,0.11019399017095566,0.15129642188549042,0.21840021759271622,0.5261151194572449
y3,5454.0,0.2128144157978699,0.1461462956774138,0.0,0.09924343228340149,0.18207478523254395,0.2838097810745239,0.7771358489990234
x4,5454.0,0.17029365640629504,0.11558474904815232,0.006792247295379639,0.08214643597602844,0.14393799006938934,0.2218494489789009,0.6225629150867462
y4,5454.0,0.1897444077926238,0.1504402286498501,0.0,0.07953030616044998,0.15957011282444,0.2703178822994232,0.7771648019552231
x5,5454.0,0.1369169795490203,0.07016420996413698,0.0,0.0928507149219513,0.12343274056911469,0.18158531934022903,0.3645654618740082
y5,5454.0,0.16588526153831112,0.11888884248452943,0.0,0.08436676859855652,0.1486249789595604,0.22504791617393494,0.6645459234714508
x6,5454.0,0.16714054188166164,0.08579660909763133,0.0037935376167297363,0.10658839344978333,0.1458754688501358,0.2117038294672966,0.5239104926586151
y6,5454.0,0.1069284489806598,0.09934615490926241,0.0,0.021727263927459717,0.08745977282524109,0.160369373857975,0.5227153599262238
x7,5454.0,0.18272498744800494,0.10323210520053586,0.0010240375995635986,0.109209805727005,0.15532535314559937,0.2297394573688507,0.6640619933605194
y7,5454.0,0.10204460795901833,0.09131051443097675,0.0,0.03841959685087204,0.07295770943164825,0.1427965760231018,0.49137213826179504
x8,5454.0,0.19191709311346367,0.12085305596082828,0.0,0.10727283358573914,0.15745336562395096,0.24008752405643463,0.7821829617023468
y8,5454.0,0.1012103456469696,0.10639584438001963,0.0,0.019111603498458862,0.06475365161895752,0.15620621293783188,0.5760051012039185
x9,5454.0,0.0989653541278579,0.05659870550388038,0.0,0.06295398622751236,0.08499607443809509,0.1280774101614952,0.32732531428337097
y9,5454.0,0.17386897801150758,0.11007717195134276,0.0,0.0919666737318039,0.15413755178451538,0.22244277969002724,0.754978209733963
x10,5454.0,0.12638346878193568,0.07627446083022388,0.017524421215057373,0.07522880285978317,0.10372212529182434,0.1520349308848381,0.5052056014537811
y10,5454.0,0.11504864421385219,0.10122836196601367,0.0,0.02209007740020752,0.10182857513427734,0.16919659078121185,0.5421695113182068
x11,5454.0,0.14091062799866574,0.08938858055323654,0.013018786907196045,0.08092066645622253,0.11455574631690979,0.16981032490730286,0.6343635618686676
y11,5454.0,0.12635888121024916,0.10822629781134402,0.0,0.05071061849594116,0.09343621134757996,0.1729949414730072,0.7139199674129486
x12,5454.0,0.1480806658217266,0.10251993293967905,0.010022968053817749,0.08192235976457596,0.11776260286569595,0.17642798274755478,0.748967707157135
y12,5454.0,0.13483202032305008,0.13003009070587157,0.0,0.025588080286979675,0.10700774192810059,0.20577985048294067,0.8079647123813629
x13,5454.0,0.06337694989173763,0.053781721917989085,0.0,0.032982975244522095,0.047281935811042786,0.07322068512439728,0.3365425169467926
y13,5454.0,0.19792370877129978,0.11849438059506273,0.0,0.11005795001983643,0.17746596038341522,0.25588053464889526,0.7814090549945831
x14,5454.0,0.08688082265813446,0.07328769340393798,0.009825527667999268,0.04129406809806824,0.06440505385398865,0.10019179433584213,0.467542439699173
y14,5454.0,0.15400010903086206,0.11967354848361156,0.0,0.06517714262008667,0.13693836331367493,0.21931572631001472,0.6188238561153412
x15,5454.0,0.09874251088435544,0.06879937770226253,0.004255831241607666,0.052526816725730896,0.07791668176651001,0.12196755409240723,0.4118659496307373
y15,5454.0,0.18466402541369276,0.13750489619954046,0.0,0.08306887745857239,0.15748168528079987,0.25342798233032227,0.7722891271114349
x16,5454.0,0.10140173279533117,0.06720246240099612,0.0,0.05512814223766327,0.08246514201164246,0.12632514536380768,0.46506011486053467
y16,5454.0,0.20592487219831732,0.1550705111055073,0.0,0.08802396804094315,0.17496082186698914,0.28426721692085266,0.8317770659923553
x17,5454.0,0.02980363975594255,0.06279228020710262,0.0,0.0,0.0,0.021146923303604126,0.42999085783958435
y17,5454.0,0.2325069183612814,0.1374563161339374,0.0,0.13389523327350616,0.21013982594013214,0.3043729364871979,0.7688564658164978
x18,5454.0,0.053406541551650116,0.07584997789210106,0.0,0.0074355825781822205,0.02133280038833618,0.06397232413291931,0.47879698872566223
y18,5454.0,0.19894674457787243,0.13500078419065692,0.0006612539291381836,0.08890799432992935,0.17345654964447021,0.276647862046957,0.708007276058197
x19,5454.0,0.06697618518179049,0.07121090368646561,0.0,0.020552225410938263,0.04021988809108734,0.08848892524838448,0.45490798354148865
y19,5454.0,0.21642998940928498,0.15493672676464681,0.0,0.0936649888753891,0.18605291843414307,0.2973087430000305,0.8003165423870087
x20,5454.0,0.07161950713708631,0.06941648832912342,0.0,0.027998685836791992,0.04571788012981415,0.0941460095345974,0.4241788387298584
y20,5454.0,0.2307390397749937,0.1747587450320912,0.0,0.09586145356297493,0.19629310071468353,0.323043517768383,0.8436380922794342
