dataset,classifier,representation,test_accuracy,source_file
Self ASL,Logistic,XY,99.73474801061008,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv
SignAlphaSet,Logistic,XY,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv
HaGRID,Logistic,XY,73.91304347826086,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv
Self ASL,Random Forest,XY,99.91158267020336,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv
SignAlphaSet,Random Forest,XY,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv
HaGRID,Random Forest,XY,53.72670807453416,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv
Self ASL,Logistic,XYZ,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv
SignAlphaSet,Logistic,XYZ,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv
HaGRID,Logistic,XYZ,80.59006211180125,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv
Self ASL,Random Forest,XYZ,99.73474801061008,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv
SignAlphaSet,Random Forest,XYZ,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv
HaGRID,Random Forest,XYZ,55.90062111801242,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv
Self ASL,Logistic,Translated,99.82316534040672,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv
SignAlphaSet,Logistic,Translated,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv
HaGRID,Logistic,Translated,78.26086956521739,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv
Self ASL,Random Forest,Translated,99.91158267020336,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv
SignAlphaSet,Random Forest,Translated,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv
HaGRID,Random Forest,Translated,77.95031055900621,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv
Self ASL,Logistic,Scaled,99.91158267020336,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv
SignAlphaSet,Logistic,Scaled,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv
HaGRID,Logistic,Scaled,76.08695652173914,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv
Self ASL,Random Forest,Scaled,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv
SignAlphaSet,Random Forest,Scaled,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv
HaGRID,Random Forest,Scaled,84.62732919254658,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv
Self ASL,Logistic,Distance,99.82316534040672,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv
SignAlphaSet,Logistic,Distance,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv
HaGRID,Logistic,Distance,86.33540372670807,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv
Self ASL,Random Forest,Distance,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv
SignAlphaSet,Random Forest,Distance,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv
HaGRID,Random Forest,Distance,81.67701863354037,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv
Self ASL,Logistic,Normalized distance,99.82316534040672,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv
SignAlphaSet,Logistic,Normalized distance,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv
HaGRID,Logistic,Normalized distance,86.95652173913044,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv
Self ASL,Random Forest,Normalized distance,99.91158267020336,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv
SignAlphaSet,Random Forest,Normalized distance,99.80732177263968,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv
HaGRID,Random Forest,Normalized distance,85.09316770186336,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv
Self ASL,Logistic,Angles,98.85057471264368,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv
SignAlphaSet,Logistic,Angles,99.80732177263968,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv
HaGRID,Logistic,Angles,73.4472049689441,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv
Self ASL,Random Forest,Angles,99.46949602122017,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv
SignAlphaSet,Random Forest,Angles,99.80732177263968,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv
HaGRID,Random Forest,Angles,75.93167701863354,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv
Self ASL,Logistic,Hybrid,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv
SignAlphaSet,Logistic,Hybrid,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv
HaGRID,Logistic,Hybrid,89.13043478260869,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_logistic_regression_outputs\hagrid_100_logistic_regression_all_representations_summary.csv
Self ASL,Random Forest,Hybrid,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv
SignAlphaSet,Random Forest,Hybrid,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv
HaGRID,Random Forest,Hybrid,87.26708074534162,C:\Users\shiva\PycharmProjects\SignLanguage\hagrid_100_random_forest_outputs\hagrid_100_random_forest_all_representations_summary.csv
