dataset,classifier,ablation_variant,repeat,fold,split_id,accuracy,dimension,inner_cv_accuracy,best_params
HaGRID,Multinomial logistic,Hybrid,0,0,0,88.19875776397515,267,87.1845526094653,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,0,0,0,88.19875776397515,267,87.5342934132224,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,0,0,0,86.95652173913044,225,86.05848943450806,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,0,0,0,87.26708074534162,225,85.63163650474476,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,0,0,0,83.69565217391305,57,83.7672416834233,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,0,0,0,86.33540372670807,57,85.67030563538131,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,0,0,0,88.81987577639751,252,87.26229791421875,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,0,0,0,87.5776397515528,252,87.45650288141556,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,0,1,1,88.04347826086956,267,87.18423602009166,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,0,1,1,88.19875776397515,267,87.53361500742174,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,0,1,1,86.33540372670807,225,85.94148704742418,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,0,1,1,85.86956521739131,225,85.08696710093685,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,0,1,1,84.62732919254658,57,83.68931547045634,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,0,1,1,86.33540372670807,57,85.70879385780434,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,0,1,1,88.35403726708074,252,87.22317651304846,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,0,1,1,87.5776397515528,252,87.10658116944496,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,0,2,2,87.11180124223603,267,87.650300805132,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,0,2,2,86.95652173913044,267,87.61149599333534,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,0,2,2,86.18012422360249,225,85.98051799448773,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,0,2,2,85.40372670807453,225,85.74728208022736,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,0,2,2,84.3167701863354,57,83.4567579619966,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,0,2,2,84.93788819875776,57,85.51449843650076,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,0,2,2,87.26708074534162,252,87.650300805132,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,0,2,2,86.64596273291926,252,87.41724579908515,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,0,3,3,88.66459627329193,267,87.06818340112868,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,0,3,3,88.50931677018633,267,87.26234314127214,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,0,3,3,86.49068322981367,225,85.3593244163675,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,0,3,3,86.49068322981367,225,85.35914350815398,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,0,3,3,85.86956521739131,57,83.61197720918327,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,0,3,3,87.5776397515528,57,85.51472457176764,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,0,3,3,88.66459627329193,252,87.18464306357205,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,0,3,3,88.19875776397515,252,86.99043809637524,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,0,4,4,87.24727838258165,267,88.00474522244022,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,0,4,4,87.24727838258165,267,87.7326592693298,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,0,4,4,85.38102643856921,225,86.52934828720626,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,0,4,4,84.29237947122861,225,85.55868526764918,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,0,4,4,83.04821150855366,57,84.74387467402602,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,0,4,4,85.22550544323484,57,85.94745701846982,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,0,4,4,86.78071539657853,252,87.65514009984324,{'model__C': 0.1}
