classifier,representation,mean_accuracy,std_accuracy,min_accuracy,max_accuracy
Multinomial logistic,Hybrid,85.15677192507944,1.25209921209076,82.11508553654744,88.50931677018633
Random forest,Hybrid,87.84085179138935,0.96906437237402,85.86956521739131,89.89113530326594
Multinomial logistic,Norm Dist,83.37989625493852,0.75593698353508,81.95956454121306,85.24844720496894
Random forest,Norm Dist,85.89308656047449,0.99246812422437,83.54037267080744,88.64696734059098
Multinomial logistic,Distance,83.66249046105696,1.16787579601334,81.33748055987559,86.95652173913044
Random forest,Distance,82.24606609159316,1.21139415870991,79.96894409937887,85.06998444790047
Multinomial logistic,Scaled,76.37475730031007,1.36825766070056,73.13664596273291,80.09331259720062
Random forest,Scaled,84.62887957265535,1.22192302569441,82.14285714285714,88.02488335925351
Multinomial logistic,Translated,78.20136588004598,1.48034103345797,75.42768273716952,81.64852255054433
Random forest,Translated,78.32272538469712,1.42237116548654,75.93167701863354,81.95956454121306
Multinomial logistic,Angles,73.03521439680073,1.37511955706583,69.40993788819875,76.24223602484473
Random forest,Angles,76.95545434347922,1.27524651635042,74.33903576982893,79.5031055900621
Multinomial logistic,XYZ,80.92276112554698,1.58111142107552,76.86335403726709,84.13685847589424
Random forest,XYZ,55.28428465171991,1.61097852718174,52.484472049689444,58.22981366459628
Multinomial logistic,XY,73.69068709368932,1.47362837917888,71.11801242236024,76.86335403726709
Random forest,XY,53.8801763859239,2.05858908009456,49.378881987577635,57.453416149068325
