perturbation_type,level,representation,classifier,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_accuracy_drop,std_accuracy_drop,min_accuracy_drop,max_accuracy_drop,clean_accuracy,translation,scale_low,scale_high,noise
Scale only,0,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.0,1.0,1.0,0.0
Scale only,0,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.0,1.0,1.0,0.0
Scale only,0,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0
Scale only,0,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0
Scale only,0,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.0,1.0,1.0,0.0
Scale only,0,Translated,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.0,1.0,1.0,0.0
Scale only,0,XY,Multinomial logistic,99.73474801061008,0.0,99.73474801061008,99.73474801061008,0.0,0.0,0.0,0.0,99.73474801061008,0.0,1.0,1.0,0.0
Scale only,1,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.0,0.8,1.25,0.0
Scale only,1,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.0,0.8,1.25,0.0
Scale only,1,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.8,1.25,0.0
Scale only,1,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.8,1.25,0.0
Scale only,1,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.0,0.8,1.25,0.0
Scale only,1,Translated,Multinomial logistic,99.78779840848806,0.045658512775802594,99.73474801061008,99.82316534040672,0.035366931918656516,0.04565851277580274,0.0,0.0884173297966413,99.82316534040672,0.0,0.8,1.25,0.0
Scale only,1,XY,Multinomial logistic,95.85322723253758,0.3186569506814118,95.31388152077808,96.46330680813439,3.8815207780724976,0.31865695068141164,3.2714412024756854,4.420866489831994,99.73474801061008,0.0,0.8,1.25,0.0
Scale only,2,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.0,0.6,1.6,0.0
Scale only,2,Distance,Multinomial logistic,99.57559681697613,0.16034742715868,99.38107869142353,99.82316534040672,0.24756852343058428,0.16034742715868208,0.0,0.4420866489831923,99.82316534040672,0.0,0.6,1.6,0.0
Scale only,2,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.6,1.6,0.0
Scale only,2,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.6,1.6,0.0
Scale only,2,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.0,0.6,1.6,0.0
