dataset,classifier,representation,test_accuracy,cv_accuracy,source_file,condition,rank
Self ASL,Logistic,XY,99.73474801061008,99.77888329340439,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv,Self ASL / Logistic,7.0
Self ASL,Logistic,XYZ,100.0,99.86730552975114,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv,Self ASL / Logistic,1.0
Self ASL,Logistic,Translated,99.82316534040672,99.66833716325232,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv,Self ASL / Logistic,4.0
Self ASL,Logistic,Scaled,99.91158267020336,99.73463550579378,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv,Self ASL / Logistic,3.0
Self ASL,Logistic,Distance,99.82316534040672,99.75673495330759,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv,Self ASL / Logistic,4.0
Self ASL,Logistic,Normalized distance,99.82316534040672,99.7788099545299,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv,Self ASL / Logistic,4.0
Self ASL,Logistic,Angles,98.85057471264368,98.56246027477631,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv,Self ASL / Logistic,8.0
Self ASL,Logistic,Hybrid,100.0,99.7788099545299,C:\Users\shiva\PycharmProjects\SignLanguage\logistic_regression_outputs\logistic_regression_all_representations_summary.csv,Self ASL / Logistic,1.0
Self ASL,Random Forest,XY,99.91158267020336,99.69041216447464,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv,Self ASL / Random Forest,4.0
Self ASL,Random Forest,XYZ,99.73474801061008,99.6240649293502,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv,Self ASL / Random Forest,7.0
Self ASL,Random Forest,Translated,99.91158267020336,99.73463550579378,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv,Self ASL / Random Forest,4.0
Self ASL,Random Forest,Scaled,100.0,99.8009094020437,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv,Self ASL / Random Forest,1.0
Self ASL,Random Forest,Distance,100.0,99.75675939959908,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv,Self ASL / Random Forest,1.0
Self ASL,Random Forest,Normalized distance,99.91158267020336,99.82305774214052,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv,Self ASL / Random Forest,4.0
Self ASL,Random Forest,Angles,99.46949602122017,99.31445264753336,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv,Self ASL / Random Forest,8.0
Self ASL,Random Forest,Hybrid,100.0,99.84518163594582,C:\Users\shiva\PycharmProjects\SignLanguage\random_forest_outputs\random_forest_all_representations_summary.csv,Self ASL / Random Forest,1.0
SignAlphaSet,Logistic,XY,100.0,99.90361445783134,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv,SignAlphaSet / Logistic,1.0
SignAlphaSet,Logistic,XYZ,100.0,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv,SignAlphaSet / Logistic,1.0
SignAlphaSet,Logistic,Translated,100.0,99.90361445783134,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv,SignAlphaSet / Logistic,1.0
SignAlphaSet,Logistic,Scaled,100.0,99.90361445783134,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv,SignAlphaSet / Logistic,1.0
SignAlphaSet,Logistic,Distance,100.0,99.95180722891568,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv,SignAlphaSet / Logistic,1.0
SignAlphaSet,Logistic,Normalized distance,100.0,99.95180722891568,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv,SignAlphaSet / Logistic,1.0
SignAlphaSet,Logistic,Angles,99.80732177263968,99.75880332925908,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv,SignAlphaSet / Logistic,8.0
SignAlphaSet,Logistic,Hybrid,100.0,100.0,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_logistic_regression_outputs\SignAlphaSet_logistic_regression_all_representations_summary.csv,SignAlphaSet / Logistic,1.0
SignAlphaSet,Random Forest,XY,100.0,99.85518887142776,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv,SignAlphaSet / Random Forest,1.0
SignAlphaSet,Random Forest,XYZ,100.0,99.95180722891568,C:\Users\shiva\PycharmProjects\SignLanguage\SignAlphaSet_random_forest_outputs\SignAlphaSet_random_forest_all_representations_summary.csv,SignAlphaSet / Random Forest,1.0
