classifier,representation,controlled_accuracy,hagrid_accuracy,drop
Logistic,XY,99.86737400530504,73.91304347826086,25.954330527044178
Logistic,XYZ,100.0,80.59006211180125,19.409937888198755
Logistic,Translated,99.91158267020336,78.26086956521739,21.650713104985968
Logistic,Scaled,99.95579133510168,76.08695652173914,23.86883481336254
Logistic,Distance,99.91158267020336,86.33540372670807,13.576178943495293
Logistic,Normalized distance,99.91158267020336,86.95652173913044,12.955060931072921
Logistic,Angles,99.32894824264167,73.4472049689441,25.881743273697566
Logistic,Hybrid,100.0,89.13043478260869,10.869565217391312
Random Forest,XY,99.95579133510168,53.72670807453416,46.22908326056752
Random Forest,XYZ,99.86737400530504,55.90062111801242,43.96675288729262
Random Forest,Translated,99.95579133510168,77.95031055900621,22.005480776095467
Random Forest,Scaled,100.0,84.62732919254658,15.372670807453417
Random Forest,Distance,100.0,81.67701863354037,18.32298136645963
Random Forest,Normalized distance,99.85945222142152,85.09316770186336,14.766284519558155
Random Forest,Angles,99.63840889692992,75.93167701863354,23.70673187829638
Random Forest,Hybrid,100.0,87.26708074534162,12.732919254658384
