level,repeat,representation,accuracy,translation,scale,noise
0,0,XY,99.73474801061008,0.0,0.0,0.0
0,0,Translated,99.82316534040672,0.0,0.0,0.0
0,0,Scaled,99.91158267020336,0.0,0.0,0.0
0,0,Norm. distance,100.0,0.0,0.0,0.0
0,0,Angles,98.85057471264368,0.0,0.0,0.0
0,0,Hybrid,100.0,0.0,0.0,0.0
0,1,XY,99.73474801061008,0.0,0.0,0.0
0,1,Translated,99.82316534040672,0.0,0.0,0.0
0,1,Scaled,99.91158267020336,0.0,0.0,0.0
0,1,Norm. distance,100.0,0.0,0.0,0.0
0,1,Angles,98.85057471264368,0.0,0.0,0.0
0,1,Hybrid,100.0,0.0,0.0,0.0
0,2,XY,99.73474801061008,0.0,0.0,0.0
0,2,Translated,99.82316534040672,0.0,0.0,0.0
0,2,Scaled,99.91158267020336,0.0,0.0,0.0
0,2,Norm. distance,100.0,0.0,0.0,0.0
0,2,Angles,98.85057471264368,0.0,0.0,0.0
0,2,Hybrid,100.0,0.0,0.0,0.0
0,3,XY,99.73474801061008,0.0,0.0,0.0
0,3,Translated,99.82316534040672,0.0,0.0,0.0
0,3,Scaled,99.91158267020336,0.0,0.0,0.0
0,3,Norm. distance,100.0,0.0,0.0,0.0
0,3,Angles,98.85057471264368,0.0,0.0,0.0
0,3,Hybrid,100.0,0.0,0.0,0.0
0,4,XY,99.73474801061008,0.0,0.0,0.0
0,4,Translated,99.82316534040672,0.0,0.0,0.0
0,4,Scaled,99.91158267020336,0.0,0.0,0.0
0,4,Norm. distance,100.0,0.0,0.0,0.0
0,4,Angles,98.85057471264368,0.0,0.0,0.0
0,4,Hybrid,100.0,0.0,0.0,0.0
0,5,XY,99.73474801061008,0.0,0.0,0.0
0,5,Translated,99.82316534040672,0.0,0.0,0.0
0,5,Scaled,99.91158267020336,0.0,0.0,0.0
0,5,Norm. distance,100.0,0.0,0.0,0.0
0,5,Angles,98.85057471264368,0.0,0.0,0.0
0,5,Hybrid,100.0,0.0,0.0,0.0
0,6,XY,99.73474801061008,0.0,0.0,0.0
0,6,Translated,99.82316534040672,0.0,0.0,0.0
0,6,Scaled,99.91158267020336,0.0,0.0,0.0
0,6,Norm. distance,100.0,0.0,0.0,0.0
0,6,Angles,98.85057471264368,0.0,0.0,0.0
0,6,Hybrid,100.0,0.0,0.0,0.0
0,7,XY,99.73474801061008,0.0,0.0,0.0
0,7,Translated,99.82316534040672,0.0,0.0,0.0
0,7,Scaled,99.91158267020336,0.0,0.0,0.0
0,7,Norm. distance,100.0,0.0,0.0,0.0
0,7,Angles,98.85057471264368,0.0,0.0,0.0
0,7,Hybrid,100.0,0.0,0.0,0.0
1,0,XY,98.76215738284704,0.05,0.1,0.005
1,0,Translated,99.64633068081345,0.05,0.1,0.005
1,0,Scaled,99.82316534040672,0.05,0.1,0.005
1,0,Norm. distance,99.91158267020336,0.05,0.1,0.005
1,0,Angles,70.026525198939,0.05,0.1,0.005
1,0,Hybrid,100.0,0.05,0.1,0.005
1,1,XY,98.58532272325375,0.05,0.1,0.005
1,1,Translated,99.73474801061008,0.05,0.1,0.005
1,1,Scaled,99.64633068081345,0.05,0.1,0.005
1,1,Norm. distance,99.91158267020336,0.05,0.1,0.005
1,1,Angles,70.20335985853228,0.05,0.1,0.005
1,1,Hybrid,100.0,0.05,0.1,0.005
1,2,XY,98.58532272325375,0.05,0.1,0.005
1,2,Translated,99.73474801061008,0.05,0.1,0.005
1,2,Scaled,99.91158267020336,0.05,0.1,0.005
1,2,Norm. distance,99.91158267020336,0.05,0.1,0.005
1,2,Angles,69.14235190097259,0.05,0.1,0.005
1,2,Hybrid,99.91158267020336,0.05,0.1,0.005
1,3,XY,99.29266136162688,0.05,0.1,0.005
1,3,Translated,99.73474801061008,0.05,0.1,0.005
1,3,Scaled,100.0,0.05,0.1,0.005
1,3,Norm. distance,99.82316534040672,0.05,0.1,0.005
1,3,Angles,71.70645446507515,0.05,0.1,0.005
1,3,Hybrid,99.91158267020336,0.05,0.1,0.005
1,4,XY,98.93899204244032,0.05,0.1,0.005
1,4,Translated,99.73474801061008,0.05,0.1,0.005
1,4,Scaled,99.91158267020336,0.05,0.1,0.005
1,4,Norm. distance,99.82316534040672,0.05,0.1,0.005
1,4,Angles,69.49602122015915,0.05,0.1,0.005
1,4,Hybrid,100.0,0.05,0.1,0.005
1,5,XY,99.11582670203359,0.05,0.1,0.005
1,5,Translated,99.64633068081345,0.05,0.1,0.005
1,5,Scaled,99.82316534040672,0.05,0.1,0.005
1,5,Norm. distance,99.91158267020336,0.05,0.1,0.005
1,5,Angles,69.14235190097259,0.05,0.1,0.005
1,5,Hybrid,100.0,0.05,0.1,0.005
1,6,XY,98.93899204244032,0.05,0.1,0.005
1,6,Translated,99.64633068081345,0.05,0.1,0.005
1,6,Scaled,99.82316534040672,0.05,0.1,0.005
1,6,Norm. distance,99.73474801061008,0.05,0.1,0.005
1,6,Angles,69.58443854995579,0.05,0.1,0.005
1,6,Hybrid,99.91158267020336,0.05,0.1,0.005
1,7,XY,99.11582670203359,0.05,0.1,0.005
1,7,Translated,99.82316534040672,0.05,0.1,0.005
1,7,Scaled,100.0,0.05,0.1,0.005
1,7,Norm. distance,100.0,0.05,0.1,0.005
1,7,Angles,70.82228116710876,0.05,0.1,0.005
1,7,Hybrid,100.0,0.05,0.1,0.005
2,0,XY,89.2130857648099,0.1,0.2,0.01
2,0,Translated,98.49690539345711,0.1,0.2,0.01
2,0,Scaled,97.96640141467728,0.1,0.2,0.01
2,0,Norm. distance,98.49690539345711,0.1,0.2,0.01
2,0,Angles,40.58355437665783,0.1,0.2,0.01
2,0,Hybrid,99.02740937223696,0.1,0.2,0.01
2,1,XY,89.38992042440319,0.1,0.2,0.01
2,1,Translated,98.6737400530504,0.1,0.2,0.01
2,1,Scaled,98.40848806366049,0.1,0.2,0.01
2,1,Norm. distance,98.76215738284704,0.1,0.2,0.01
2,1,Angles,42.70557029177719,0.1,0.2,0.01
2,1,Hybrid,99.11582670203359,0.1,0.2,0.01
2,2,XY,90.98143236074272,0.1,0.2,0.01
2,2,Translated,98.49690539345711,0.1,0.2,0.01
2,2,Scaled,98.05481874447392,0.1,0.2,0.01
2,2,Norm. distance,99.02740937223696,0.1,0.2,0.01
2,2,Angles,42.263483642793986,0.1,0.2,0.01
2,2,Hybrid,99.11582670203359,0.1,0.2,0.01
2,3,XY,88.50574712643679,0.1,0.2,0.01
2,3,Translated,98.58532272325375,0.1,0.2,0.01
2,3,Scaled,97.43589743589743,0.1,0.2,0.01
2,3,Norm. distance,98.93899204244032,0.1,0.2,0.01
2,3,Angles,41.99823165340407,0.1,0.2,0.01
2,3,Hybrid,99.20424403183023,0.1,0.2,0.01
2,4,XY,90.71618037135278,0.1,0.2,0.01
2,4,Translated,99.02740937223696,0.1,0.2,0.01
2,4,Scaled,98.2316534040672,0.1,0.2,0.01
2,4,Norm. distance,98.93899204244032,0.1,0.2,0.01
2,4,Angles,42.61715296198055,0.1,0.2,0.01
2,4,Hybrid,99.29266136162688,0.1,0.2,0.01
2,5,XY,90.71618037135278,0.1,0.2,0.01
2,5,Translated,98.76215738284704,0.1,0.2,0.01
2,5,Scaled,97.70114942528735,0.1,0.2,0.01
2,5,Norm. distance,98.85057471264368,0.1,0.2,0.01
2,5,Angles,42.35190097259063,0.1,0.2,0.01
2,5,Hybrid,99.20424403183023,0.1,0.2,0.01
2,6,XY,89.92042440318302,0.1,0.2,0.01
2,6,Translated,97.87798408488064,0.1,0.2,0.01
2,6,Scaled,97.70114942528735,0.1,0.2,0.01
2,6,Norm. distance,98.6737400530504,0.1,0.2,0.01
2,6,Angles,41.55614500442087,0.1,0.2,0.01
2,6,Hybrid,99.02740937223696,0.1,0.2,0.01
2,7,XY,89.47833775419983,0.1,0.2,0.01
2,7,Translated,98.6737400530504,0.1,0.2,0.01
2,7,Scaled,98.14323607427056,0.1,0.2,0.01
2,7,Norm. distance,98.32007073386384,0.1,0.2,0.01
2,7,Angles,42.61715296198055,0.1,0.2,0.01
2,7,Hybrid,99.20424403183023,0.1,0.2,0.01
3,0,XY,66.66666666666666,0.2,0.3,0.02
3,0,Translated,90.71618037135278,0.2,0.3,0.02
3,0,Scaled,88.50574712643679,0.2,0.3,0.02
3,0,Norm. distance,89.03625110521662,0.2,0.3,0.02
3,0,Angles,21.220159151193634,0.2,0.3,0.02
3,0,Hybrid,90.71618037135278,0.2,0.3,0.02
3,1,XY,67.72767462422635,0.2,0.3,0.02
3,1,Translated,91.68877099911583,0.2,0.3,0.02
3,1,Scaled,89.8320070733864,0.2,0.3,0.02
3,1,Norm. distance,89.74358974358975,0.2,0.3,0.02
3,1,Angles,19.54022988505747,0.2,0.3,0.02
3,1,Hybrid,92.21927497789567,0.2,0.3,0.02
3,2,XY,69.93810786914236,0.2,0.3,0.02
3,2,Translated,91.8656056587091,0.2,0.3,0.02
3,2,Scaled,89.74358974358975,0.2,0.3,0.02
3,2,Norm. distance,89.2130857648099,0.2,0.3,0.02
3,2,Angles,22.015915119363395,0.2,0.3,0.02
3,2,Hybrid,91.60035366931919,0.2,0.3,0.02
3,3,XY,67.63925729442971,0.2,0.3,0.02
3,3,Translated,89.74358974358975,0.2,0.3,0.02
3,3,Scaled,89.92042440318302,0.2,0.3,0.02
3,3,Norm. distance,89.30150309460655,0.2,0.3,0.02
3,3,Angles,17.771883289124666,0.2,0.3,0.02
3,3,Hybrid,91.33510167992927,0.2,0.3,0.02
3,4,XY,67.1971706454465,0.2,0.3,0.02
3,4,Translated,89.92042440318302,0.2,0.3,0.02
3,4,Scaled,87.26790450928382,0.2,0.3,0.02
3,4,Norm. distance,88.85941644562334,0.2,0.3,0.02
3,4,Angles,17.595048629531387,0.2,0.3,0.02
3,4,Hybrid,90.36251105216623,0.2,0.3,0.02
3,5,XY,69.58443854995579,0.2,0.3,0.02
3,5,Translated,90.80459770114942,0.2,0.3,0.02
3,5,Scaled,88.68258178603006,0.2,0.3,0.02
3,5,Norm. distance,89.65517241379311,0.2,0.3,0.02
3,5,Angles,18.921308576480993,0.2,0.3,0.02
3,5,Hybrid,90.89301503094606,0.2,0.3,0.02
3,6,XY,67.1971706454465,0.2,0.3,0.02
3,6,Translated,90.71618037135278,0.2,0.3,0.02
3,6,Scaled,89.30150309460655,0.2,0.3,0.02
3,6,Norm. distance,89.38992042440319,0.2,0.3,0.02
3,6,Angles,20.954907161803714,0.2,0.3,0.02
3,6,Hybrid,90.89301503094606,0.2,0.3,0.02
3,7,XY,69.23076923076923,0.2,0.3,0.02
3,7,Translated,91.15826702033598,0.2,0.3,0.02
3,7,Scaled,88.85941644562334,0.2,0.3,0.02
3,7,Norm. distance,89.8320070733864,0.2,0.3,0.02
3,7,Angles,19.18656056587091,0.2,0.3,0.02
3,7,Hybrid,89.74358974358975,0.2,0.3,0.02
