level,repeat,representation,accuracy,translation,scale_low,scale_high,noise
0,0,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,0,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,0,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,0,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,0,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,0,Hybrid,100.0,0.0,1.0,1.0,0.0
0,1,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,1,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,1,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,1,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,1,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,1,Hybrid,100.0,0.0,1.0,1.0,0.0
0,2,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,2,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,2,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,2,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,2,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,2,Hybrid,100.0,0.0,1.0,1.0,0.0
0,3,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,3,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,3,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,3,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,3,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,3,Hybrid,100.0,0.0,1.0,1.0,0.0
0,4,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,4,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,4,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,4,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,4,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,4,Hybrid,100.0,0.0,1.0,1.0,0.0
0,5,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,5,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,5,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,5,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,5,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,5,Hybrid,100.0,0.0,1.0,1.0,0.0
0,6,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,6,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,6,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,6,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,6,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,6,Hybrid,100.0,0.0,1.0,1.0,0.0
0,7,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,7,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,7,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,7,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,7,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,7,Hybrid,100.0,0.0,1.0,1.0,0.0
0,8,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,8,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,8,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,8,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,8,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,8,Hybrid,100.0,0.0,1.0,1.0,0.0
0,9,XY,99.73474801061008,0.0,1.0,1.0,0.0
0,9,Translated,99.82316534040672,0.0,1.0,1.0,0.0
0,9,Scaled,99.91158267020336,0.0,1.0,1.0,0.0
0,9,Norm. distance,100.0,0.0,1.0,1.0,0.0
0,9,Angles,98.85057471264368,0.0,1.0,1.0,0.0
0,9,Hybrid,100.0,0.0,1.0,1.0,0.0
1,0,XY,90.98143236074272,0.1,0.8,1.25,0.001
1,0,Translated,99.73474801061008,0.1,0.8,1.25,0.001
1,0,Scaled,99.91158267020336,0.1,0.8,1.25,0.001
1,0,Norm. distance,100.0,0.1,0.8,1.25,0.001
1,0,Angles,97.96640141467728,0.1,0.8,1.25,0.001
1,0,Hybrid,100.0,0.1,0.8,1.25,0.001
1,1,XY,89.74358974358975,0.1,0.8,1.25,0.001
1,1,Translated,99.82316534040672,0.1,0.8,1.25,0.001
1,1,Scaled,99.91158267020336,0.1,0.8,1.25,0.001
1,1,Norm. distance,100.0,0.1,0.8,1.25,0.001
1,1,Angles,98.40848806366049,0.1,0.8,1.25,0.001
