level,representation,mean_accuracy,std_accuracy
0,Angles,98.85057471264368,0.0
0,Hybrid,100.0,0.0
0,Norm. distance,100.0,0.0
0,Scaled,99.91158267020336,0.0
0,Translated,99.82316534040672,0.0
0,XY,99.73474801061008,0.0
1,Angles,97.78072502210433,0.318656950681419
1,Hybrid,100.0,0.0
1,Norm. distance,99.99115826702034,0.02796001467876644
1,Scaled,99.93810786914234,0.042709627899174624
1,Translated,99.7789566755084,0.046600024464609036
1,XY,90.09725906277632,0.9412743544162284
2,Angles,93.06808134394342,0.5563972669337687
2,Hybrid,100.0,0.0
2,Norm. distance,99.96463306808134,0.0456585127758021
2,Scaled,99.92926613616268,0.03728001957168814
2,Translated,99.55791335101681,0.13180477320952952
2,XY,58.328912466843505,1.1964868229673749
3,Angles,86.17152961980548,0.9506404990780231
3,Hybrid,99.99115826702034,0.02796001467876644
3,Norm. distance,99.92926613616268,0.03728001957168767
3,Scaled,99.91158267020336,0.07219244747371593
3,Translated,97.34748010610079,0.32819123859888044
3,XY,37.621573828470375,1.4907638436239876
4,Angles,80.45977011494253,0.6785065978910301
4,Hybrid,99.92926613616268,0.08124991896310244
4,Norm. distance,99.78779840848806,0.07456003914337309
4,Scaled,99.73474801061009,0.15595351082019054
4,Translated,95.70291777188329,0.5656866779374023
4,XY,28.19628647214854,1.1516524554722238
