,theta_0_1_2,theta_1_2_3,theta_2_3_4,theta_0_5_6,theta_5_6_7,theta_6_7_8,theta_0_9_10,theta_9_10_11,theta_10_11_12,theta_0_13_14,theta_13_14_15,theta_14_15_16,theta_0_17_18,theta_17_18_19,theta_18_19_20
call,-0.12847209516752126,0.681438937297142,-0.2828044180805977,-1.2088943164444295,-0.855643194081581,-0.41061850056093674,-0.5927197987062474,-0.8990375201215168,0.21294938228991775,-0.3902002450245244,-1.1849788787559075,-1.0123441763025376,1.2741705073577558,2.4103025002807867,0.3623417504076925
dislike,0.7008414171264769,2.207893615575674,1.5426203227285997,-0.8987980592952638,-1.990087637472009,0.3074505720253234,-0.3778118468686625,-0.4496236653563705,-0.9656413352773401,-0.7979690328614132,-0.42039603162590844,-0.4491956902430389,-0.10149300283950467,-0.025801016993302898,0.12227980989762338
fist,-0.07001823584878648,-1.1016551271323398,-0.8464304859737612,-0.019522510684898645,-1.0141081037111803,0.4361664375157661,-0.6980184056013934,-0.8364632470931924,-0.5522969075243047,0.6831482822500348,0.29121924953547124,-0.9275503097950534,-0.1384285154340822,-0.6091416357617143,0.19802425337529767
four,-0.465462287545559,-2.9525878361804465,-0.8720606667144699,1.6606399408779184,-0.41995612923364584,0.3291401460602708,-0.12111370040908774,-0.7829734269168441,0.16369871738107544,0.09129010255057379,1.8501440886212517,0.5158927753875547,0.7382715771131818,1.4060365914741983,0.3957151125884277
grabbing,0.4322966646736955,-0.8506563873876181,-0.6429641300538596,1.092770506085493,-0.3123386907798536,-1.067312790257925,-0.6250415904771099,0.8901354582755366,-1.2049893627868848,0.7939301486387434,0.6292754347406776,0.19234158923869368,0.654390128364694,-0.01738290300995071,-0.6672594769019096
grip,0.25473370365660186,2.562036909364532,-0.9001050410795208,-0.30392723303494457,-0.5014816486498607,-0.8411036278566754,0.16822611316171393,-0.610776520024555,-0.15828688473174132,-0.3302734837020742,0.17709983049804306,-0.09182910102202126,-0.3558171446306792,0.49748779587377095,-0.2781327580275076
hand_heart,1.7009620674487074,-1.6169866665137287,1.3198200935236815,0.6206213221088696,-2.3761434854469115,-1.582341731580308,0.9862855913974801,0.9596117661197123,1.7823735991228853,0.44697567993480675,0.704097800232876,0.6060749903885565,0.40068996145025315,0.5022929584108372,-0.4294049001417314
hand_heart2,1.500550246081992,-0.7992311564435146,0.7627631054480939,0.18678686363121005,-0.47545593611015724,-0.8464016677184591,0.2774933077498007,-1.181348302414525,-1.1679257375481478,0.2635417089916085,-0.1577068002982633,0.16027096452031436,0.8922810823818327,1.246741291105296,-0.3136044004765542
holy,1.4883447472485734,1.4667122091246014,1.705103365774235,-0.33011591229405707,1.418246467044371,1.4063686314788393,-0.623699192245129,0.385806155096476,-0.20471534484340376,2.118166713881441,0.49873432566668513,-0.547074283166235,0.7113044303580293,0.5494125542289888,1.4650260842011953
like,0.36178126615414735,2.525465021960592,-0.395645520964171,-1.1595125660490677,-1.428899052204645,0.12033600371241102,-0.16815279403817127,-0.11330991637773193,-0.027804432957883103,-0.31064920213088126,0.4619820410697804,0.11883998052693472,-0.2250842139420717,-1.4887163348987476,-0.2555670027963252
