class,feature,coefficient,abs_coefficient
peace,theta_0_5_6,3.35602682197172,3.35602682197172
three_gun,theta_1_2_3,3.2117679312149896,3.2117679312149896
thumb_index,theta_9_10_11,-3.069172929342928,3.069172929342928
ok,theta_5_6_7,-3.0302766007147928,3.0302766007147928
palm,theta_0_5_6,3.0039932895411443,3.0039932895411443
little_finger,theta_17_18_19,2.97237561316927,2.97237561316927
four,theta_1_2_3,-2.9525878361804465,2.9525878361804465
three3,theta_13_14_15,-2.937941525149388,2.937941525149388
two_up,theta_0_9_10,2.903395486657687,2.903395486657687
middle_finger,theta_9_10_11,2.8829358312484374,2.8829358312484374
three,theta_13_14_15,2.859082783614752,2.859082783614752
three3,theta_17_18_19,2.749588139841042,2.749588139841042
timeout,theta_18_19_20,2.7423850478621747,2.7423850478621747
grip,theta_1_2_3,2.562036909364532,2.562036909364532
rock,theta_17_18_19,2.542268478769149,2.542268478769149
like,theta_1_2_3,2.525465021960592,2.525465021960592
one,theta_9_10_11,-2.4643473021177043,2.4643473021177043
thumb_index2,theta_9_10_11,-2.4276406221250366,2.4276406221250366
call,theta_17_18_19,2.4103025002807867,2.4103025002807867
hand_heart,theta_5_6_7,-2.3761434854469115,2.3761434854469115
rock,theta_9_10_11,-2.308082921885013,2.308082921885013
timeout,theta_1_2_3,2.2815290958398555,2.2815290958398555
three,theta_17_18_19,-2.239985997836043,2.239985997836043
peace,theta_1_2_3,-2.2237566473389356,2.2237566473389356
three,theta_1_2_3,-2.22374050095455,2.22374050095455
