class,feature,coefficient,abs_coefficient
call,theta_17_18_19,2.4103025002807867,2.4103025002807867
call,theta_0_17_18,1.2741705073577558,1.2741705073577558
call,theta_0_5_6,-1.2088943164444295,1.2088943164444295
call,theta_13_14_15,-1.1849788787559075,1.1849788787559075
call,theta_14_15_16,-1.0123441763025376,1.0123441763025376
call,theta_9_10_11,-0.8990375201215168,0.8990375201215168
call,theta_5_6_7,-0.855643194081581,0.855643194081581
call,theta_1_2_3,0.681438937297142,0.681438937297142
call,theta_0_9_10,-0.5927197987062474,0.5927197987062474
call,theta_6_7_8,-0.41061850056093674,0.41061850056093674
dislike,theta_1_2_3,2.207893615575674,2.207893615575674
dislike,theta_5_6_7,-1.990087637472009,1.990087637472009
dislike,theta_2_3_4,1.5426203227285997,1.5426203227285997
dislike,theta_10_11_12,-0.9656413352773401,0.9656413352773401
dislike,theta_0_5_6,-0.8987980592952638,0.8987980592952638
dislike,theta_0_13_14,-0.7979690328614132,0.7979690328614132
dislike,theta_0_1_2,0.7008414171264769,0.7008414171264769
dislike,theta_9_10_11,-0.4496236653563705,0.4496236653563705
dislike,theta_14_15_16,-0.4491956902430389,0.4491956902430389
dislike,theta_13_14_15,-0.42039603162590844,0.42039603162590844
fist,theta_1_2_3,-1.1016551271323398,1.1016551271323398
fist,theta_5_6_7,-1.0141081037111803,1.0141081037111803
fist,theta_14_15_16,-0.9275503097950534,0.9275503097950534
fist,theta_2_3_4,-0.8464304859737612,0.8464304859737612
fist,theta_9_10_11,-0.8364632470931924,0.8364632470931924
fist,theta_0_9_10,-0.6980184056013934,0.6980184056013934
fist,theta_0_13_14,0.6831482822500348,0.6831482822500348
fist,theta_17_18_19,-0.6091416357617143,0.6091416357617143
fist,theta_10_11_12,-0.5522969075243047,0.5522969075243047
fist,theta_6_7_8,0.4361664375157661,0.4361664375157661
four,theta_1_2_3,-2.9525878361804465,2.9525878361804465
four,theta_13_14_15,1.8501440886212517,1.8501440886212517
four,theta_0_5_6,1.6606399408779184,1.6606399408779184
four,theta_17_18_19,1.4060365914741983,1.4060365914741983
four,theta_2_3_4,-0.8720606667144699,0.8720606667144699
four,theta_9_10_11,-0.7829734269168441,0.7829734269168441
four,theta_0_17_18,0.7382715771131818,0.7382715771131818
four,theta_14_15_16,0.5158927753875547,0.5158927753875547
four,theta_0_1_2,-0.465462287545559,0.465462287545559
four,theta_5_6_7,-0.41995612923364584,0.41995612923364584
grabbing,theta_10_11_12,-1.2049893627868848,1.2049893627868848
grabbing,theta_0_5_6,1.092770506085493,1.092770506085493
grabbing,theta_6_7_8,-1.067312790257925,1.067312790257925
grabbing,theta_9_10_11,0.8901354582755366,0.8901354582755366
grabbing,theta_1_2_3,-0.8506563873876181,0.8506563873876181
grabbing,theta_0_13_14,0.7939301486387434,0.7939301486387434
grabbing,theta_18_19_20,-0.6672594769019096,0.6672594769019096
grabbing,theta_0_17_18,0.654390128364694,0.654390128364694
grabbing,theta_2_3_4,-0.6429641300538596,0.6429641300538596
grabbing,theta_13_14_15,0.6292754347406776,0.6292754347406776
grip,theta_1_2_3,2.562036909364532,2.562036909364532
grip,theta_2_3_4,-0.9001050410795208,0.9001050410795208
grip,theta_6_7_8,-0.8411036278566754,0.8411036278566754
grip,theta_9_10_11,-0.610776520024555,0.610776520024555
grip,theta_5_6_7,-0.5014816486498607,0.5014816486498607
grip,theta_17_18_19,0.49748779587377095,0.49748779587377095
grip,theta_0_17_18,-0.3558171446306792,0.3558171446306792
grip,theta_0_13_14,-0.3302734837020742,0.3302734837020742
grip,theta_0_5_6,-0.30392723303494457,0.30392723303494457
grip,theta_18_19_20,-0.2781327580275076,0.2781327580275076
hand_heart,theta_5_6_7,-2.3761434854469115,2.3761434854469115
hand_heart,theta_10_11_12,1.7823735991228853,1.7823735991228853
hand_heart,theta_0_1_2,1.7009620674487074,1.7009620674487074
hand_heart,theta_1_2_3,-1.6169866665137287,1.6169866665137287
hand_heart,theta_6_7_8,-1.582341731580308,1.582341731580308
hand_heart,theta_2_3_4,1.3198200935236815,1.3198200935236815
hand_heart,theta_0_9_10,0.9862855913974801,0.9862855913974801
hand_heart,theta_9_10_11,0.9596117661197123,0.9596117661197123
hand_heart,theta_13_14_15,0.704097800232876,0.704097800232876
hand_heart,theta_0_5_6,0.6206213221088696,0.6206213221088696
hand_heart2,theta_0_1_2,1.500550246081992,1.500550246081992
hand_heart2,theta_17_18_19,1.246741291105296,1.246741291105296
hand_heart2,theta_9_10_11,-1.181348302414525,1.181348302414525
hand_heart2,theta_10_11_12,-1.1679257375481478,1.1679257375481478
hand_heart2,theta_0_17_18,0.8922810823818327,0.8922810823818327
hand_heart2,theta_6_7_8,-0.8464016677184591,0.8464016677184591
hand_heart2,theta_1_2_3,-0.7992311564435146,0.7992311564435146
hand_heart2,theta_2_3_4,0.7627631054480939,0.7627631054480939
hand_heart2,theta_5_6_7,-0.47545593611015724,0.47545593611015724
hand_heart2,theta_18_19_20,-0.3136044004765542,0.3136044004765542
holy,theta_0_13_14,2.118166713881441,2.118166713881441
holy,theta_2_3_4,1.705103365774235,1.705103365774235
holy,theta_0_1_2,1.4883447472485734,1.4883447472485734
holy,theta_1_2_3,1.4667122091246014,1.4667122091246014
holy,theta_18_19_20,1.4650260842011953,1.4650260842011953
holy,theta_5_6_7,1.418246467044371,1.418246467044371
holy,theta_6_7_8,1.4063686314788393,1.4063686314788393
holy,theta_0_17_18,0.7113044303580293,0.7113044303580293
holy,theta_0_9_10,-0.623699192245129,0.623699192245129
holy,theta_17_18_19,0.5494125542289888,0.5494125542289888
like,theta_1_2_3,2.525465021960592,2.525465021960592
like,theta_17_18_19,-1.4887163348987476,1.4887163348987476
like,theta_5_6_7,-1.428899052204645,1.428899052204645
like,theta_0_5_6,-1.1595125660490677,1.1595125660490677
like,theta_13_14_15,0.4619820410697804,0.4619820410697804
like,theta_2_3_4,-0.395645520964171,0.395645520964171
like,theta_0_1_2,0.36178126615414735,0.36178126615414735
like,theta_0_13_14,-0.31064920213088126,0.31064920213088126
like,theta_18_19_20,-0.2555670027963252,0.2555670027963252
like,theta_0_17_18,-0.2250842139420717,0.2250842139420717
little_finger,theta_17_18_19,2.97237561316927,2.97237561316927
little_finger,theta_5_6_7,-1.8391809979640394,1.8391809979640394
little_finger,theta_1_2_3,-1.3948831451155934,1.3948831451155934
little_finger,theta_13_14_15,-1.2119318777575765,1.2119318777575765
little_finger,theta_0_17_18,0.7761508462887212,0.7761508462887212
little_finger,theta_9_10_11,-0.7107881558064697,0.7107881558064697
little_finger,theta_0_9_10,-0.6784499973695082,0.6784499973695082
little_finger,theta_0_13_14,-0.6662364052212354,0.6662364052212354
little_finger,theta_10_11_12,-0.4845716083312257,0.4845716083312257
little_finger,theta_2_3_4,-0.4812185128177073,0.4812185128177073
middle_finger,theta_9_10_11,2.8829358312484374,2.8829358312484374
middle_finger,theta_5_6_7,-1.9237477952691762,1.9237477952691762
middle_finger,theta_0_5_6,-1.510789412687599,1.510789412687599
middle_finger,theta_17_18_19,-0.8294512643809325,0.8294512643809325
middle_finger,theta_6_7_8,-0.6932435504589207,0.6932435504589207
middle_finger,theta_0_17_18,-0.6498137582842934,0.6498137582842934
middle_finger,theta_10_11_12,0.5215366820267383,0.5215366820267383
middle_finger,theta_0_9_10,0.3734551202143484,0.3734551202143484
middle_finger,theta_13_14_15,-0.33221574095579987,0.33221574095579987
middle_finger,theta_2_3_4,-0.2955810763606325,0.2955810763606325
mute,theta_1_2_3,2.142949905102147,2.142949905102147
mute,theta_5_6_7,1.967731700437435,1.967731700437435
mute,theta_0_5_6,1.5526629581438909,1.5526629581438909
mute,theta_0_9_10,-1.248294010718917,1.248294010718917
mute,theta_13_14_15,-1.116603185019417,1.116603185019417
mute,theta_10_11_12,-1.0441831075962598,1.0441831075962598
mute,theta_0_13_14,-1.0363264782521897,1.0363264782521897
mute,theta_18_19_20,-0.7191179319724582,0.7191179319724582
mute,theta_9_10_11,-0.6053570966628353,0.6053570966628353
mute,theta_2_3_4,0.32374083663562797,0.32374083663562797
no_gesture,theta_0_5_6,-1.2133467011288877,1.2133467011288877
no_gesture,theta_0_17_18,1.0906725444755425,1.0906725444755425
