,precision,recall,f1-score,support
call,1.0,0.9444444444444444,0.9714285714285714,18.0
dislike,0.8666666666666667,0.7647058823529411,0.8125,17.0
fist,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
four,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
grabbing,0.8125,0.6842105263157895,0.742857142857143,19.0
grip,0.6206896551724138,0.9473684210526315,0.75,19.0
hand_heart,1.0,1.0,1.0,20.0
hand_heart2,0.8947368421052632,0.85,0.8717948717948718,20.0
holy,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
like,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0
little_finger,1.0,1.0,1.0,20.0
middle_finger,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
mute,0.6363636363636364,0.7777777777777778,0.7000000000000001,18.0
no_gesture,0.7647058823529411,0.65,0.7027027027027027,20.0
ok,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
one,0.8666666666666667,0.6842105263157895,0.7647058823529413,19.0
palm,0.85,0.8947368421052632,0.8717948717948718,19.0
peace,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
peace_inverted,0.9444444444444444,0.85,0.8947368421052632,20.0
point,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0
rock,0.9473684210526315,0.9,0.9230769230769231,20.0
stop,0.6071428571428571,0.9444444444444444,0.7391304347826088,18.0
stop_inverted,0.75,0.9473684210526315,0.8372093023255814,19.0
take_picture,0.8571428571428571,0.9,0.8780487804878048,20.0
three,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
three2,1.0,0.85,0.9189189189189189,20.0
three3,1.0,0.9,0.9473684210526316,20.0
three_gun,1.0,0.95,0.9743589743589743,20.0
thumb_index,0.8666666666666667,0.6842105263157895,0.7647058823529413,19.0
thumb_index2,0.8,0.8,0.8000000000000002,20.0
timeout,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
two_up,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
two_up_inverted,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
xsign,0.95,1.0,0.9743589743589743,19.0
accuracy,0.8633540372670807,0.8633540372670807,0.8633540372670807,0.8633540372670807
macro avg,0.874415768269386,0.8629884255043607,0.8640149200273509,644.0
weighted avg,0.8759792509699159,0.8633540372670807,0.8650368160257442,644.0
