class,feature,coefficient,abs_coefficient
stop_inverted,d4_5,-0.631355862694617,0.631355862694617
timeout,d0_1,0.5700453328104663,0.5700453328104663
ok,d4_8,-0.5469023065747919,0.5469023065747919
stop_inverted,d3_5,-0.5290775087731184,0.5290775087731184
hand_heart2,d4_6,0.47804822869061375,0.47804822869061375
fist,d14_15,0.47169896193932764,0.47169896193932764
ok,d4_7,-0.4634472587912163,0.4634472587912163
four,d4_17,-0.45456602929724493,0.45456602929724493
palm,d4_20,0.41380145170853083,0.41380145170853083
grip,d4_8,-0.41164391462003014,0.41164391462003014
fist,d10_11,0.4075904562755805,0.4075904562755805
no_gesture,d3_4,-0.40613268271631353,0.40613268271631353
fist,d18_19,0.40241542507997907,0.40241542507997907
four,d4_13,-0.40181173099237555,0.40181173099237555
xsign,d1_17,0.39583046948954076,0.39583046948954076
xsign,d1_13,0.39545061197521,0.39545061197521
stop,d13_17,0.3939907512489418,0.3939907512489418
three,d16_20,0.392297653377893,0.392297653377893
two_up_inverted,d8_11,-0.3919246813056051,0.3919246813056051
peace,d6_10,0.3912965190554777,0.3912965190554777
two_up,d8_12,-0.38750399273448877,0.38750399273448877
ok,d3_8,-0.3860321704451511,0.3860321704451511
two_up_inverted,d7_11,-0.38189587883818865,0.38189587883818865
no_gesture,d5_6,0.3793661729562196,0.3793661729562196
two_up_inverted,d8_12,-0.37730587636367136,0.37730587636367136
