,precision,recall,f1-score,support
call,0.85,0.9444444444444444,0.8947368421052632,18.0
dislike,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
fist,0.8571428571428571,1.0,0.923076923076923,18.0
four,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
grabbing,0.8235294117647058,0.7368421052631579,0.7777777777777778,19.0
grip,0.7083333333333334,0.8947368421052632,0.7906976744186046,19.0
hand_heart,1.0,1.0,1.0,20.0
hand_heart2,0.95,0.95,0.9500000000000001,20.0
holy,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
like,0.9473684210526315,1.0,0.972972972972973,18.0
little_finger,1.0,1.0,1.0,20.0
middle_finger,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
mute,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0
no_gesture,0.7,0.7,0.7,20.0
ok,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
one,0.875,0.7368421052631579,0.7999999999999999,19.0
palm,0.8636363636363636,1.0,0.9268292682926829,19.0
peace,1.0,0.8333333333333334,0.9090909090909091,18.0
peace_inverted,0.95,0.95,0.9500000000000001,20.0
point,0.875,0.7777777777777778,0.823529411764706,18.0
rock,0.9,0.9,0.9,20.0
stop,0.85,0.9444444444444444,0.8947368421052632,18.0
stop_inverted,0.9,0.9473684210526315,0.9230769230769231,19.0
take_picture,1.0,1.0,1.0,20.0
three,1.0,0.8888888888888888,0.9411764705882353,18.0
three2,0.95,0.95,0.9500000000000001,20.0
three3,0.9,0.9,0.9,20.0
three_gun,0.95,0.95,0.9500000000000001,20.0
thumb_index,0.7647058823529411,0.6842105263157895,0.7222222222222222,19.0
thumb_index2,0.85,0.85,0.85,20.0
timeout,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
two_up,0.85,0.8947368421052632,0.8717948717948718,19.0
two_up_inverted,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
xsign,1.0,0.9473684210526315,0.972972972972973,19.0
accuracy,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.8913043478260869
macro avg,0.8933849348914911,0.8907864384143749,0.8903394001904786,644.0
weighted avg,0.8939879720697655,0.8913043478260869,0.8909385595742936,644.0
