class,feature,coefficient,abs_coefficient
four,theta_1_2_3,-0.4739909926972527,0.4739909926972527
palm,theta_0_5_6,0.44551404077179985,0.44551404077179985
stop_inverted,norm_d4_5,-0.4249345720663761,0.4249345720663761
ok,norm_d4_8,-0.3905358876204399,0.3905358876204399
timeout,theta_0_1_2,-0.3758132322551611,0.3758132322551611
stop_inverted,norm_d3_5,-0.36966935960382313,0.36966935960382313
three3,theta_0_1_2,-0.3634546913372818,0.3634546913372818
ok,theta_1_2_3,0.3522471016371883,0.3522471016371883
like,y0_scale,0.35184522575870486,0.35184522575870486
stop_inverted,theta_0_5_6,-0.3507466263773882,0.3507466263773882
timeout,norm_d0_1,0.35058739573894926,0.35058739573894926
take_picture,y1_scale,-0.3474479809924833,0.3474479809924833
holy,y0_scale,0.34737773127840205,0.34737773127840205
timeout,norm_d2_3,-0.3431204771092775,0.3431204771092775
point,norm_d3_4,0.3386767932115661,0.3386767932115661
dislike,y17_scale,-0.33405170909278936,0.33405170909278936
no_gesture,y8_scale,-0.3338612047436282,0.3338612047436282
take_picture,y8_scale,0.3331573976297454,0.3331573976297454
holy,theta_0_1_2,0.33075341005641357,0.33075341005641357
grip,y4_scale,-0.3301957460764619,0.3301957460764619
palm,theta_1_2_3,0.3212127847993326,0.3212127847993326
four,theta_2_3_4,-0.32089861785643115,0.32089861785643115
ok,norm_d4_7,-0.31145753718467806,0.31145753718467806
dislike,y0_scale,-0.3110296071934213,0.3110296071934213
stop_inverted,norm_d7_8,-0.3102274612056248,0.3102274612056248
