class,feature,coefficient,abs_coefficient
call,norm_d3_4,-0.2735146722470703,0.2735146722470703
call,theta_17_18_19,0.23692912024201934,0.23692912024201934
call,norm_d0_1,0.22183794713620764,0.22183794713620764
call,norm_d17_20,0.20664787943791257,0.20664787943791257
call,norm_d13_20,0.19455685526078684,0.19455685526078684
call,y10_scale,0.19183529694544496,0.19183529694544496
call,norm_d15_16,-0.18990908851623736,0.18990908851623736
call,norm_d16_20,0.18944119406042245,0.18944119406042245
call,norm_d17_19,0.18184422090279348,0.18184422090279348
call,x9_scale,0.1779641207314572,0.1779641207314572
dislike,y17_scale,-0.33405170909278936,0.33405170909278936
dislike,y0_scale,-0.3110296071934213,0.3110296071934213
dislike,y4_scale,0.24133450191279904,0.24133450191279904
dislike,y13_scale,-0.23573576168924465,0.23573576168924465
dislike,y3_scale,0.2058691046577718,0.2058691046577718
dislike,theta_2_3_4,0.1988931265382893,0.1988931265382893
dislike,y18_scale,-0.1951219177913461,0.1951219177913461
dislike,y7_scale,0.16660533474291417,0.16660533474291417
dislike,theta_0_1_2,0.16042215070753107,0.16042215070753107
dislike,y8_scale,0.15942134561364565,0.15942134561364565
fist,y4_scale,-0.25378696179850047,0.25378696179850047
fist,norm_d10_11,0.21121886785268196,0.21121886785268196
fist,norm_d1_2,0.2081035481010234,0.2081035481010234
fist,y8_scale,0.1968406507660511,0.1968406507660511
fist,norm_d14_15,0.19283727973078482,0.19283727973078482
fist,norm_d10_15,0.18722507749701645,0.18722507749701645
fist,x4_scale,-0.18686296259109186,0.18686296259109186
fist,y3_scale,-0.18474225452140858,0.18474225452140858
fist,norm_d6_7,0.1738321959106797,0.1738321959106797
fist,theta_2_3_4,-0.16158493294682202,0.16158493294682202
four,theta_1_2_3,-0.4739909926972527,0.4739909926972527
four,theta_2_3_4,-0.32089861785643115,0.32089861785643115
four,norm_d4_17,-0.28646676097321583,0.28646676097321583
four,theta_17_18_19,0.2592984107604804,0.2592984107604804
four,norm_d0_4,-0.22824124997757037,0.22824124997757037
four,norm_d4_13,-0.22814620191539237,0.22814620191539237
four,theta_13_14_15,0.2249166071775816,0.2249166071775816
four,norm_d13_17,-0.19857381779776,0.19857381779776
four,norm_d3_17,-0.19165324734841782,0.19165324734841782
four,theta_0_5_6,0.18539116673389594,0.18539116673389594
grabbing,norm_d14_19,0.3095467144088964,0.3095467144088964
grabbing,theta_6_7_8,-0.2414734791475477,0.2414734791475477
grabbing,y4_scale,0.23328649419113665,0.23328649419113665
grabbing,norm_d8_10,0.21451258607833826,0.21451258607833826
grabbing,theta_10_11_12,-0.2106079828986519,0.2106079828986519
