,precision,recall,f1-score,support
call,1.0,0.9444444444444444,0.9714285714285714,18.0
dislike,0.7777777777777778,0.8235294117647058,0.7999999999999999,17.0
fist,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
four,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
grabbing,0.875,0.7368421052631579,0.7999999999999999,19.0
grip,0.75,0.9473684210526315,0.8372093023255814,19.0
hand_heart,1.0,1.0,1.0,20.0
hand_heart2,0.9444444444444444,0.85,0.8947368421052632,20.0
holy,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0
like,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0
little_finger,1.0,1.0,1.0,20.0
middle_finger,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
mute,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
no_gesture,0.5454545454545454,0.6,0.5714285714285713,20.0
ok,1.0,0.8947368421052632,0.9444444444444444,19.0
one,0.7368421052631579,0.7368421052631579,0.7368421052631579,19.0
palm,0.8571428571428571,0.9473684210526315,0.9,19.0
peace,1.0,0.8333333333333334,0.9090909090909091,18.0
peace_inverted,0.95,0.95,0.9500000000000001,20.0
point,0.8235294117647058,0.7777777777777778,0.7999999999999999,18.0
rock,0.9,0.9,0.9,20.0
stop,0.7083333333333334,0.9444444444444444,0.8095238095238096,18.0
stop_inverted,0.9,0.9473684210526315,0.9230769230769231,19.0
take_picture,0.8571428571428571,0.9,0.8780487804878048,20.0
three,1.0,0.8888888888888888,0.9411764705882353,18.0
three2,1.0,0.95,0.9743589743589743,20.0
three3,1.0,0.9,0.9473684210526316,20.0
three_gun,0.95,0.95,0.9500000000000001,20.0
thumb_index,0.8125,0.6842105263157895,0.742857142857143,19.0
thumb_index2,0.75,0.75,0.75,20.0
timeout,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
two_up,0.85,0.8947368421052632,0.8717948717948718,19.0
two_up_inverted,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
xsign,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
accuracy,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043
macro avg,0.8763376391460984,0.8691216940852707,0.8703177470861283,644.0
weighted avg,0.8772455704943375,0.8695652173913043,0.871036825130698,644.0
