class,feature,coefficient,abs_coefficient
stop_inverted,norm_d4_5,-0.5511852324242049,0.5511852324242049
ok,norm_d4_8,-0.48441949980812526,0.48441949980812526
timeout,norm_d2_3,-0.4765476985973936,0.4765476985973936
timeout,norm_d0_1,0.45569217355957997,0.45569217355957997
stop_inverted,norm_d3_5,-0.43774426733024174,0.43774426733024174
no_gesture,norm_d5_6,0.37912372441025194,0.37912372441025194
four,norm_d4_17,-0.3779446725796803,0.3779446725796803
stop,norm_d13_17,0.3764778687274108,0.3764778687274108
ok,norm_d4_7,-0.3728490330826109,0.3728490330826109
hand_heart2,norm_d4_6,0.3685973612795265,0.3685973612795265
no_gesture,norm_d3_4,-0.3606282020198265,0.3606282020198265
point,norm_d3_4,0.34296955020480413,0.34296955020480413
four,norm_d0_4,-0.3416369998207821,0.3416369998207821
timeout,norm_d6_9,-0.3343365831831183,0.3343365831831183
grabbing,norm_d14_19,0.3256809576886988,0.3256809576886988
peace,norm_d6_10,0.3230627706639969,0.3230627706639969
hand_heart2,norm_d18_19,0.32204465213395306,0.32204465213395306
take_picture,norm_d4_5,0.3161366848545148,0.3161366848545148
two_up,norm_d3_4,0.3096400965592443,0.3096400965592443
timeout,norm_d2_4,-0.3090833870348936,0.3090833870348936
no_gesture,norm_d3_10,0.30785969653863804,0.30785969653863804
dislike,norm_d1_4,0.3074127786119938,0.3074127786119938
hand_heart2,norm_d4_7,0.3046138942088752,0.3046138942088752
four,norm_d4_13,-0.3043415236995186,0.3043415236995186
two_up,norm_d2_4,0.3041234028658447,0.3041234028658447
