,precision,recall,f1-score,support
call,0.6875,0.6111111111111112,0.6470588235294118,18.0
dislike,0.7,0.8235294117647058,0.7567567567567567,17.0
fist,0.8,0.8888888888888888,0.8421052631578948,18.0
four,0.7647058823529411,0.6842105263157895,0.7222222222222222,19.0
grabbing,0.75,0.631578947368421,0.6857142857142857,19.0
grip,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
hand_heart,1.0,1.0,1.0,20.0
hand_heart2,0.9,0.9,0.9,20.0
holy,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
like,0.5,0.6666666666666666,0.5714285714285715,18.0
little_finger,0.8695652173913043,1.0,0.9302325581395349,20.0
middle_finger,0.7894736842105263,0.7894736842105263,0.7894736842105263,19.0
mute,0.8,0.6666666666666666,0.7272727272727272,18.0
no_gesture,0.7647058823529411,0.65,0.7027027027027027,20.0
ok,0.85,0.8947368421052632,0.8717948717948718,19.0
one,0.7058823529411765,0.631578947368421,0.6666666666666667,19.0
palm,0.8235294117647058,0.7368421052631579,0.7777777777777778,19.0
peace,0.35714285714285715,0.2777777777777778,0.31250000000000006,18.0
peace_inverted,0.6363636363636364,0.7,0.6666666666666666,20.0
point,0.6111111111111112,0.6111111111111112,0.6111111111111112,18.0
rock,0.9444444444444444,0.85,0.8947368421052632,20.0
stop,0.7619047619047619,0.8888888888888888,0.8205128205128205,18.0
stop_inverted,1.0,0.9473684210526315,0.972972972972973,19.0
take_picture,0.36585365853658536,0.75,0.4918032786885247,20.0
three,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
three2,0.5294117647058824,0.45,0.48648648648648646,20.0
three3,0.9444444444444444,0.85,0.8947368421052632,20.0
three_gun,0.7647058823529411,0.65,0.7027027027027027,20.0
thumb_index,0.7333333333333333,0.5789473684210527,0.6470588235294117,19.0
thumb_index2,0.8235294117647058,0.7,0.7567567567567567,20.0
timeout,0.6666666666666666,0.6666666666666666,0.6666666666666666,18.0
two_up,0.44,0.5789473684210527,0.5,19.0
two_up_inverted,0.6923076923076923,0.5,0.5806451612903226,18.0
xsign,1.0,0.8421052631578947,0.9142857142857143,19.0
accuracy,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7391304347826086
macro avg,0.7543851975286971,0.7379297436208746,0.7406871875628729,644.0
weighted avg,0.7559339302468701,0.7391304347826086,0.7419878192014113,644.0
