class,feature,coefficient,abs_coefficient
take_picture,y10,38.10731325094027,38.10731325094027
three_gun,y14,30.437198511556872,30.437198511556872
three,y20,30.315044475168936,30.315044475168936
take_picture,y17,-29.32790551703036,29.32790551703036
timeout,y1,28.30493269923941,28.30493269923941
four,y3,-26.1107131598533,26.1107131598533
four,y4,22.985072483708908,22.985072483708908
three,y16,-22.0779237672067,22.0779237672067
take_picture,y18,-21.480224243853062,21.480224243853062
middle_finger,y12,-21.402991381410917,21.402991381410917
little_finger,y20,-21.38374546146909,21.38374546146909
four,y6,21.32029905403863,21.32029905403863
ok,y8,21.3035860192101,21.3035860192101
mute,y8,-21.16633819814372,21.16633819814372
three3,y20,-20.997828774305443,20.997828774305443
timeout,y0,-20.79095479818934,20.79095479818934
rock,y20,-20.71855399496282,20.71855399496282
peace_inverted,y5,20.619725229275225,20.619725229275225
grabbing,y11,-20.56721319040706,20.56721319040706
xsign,y0,20.274588282389445,20.274588282389445
stop,y4,-19.915686082381264,19.915686082381264
middle_finger,y8,19.59073360194507,19.59073360194507
stop,y2,19.537787305095463,19.537787305095463
thumb_index,y18,-19.522704954975893,19.522704954975893
hand_heart,y8,19.360506015155234,19.360506015155234
