class,feature,coefficient,abs_coefficient
call,y6,16.469755954263004,16.469755954263004
call,y4,-15.063089715364349,15.063089715364349
call,y10,12.015086302513968,12.015086302513968
call,y13,-11.340334785404515,11.340334785404515
call,y9,-9.180659205286275,9.180659205286275
call,x1,-8.914992529648433,8.914992529648433
call,x3,8.335362716035204,8.335362716035204
call,y7,7.0461103880367055,7.0461103880367055
call,y17,-6.855312940764845,6.855312940764845
call,y5,-6.367546585408463,6.367546585408463
dislike,y18,-9.92000476607744,9.92000476607744
dislike,y6,7.756755147883022,7.756755147883022
dislike,y2,6.698174486937258,6.698174486937258
dislike,y19,-6.30801589402805,6.30801589402805
dislike,y5,-5.8610532884402105,5.8610532884402105
dislike,y13,4.8005385888597365,4.8005385888597365
dislike,y0,-4.551529364143786,4.551529364143786
dislike,x5,4.153990640228013,4.153990640228013
dislike,y7,4.057766031106615,4.057766031106615
dislike,x6,-4.000520072967858,4.000520072967858
fist,y11,13.44295855683136,13.44295855683136
fist,y18,-10.793897274493352,10.793897274493352
fist,y15,10.418632920706438,10.418632920706438
fist,x1,-10.365514216380316,10.365514216380316
fist,y7,10.088126087811148,10.088126087811148
fist,y10,-9.948340274258596,9.948340274258596
fist,y14,-8.90541151754601,8.90541151754601
fist,y3,-8.657041940906552,8.657041940906552
fist,y5,8.371193442133947,8.371193442133947
fist,y6,-7.802452398937359,7.802452398937359
four,y3,-26.1107131598533,26.1107131598533
four,y4,22.985072483708908,22.985072483708908
four,y6,21.32029905403863,21.32029905403863
four,y9,-15.145778865498338,15.145778865498338
four,y18,14.084858930205542,14.084858930205542
four,y5,13.287065464780197,13.287065464780197
four,y13,-12.76960295280391,12.76960295280391
four,y1,12.46099981161739,12.46099981161739
four,y10,-10.832661846093277,10.832661846093277
four,y7,10.150814556980231,10.150814556980231
grabbing,y11,-20.56721319040706,20.56721319040706
grabbing,y18,19.13959200830786,19.13959200830786
grabbing,y15,-14.968237303932744,14.968237303932744
grabbing,y6,10.56513871711928,10.56513871711928
grabbing,y7,-9.139851925111728,9.139851925111728
grabbing,y3,7.665799600802315,7.665799600802315
grabbing,y20,7.5900443786124585,7.5900443786124585
grabbing,y8,7.36671590346466,7.36671590346466
grabbing,y5,-7.026861473579332,7.026861473579332
grabbing,y19,6.9376864324780625,6.9376864324780625
grip,y12,17.37755899372158,17.37755899372158
grip,y15,-17.247239727668827,17.247239727668827
grip,y3,14.67935481661843,14.67935481661843
grip,y8,14.36684976362438,14.36684976362438
grip,y4,-12.377898774728491,12.377898774728491
grip,y19,-12.374933281013629,12.374933281013629
grip,y0,7.879953884274296,7.879953884274296
grip,y14,-7.586547685554075,7.586547685554075
grip,y20,7.565138340453172,7.565138340453172
grip,y1,-7.084582472865302,7.084582472865302
hand_heart,y8,19.360506015155234,19.360506015155234
hand_heart,y4,16.80543511347822,16.80543511347822
hand_heart,y6,-13.395832377650326,13.395832377650326
hand_heart,y12,-10.320732616825655,10.320732616825655
hand_heart,y17,9.294763952513247,9.294763952513247
hand_heart,y13,8.613799265050748,8.613799265050748
hand_heart,y20,-8.037917442647505,8.037917442647505
hand_heart,y5,-7.361850816341138,7.361850816341138
hand_heart,y2,-6.910434255770609,6.910434255770609
hand_heart,y10,-6.6687467584459394,6.6687467584459394
hand_heart2,y6,-12.733323578893296,12.733323578893296
hand_heart2,y10,-10.056402774056878,10.056402774056878
hand_heart2,y4,9.817963677867285,9.817963677867285
hand_heart2,y14,-8.877178393420156,8.877178393420156
hand_heart2,y12,6.818126975213717,6.818126975213717
hand_heart2,y16,5.684374980261765,5.684374980261765
hand_heart2,x0,-5.529133196723856,5.529133196723856
hand_heart2,y8,5.0152933854808674,5.0152933854808674
hand_heart2,y5,-4.942227872771728,4.942227872771728
hand_heart2,y13,4.810366228845732,4.810366228845732
holy,y5,17.627405934972444,17.627405934972444
holy,y16,-16.355361096528984,16.355361096528984
holy,y0,14.27867445608268,14.27867445608268
holy,y2,-12.88561572285867,12.88561572285867
holy,y1,-12.86774882739254,12.86774882739254
holy,y17,-11.461663018835699,11.461663018835699
holy,y11,11.024286265041114,11.024286265041114
holy,y6,10.547373357229953,10.547373357229953
holy,y8,-9.103960346726915,9.103960346726915
holy,y10,8.729010147553,8.729010147553
