,precision,recall,f1-score,support
call,0.7272727272727273,0.8888888888888888,0.7999999999999999,18.0
dislike,0.75,0.8823529411764706,0.8108108108108107,17.0
fist,0.7391304347826086,0.9444444444444444,0.8292682926829269,18.0
four,0.8235294117647058,0.7368421052631579,0.7777777777777778,19.0
grabbing,1.0,0.6842105263157895,0.8125000000000001,19.0
grip,0.6538461538461539,0.8947368421052632,0.7555555555555555,19.0
hand_heart,0.9473684210526315,0.9,0.9230769230769231,20.0
hand_heart2,1.0,0.8,0.888888888888889,20.0
holy,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
like,0.7727272727272727,0.9444444444444444,0.85,18.0
little_finger,0.9090909090909091,1.0,0.9523809523809523,20.0
middle_finger,0.8823529411764706,0.7894736842105263,0.8333333333333333,19.0
mute,0.7,0.7777777777777778,0.7368421052631577,18.0
no_gesture,0.625,0.5,0.5555555555555556,20.0
ok,0.8181818181818182,0.9473684210526315,0.8780487804878049,19.0
one,0.6875,0.5789473684210527,0.6285714285714286,19.0
palm,0.7272727272727273,0.8421052631578947,0.7804878048780488,19.0
peace,0.6153846153846154,0.4444444444444444,0.5161290322580646,18.0
peace_inverted,0.8333333333333334,0.75,0.7894736842105262,20.0
point,0.6666666666666666,0.6666666666666666,0.6666666666666666,18.0
rock,0.8947368421052632,0.85,0.8717948717948718,20.0
stop,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
stop_inverted,0.75,0.7894736842105263,0.7692307692307692,19.0
take_picture,1.0,0.85,0.9189189189189189,20.0
three,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
three2,0.7619047619047619,0.8,0.7804878048780488,20.0
three3,0.9473684210526315,0.9,0.9230769230769231,20.0
three_gun,0.8947368421052632,0.85,0.8717948717948718,20.0
thumb_index,0.8,0.631578947368421,0.7058823529411765,19.0
thumb_index2,0.7727272727272727,0.85,0.8095238095238095,20.0
timeout,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
two_up,0.6666666666666666,0.7368421052631579,0.7,19.0
two_up_inverted,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
xsign,1.0,0.9473684210526315,0.972972972972973,19.0
accuracy,0.8059006211180124,0.8059006211180124,0.8059006211180124,0.8059006211180124
macro avg,0.8103136696524196,0.8058879176025414,0.8032389231942142,644.0
weighted avg,0.8123351694921328,0.8059006211180124,0.8042790642360214,644.0
