class,feature,coefficient,abs_coefficient
take_picture,z8,-22.845421702804185,22.845421702804185
take_picture,z6,20.87307008114264,20.87307008114264
take_picture,z4,-19.485802004706287,19.485802004706287
four,y4,19.026065532001656,19.026065532001656
like,y4,-18.4398617023263,18.4398617023263
three3,y20,-17.90815924515863,17.90815924515863
mute,y8,-17.440722493238553,17.440722493238553
middle_finger,y12,-17.311298070013343,17.311298070013343
three,y20,17.285906434659495,17.285906434659495
little_finger,y16,16.868608642937204,16.868608642937204
little_finger,y20,-15.959617750901172,15.959617750901172
no_gesture,z6,-15.619797605497133,15.619797605497133
four,z12,15.518359659374724,15.518359659374724
four,y3,-15.252657945446579,15.252657945446579
rock,y20,-15.228893144389666,15.228893144389666
call,y4,-15.076294860578773,15.076294860578773
thumb_index2,y4,14.693171372162285,14.693171372162285
thumb_index2,y12,14.655186541821884,14.655186541821884
hand_heart,y4,14.563395548613931,14.563395548613931
point,y4,14.536134700272934,14.536134700272934
grip,y12,14.306377353573122,14.306377353573122
three3,y16,14.114785512716024,14.114785512716024
middle_finger,y8,13.989818788184786,13.989818788184786
four,y2,-13.897613798103057,13.897613798103057
take_picture,z10,-13.78762918509364,13.78762918509364
