class,feature,coefficient,abs_coefficient
call,y4,-15.076294860578773,15.076294860578773
call,y10,10.708377268273269,10.708377268273269
call,y6,10.282874542113937,10.282874542113937
call,z17,8.982481384669462,8.982481384669462
call,z4,8.17683373466955,8.17683373466955
call,z14,-7.506286029502268,7.506286029502268
call,z9,-7.125387276392709,7.125387276392709
call,y17,-6.872971582091579,6.872971582091579
call,x1,-6.699780439486029,6.699780439486029
call,z10,6.636395179041256,6.636395179041256
dislike,z6,-10.200478054056815,10.200478054056815
dislike,z8,7.161241057099681,7.161241057099681
dislike,y2,5.129063665828231,5.129063665828231
dislike,y17,-4.987730209714019,4.987730209714019
dislike,z1,4.96769879856773,4.96769879856773
dislike,y18,-4.916617089353002,4.916617089353002
dislike,x19,4.75977831841764,4.75977831841764
dislike,y6,-4.268871004725485,4.268871004725485
dislike,y12,-4.108265323508795,4.108265323508795
dislike,z9,3.9292900321509396,3.9292900321509396
fist,z6,-9.420945213785746,9.420945213785746
fist,y8,8.442852216678073,8.442852216678073
fist,y7,7.115275368863472,7.115275368863472
fist,y11,6.619483189271085,6.619483189271085
fist,x1,-6.079522271484885,6.079522271484885
fist,y16,-5.80560074980116,5.80560074980116
fist,y18,-5.529600702153371,5.529600702153371
fist,z5,5.444992688087072,5.444992688087072
fist,y0,5.379810434261038,5.379810434261038
fist,z12,5.203808332773771,5.203808332773771
four,y4,19.026065532001656,19.026065532001656
four,z12,15.518359659374724,15.518359659374724
four,y3,-15.252657945446579,15.252657945446579
four,y2,-13.897613798103057,13.897613798103057
four,y6,12.618577762174938,12.618577762174938
four,z14,10.686246698331018,10.686246698331018
four,z8,-10.653997562737455,10.653997562737455
four,z10,-9.755234492037365,9.755234492037365
four,y5,9.714285803722335,9.714285803722335
four,y12,-8.880536753720735,8.880536753720735
grabbing,z8,11.74825883075881,11.74825883075881
grabbing,z7,-10.124734166224709,10.124734166224709
grabbing,y18,9.033913368854863,9.033913368854863
grabbing,y15,-8.872107035105598,8.872107035105598
grabbing,z10,7.594803272579557,7.594803272579557
grabbing,z6,-6.855886359520105,6.855886359520105
grabbing,y11,-6.681185120432548,6.681185120432548
grabbing,y3,6.014347659562433,6.014347659562433
grabbing,x18,-5.452277473646061,5.452277473646061
grabbing,z12,5.337169027472956,5.337169027472956
grip,y12,14.306377353573122,14.306377353573122
grip,y8,13.145554755900275,13.145554755900275
grip,z14,10.28886728968119,10.28886728968119
grip,y15,-9.763634863414726,9.763634863414726
grip,y0,8.566385811353209,8.566385811353209
grip,y19,-7.725168407595509,7.725168407595509
grip,y5,-6.945835715848412,6.945835715848412
grip,y14,-6.305174668173796,6.305174668173796
grip,z3,-6.076080049014149,6.076080049014149
grip,y18,-5.8084108465511095,5.8084108465511095
hand_heart,y4,14.563395548613931,14.563395548613931
hand_heart,y8,9.03917886980537,9.03917886980537
hand_heart,z1,8.335488399353364,8.335488399353364
