,precision,recall,f1-score,support
call,0.6,0.6666666666666666,0.631578947368421,18.0
dislike,0.7647058823529411,0.7647058823529411,0.7647058823529412,17.0
fist,0.68,0.9444444444444444,0.7906976744186047,18.0
four,0.8571428571428571,0.631578947368421,0.7272727272727273,19.0
grabbing,0.8,0.631578947368421,0.7058823529411765,19.0
grip,0.8095238095238095,0.8947368421052632,0.8500000000000001,19.0
hand_heart,1.0,1.0,1.0,20.0
hand_heart2,1.0,0.85,0.9189189189189189,20.0
holy,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
like,0.5217391304347826,0.6666666666666666,0.5853658536585366,18.0
little_finger,0.9090909090909091,1.0,0.9523809523809523,20.0
middle_finger,0.8095238095238095,0.8947368421052632,0.8500000000000001,19.0
mute,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
no_gesture,0.5625,0.45,0.5,20.0
ok,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
one,0.7142857142857143,0.5263157894736842,0.6060606060606061,19.0
palm,0.782608695652174,0.9473684210526315,0.8571428571428571,19.0
peace,0.42857142857142855,0.3333333333333333,0.375,18.0
peace_inverted,0.8421052631578947,0.8,0.8205128205128205,20.0
point,0.6,0.6666666666666666,0.631578947368421,18.0
rock,0.7391304347826086,0.85,0.7906976744186046,20.0
stop,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
stop_inverted,1.0,0.8947368421052632,0.9444444444444444,19.0
take_picture,0.5652173913043478,0.65,0.6046511627906976,20.0
three,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
three2,0.4782608695652174,0.55,0.5116279069767442,20.0
three3,1.0,0.85,0.9189189189189189,20.0
three_gun,0.7,0.7,0.7,20.0
thumb_index,0.7333333333333333,0.5789473684210527,0.6470588235294117,19.0
thumb_index2,0.85,0.85,0.85,20.0
timeout,0.8235294117647058,0.7777777777777778,0.7999999999999999,18.0
two_up,0.47619047619047616,0.5263157894736842,0.5,19.0
two_up_inverted,0.7333333333333333,0.6111111111111112,0.6666666666666666,18.0
xsign,1.0,0.8947368421052632,0.9444444444444444,19.0
accuracy,0.7608695652173914,0.7608695652173914,0.7608695652173914,0.7608695652173914
macro avg,0.7659985483749172,0.7603740464193933,0.7588177907103423,644.0
weighted avg,0.7673856537215151,0.7608695652173914,0.7597736674536534,644.0
