class,feature,coefficient,abs_coefficient
timeout,y2_scale,-21.713807426987223,21.713807426987223
three_gun,y14_scale,20.65600461122058,20.65600461122058
timeout,y1_scale,20.44381904865656,20.44381904865656
take_picture,y2_scale,20.04941841040471,20.04941841040471
timeout,y0_scale,-18.31078046702457,18.31078046702457
timeout,y11_scale,17.974546432376492,17.974546432376492
timeout,y3_scale,17.921220240505132,17.921220240505132
timeout,y17_scale,17.432743530382467,17.432743530382467
dislike,y2_scale,17.35694335169956,17.35694335169956
mute,y3_scale,17.090944654237497,17.090944654237497
four,y3_scale,-16.456807297985268,16.456807297985268
four,y9_scale,-16.052113625820645,16.052113625820645
thumb_index2,y2_scale,-15.418127380763128,15.418127380763128
take_picture,y3_scale,-15.412151187912377,15.412151187912377
dislike,y3_scale,-15.349415110717482,15.349415110717482
timeout,y12_scale,-15.175312942251749,15.175312942251749
two_up,x13_scale,14.967625249935256,14.967625249935256
timeout,y4_scale,-14.593640574377135,14.593640574377135
xsign,y15_scale,-14.516074069502228,14.516074069502228
xsign,y0_scale,14.507918778771618,14.507918778771618
thumb_index2,y1_scale,14.052515385130794,14.052515385130794
timeout,y19_scale,-13.59394991019528,13.59394991019528
take_picture,y17_scale,-13.571456130460215,13.571456130460215
peace,y9_scale,-13.532369464935707,13.532369464935707
three_gun,y9_scale,-13.32628679566498,13.32628679566498
