class,feature,coefficient,abs_coefficient
call,x3_scale,8.405231096533685,8.405231096533685
call,y4_scale,-6.814193891968699,6.814193891968699
call,y14_scale,-6.17341424128327,6.17341424128327
call,y15_scale,5.938050167422942,5.938050167422942
call,x2_scale,-5.64796074782483,5.64796074782483
call,y6_scale,5.352517021624291,5.352517021624291
call,y3_scale,5.34345702317227,5.34345702317227
call,y13_scale,-5.141521485838767,5.141521485838767
call,y10_scale,4.934782480627139,4.934782480627139
call,x7_scale,4.6995015248341465,4.6995015248341465
dislike,y2_scale,17.35694335169956,17.35694335169956
dislike,y3_scale,-15.349415110717482,15.349415110717482
dislike,y13_scale,8.25966977021103,8.25966977021103
dislike,x7_scale,-6.945469061631686,6.945469061631686
dislike,y17_scale,-6.327873443021583,6.327873443021583
dislike,y5_scale,-6.001808525767419,6.001808525767419
dislike,y15_scale,5.857795942776268,5.857795942776268
dislike,y4_scale,5.761173250899017,5.761173250899017
dislike,y1_scale,-5.283710445162885,5.283710445162885
dislike,x8_scale,5.22182550120455,5.22182550120455
fist,y16_scale,-11.198419514475532,11.198419514475532
fist,y10_scale,-10.699571020613606,10.699571020613606
fist,y15_scale,10.369922999160964,10.369922999160964
fist,y18_scale,-8.381217947317218,8.381217947317218
fist,y11_scale,8.300524635872383,8.300524635872383
fist,x10_scale,-7.545833844637608,7.545833844637608
fist,y1_scale,-5.735286216272951,5.735286216272951
fist,x14_scale,5.2979305896499085,5.2979305896499085
fist,x19_scale,-5.097407812129908,5.097407812129908
fist,y19_scale,4.4419003280757074,4.4419003280757074
four,y3_scale,-16.456807297985268,16.456807297985268
four,y9_scale,-16.052113625820645,16.052113625820645
four,y5_scale,12.572752637463209,12.572752637463209
four,y4_scale,11.274360318344138,11.274360318344138
four,y7_scale,6.668993425969112,6.668993425969112
four,y10_scale,-6.614732855105338,6.614732855105338
four,y13_scale,6.233289193799951,6.233289193799951
four,y18_scale,5.4573300064541606,5.4573300064541606
four,y14_scale,5.397876274727878,5.397876274727878
four,y8_scale,-3.7098547260645605,3.7098547260645605
grabbing,y11_scale,-9.837964116341398,9.837964116341398
grabbing,y7_scale,-8.210019946719823,8.210019946719823
grabbing,x18_scale,-7.739672037023215,7.739672037023215
grabbing,y8_scale,7.2315910607860845,7.2315910607860845
grabbing,y12_scale,6.823676629358982,6.823676629358982
grabbing,y9_scale,6.752687989795362,6.752687989795362
grabbing,y5_scale,-6.470457084538034,6.470457084538034
grabbing,y6_scale,6.361124461592083,6.361124461592083
grabbing,y18_scale,6.349201843511624,6.349201843511624
grabbing,y15_scale,-6.250899374849179,6.250899374849179
grip,y3_scale,11.508060509468303,11.508060509468303
grip,y2_scale,-7.4456817813817056,7.4456817813817056
grip,y15_scale,-6.889902947999332,6.889902947999332
grip,y4_scale,-6.510688340555247,6.510688340555247
grip,y19_scale,-6.369690511054059,6.369690511054059
grip,y7_scale,-5.863070076036354,5.863070076036354
grip,y8_scale,5.240089780429459,5.240089780429459
grip,y12_scale,5.216681641449448,5.216681641449448
grip,y16_scale,3.6592137141432617,3.6592137141432617
grip,y9_scale,3.58517465353519,3.58517465353519
hand_heart,y4_scale,10.177925472557721,10.177925472557721
hand_heart,y6_scale,-6.901447925526146,6.901447925526146
hand_heart,y20_scale,-6.715243266112984,6.715243266112984
hand_heart,y8_scale,6.4549134352906,6.4549134352906
hand_heart,y13_scale,5.555791435121181,5.555791435121181
hand_heart,y3_scale,4.696601075586025,4.696601075586025
hand_heart,y12_scale,-4.526814312080889,4.526814312080889
hand_heart,y9_scale,4.291131458573609,4.291131458573609
hand_heart,y2_scale,-3.4964230840096913,3.4964230840096913
hand_heart,y5_scale,-2.7264413939824355,2.7264413939824355
hand_heart2,y4_scale,6.463452834303528,6.463452834303528
hand_heart2,y10_scale,-5.31902762546034,5.31902762546034
hand_heart2,y14_scale,-5.198767899390767,5.198767899390767
hand_heart2,y6_scale,-5.118929179286685,5.118929179286685
hand_heart2,x1_scale,3.188544134737435,3.188544134737435
hand_heart2,y12_scale,3.0943002592176523,3.0943002592176523
hand_heart2,y18_scale,-2.8646294212679146,2.8646294212679146
hand_heart2,y3_scale,2.5440087172658155,2.5440087172658155
hand_heart2,y1_scale,-2.480301123005454,2.480301123005454
hand_heart2,y15_scale,-2.397697914477046,2.397697914477046
holy,y1_scale,-12.36336761175485,12.36336761175485
holy,y0_scale,12.115719660819488,12.115719660819488
holy,x2_scale,-8.516819757011666,8.516819757011666
holy,y12_scale,-8.385555655725687,8.385555655725687
holy,x13_scale,-7.997701425707117,7.997701425707117
holy,x6_scale,7.739718478420097,7.739718478420097
holy,y18_scale,7.33443487212546,7.33443487212546
holy,x3_scale,7.016485269288792,7.016485269288792
holy,y8_scale,-6.968979313307508,6.968979313307508
holy,y16_scale,-6.8485074666788455,6.8485074666788455
like,y2_scale,-12.81597874191465,12.81597874191465
like,y1_scale,11.300845809899041,11.300845809899041
like,y18_scale,9.615794379812561,9.615794379812561
like,y19_scale,-8.16486445817909,8.16486445817909
like,x13_scale,-8.021419692882786,8.021419692882786
like,x17_scale,7.78193256929771,7.78193256929771
like,y13_scale,-7.5294835511793385,7.5294835511793385
like,y17_scale,6.949146519342076,6.949146519342076
like,y3_scale,6.799574010606809,6.799574010606809
like,y16_scale,6.221331794813034,6.221331794813034
little_finger,y18_scale,12.343991790873119,12.343991790873119
little_finger,y20_scale,-12.152585580360912,12.152585580360912
little_finger,y16_scale,9.722108241818963,9.722108241818963
little_finger,y8_scale,6.365537236987725,6.365537236987725
little_finger,x8_scale,-5.998880065720798,5.998880065720798
little_finger,x11_scale,5.912944396613942,5.912944396613942
little_finger,x12_scale,-5.681720170654283,5.681720170654283
little_finger,y14_scale,-5.168403908718841,5.168403908718841
little_finger,y13_scale,4.3262036181427455,4.3262036181427455
little_finger,x7_scale,4.229792614191646,4.229792614191646
middle_finger,y3_scale,-11.175534234480303,11.175534234480303
middle_finger,y2_scale,8.73823516794556,8.73823516794556
middle_finger,y6_scale,-8.222478155282829,8.222478155282829
middle_finger,y17_scale,-7.556257148955572,7.556257148955572
middle_finger,y12_scale,-6.683459441797756,6.683459441797756
middle_finger,y13_scale,6.125883063529736,6.125883063529736
middle_finger,y7_scale,5.5500992467309,5.5500992467309
middle_finger,y14_scale,4.987652199290709,4.987652199290709
middle_finger,y4_scale,4.757056255278252,4.757056255278252
middle_finger,y20_scale,-4.684670828130974,4.684670828130974
mute,y3_scale,17.090944654237497,17.090944654237497
mute,y4_scale,-12.154384693731652,12.154384693731652
mute,x13_scale,-10.339653517297187,10.339653517297187
mute,y14_scale,-8.630010486406587,8.630010486406587
mute,y13_scale,8.15955635172355,8.15955635172355
mute,y17_scale,-8.106970243367735,8.106970243367735
mute,y8_scale,-7.939981921948411,7.939981921948411
mute,x14_scale,6.893710820651031,6.893710820651031
mute,x9_scale,6.749244656020257,6.749244656020257
mute,y2_scale,-6.683750895250442,6.683750895250442
no_gesture,y13_scale,-8.635081401714455,8.635081401714455
no_gesture,y3_scale,-6.36936423307946,6.36936423307946
no_gesture,y9_scale,5.866079748464885,5.866079748464885
no_gesture,x3_scale,-5.279945271461955,5.279945271461955
no_gesture,y11_scale,-5.060882847525665,5.060882847525665
no_gesture,x11_scale,4.893670389081106,4.893670389081106
no_gesture,y12_scale,4.783185168256774,4.783185168256774
no_gesture,x2_scale,4.578032719082344,4.578032719082344
no_gesture,x15_scale,-4.573771878887517,4.573771878887517
no_gesture,y15_scale,-4.198026708694098,4.198026708694098
ok,y8_scale,8.424255838531858,8.424255838531858
ok,y9_scale,-5.672183117857285,5.672183117857285
ok,x5_scale,4.853262856740483,4.853262856740483
ok,x19_scale,-4.754562011977468,4.754562011977468
ok,x13_scale,-4.34441516354553,4.34441516354553
ok,y3_scale,3.985196613411257,3.985196613411257
ok,y12_scale,-3.946789033346761,3.946789033346761
ok,x8_scale,3.578375343971441,3.578375343971441
ok,x1_scale,-3.460942549010013,3.460942549010013
ok,y13_scale,3.3817364390187876,3.3817364390187876
one,y13_scale,-11.74527957656487,11.74527957656487
one,y8_scale,-10.855689473680032,10.855689473680032
one,x13_scale,9.514310495762325,9.514310495762325
one,y9_scale,9.346078445668626,9.346078445668626
one,y2_scale,8.141223160395763,8.141223160395763
one,y7_scale,8.086952876773225,8.086952876773225
one,x9_scale,-7.586204168983609,7.586204168983609
one,y17_scale,6.384860948054968,6.384860948054968
one,y12_scale,5.009778873046521,5.009778873046521
one,x5_scale,4.91978585246555,4.91978585246555
palm,y14_scale,-11.788990646638656,11.788990646638656
palm,y19_scale,10.325385877948161,10.325385877948161
palm,y7_scale,9.976748655439296,9.976748655439296
