,precision,recall,f1-score,support
call,0.7333333333333333,0.6111111111111112,0.6666666666666666,18.0
dislike,0.6666666666666666,0.8235294117647058,0.7368421052631577,17.0
fist,0.7727272727272727,0.9444444444444444,0.85,18.0
four,0.75,0.631578947368421,0.6857142857142857,19.0
grabbing,0.7647058823529411,0.6842105263157895,0.7222222222222222,19.0
grip,0.7619047619047619,0.8421052631578947,0.8,19.0
hand_heart,1.0,1.0,1.0,20.0
hand_heart2,0.8947368421052632,0.85,0.8717948717948718,20.0
holy,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
like,0.5714285714285714,0.8888888888888888,0.6956521739130435,18.0
little_finger,0.9523809523809523,1.0,0.975609756097561,20.0
middle_finger,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
mute,0.8125,0.7222222222222222,0.7647058823529411,18.0
no_gesture,0.6875,0.55,0.6111111111111112,20.0
ok,0.85,0.8947368421052632,0.8717948717948718,19.0
one,0.7058823529411765,0.631578947368421,0.6666666666666667,19.0
palm,0.85,0.8947368421052632,0.8717948717948718,19.0
peace,0.5,0.3888888888888889,0.43750000000000006,18.0
peace_inverted,0.7777777777777778,0.7,0.7368421052631577,20.0
point,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
rock,0.7727272727272727,0.85,0.8095238095238095,20.0
stop,0.7619047619047619,0.8888888888888888,0.8205128205128205,18.0
stop_inverted,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
take_picture,0.7727272727272727,0.85,0.8095238095238095,20.0
three,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0
three2,0.6,0.6,0.6,20.0
three3,0.8947368421052632,0.85,0.8717948717948718,20.0
three_gun,0.8125,0.65,0.7222222222222223,20.0
thumb_index,0.8125,0.6842105263157895,0.742857142857143,19.0
thumb_index2,0.8095238095238095,0.85,0.8292682926829269,20.0
timeout,0.875,0.7777777777777778,0.823529411764706,18.0
two_up,0.5384615384615384,0.7368421052631579,0.6222222222222222,19.0
two_up_inverted,0.75,0.6666666666666666,0.7058823529411765,18.0
xsign,1.0,0.8947368421052632,0.9444444444444444,19.0
accuracy,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174
macro avg,0.7863966948286745,0.7821763896477064,0.7801766815148939,644.0
weighted avg,0.7878530067553416,0.782608695652174,0.7812040521609847,644.0
