class,feature,coefficient,abs_coefficient
timeout,y1_trans,23.202208403875606,23.202208403875606
four,y3_trans,-21.91408141709096,21.91408141709096
timeout,y2_trans,-20.472771170654216,20.472771170654216
timeout,y11_trans,20.421544374763243,20.421544374763243
three_gun,y14_trans,19.851618250105563,19.851618250105563
take_picture,y10_trans,17.7480224783713,17.7480224783713
mute,y3_trans,17.4380302894419,17.4380302894419
four,y9_trans,-17.113399351462373,17.113399351462373
xsign,y15_trans,-16.49119320195507,16.49119320195507
three,y20_trans,16.368507049380344,16.368507049380344
timeout,y3_trans,15.994415837376637,15.994415837376637
thumb_index2,y2_trans,-15.82537029633465,15.82537029633465
four,y5_trans,15.713338176456825,15.713338176456825
xsign,y0_trans,15.532892200913157,15.532892200913157
stop_inverted,y2_trans,15.16965048287111,15.16965048287111
xsign,y20_trans,15.01588409372466,15.01588409372466
peace,y9_trans,-14.60568523385869,14.60568523385869
three3,y20_trans,-14.476075396440617,14.476075396440617
little_finger,y20_trans,-14.138395003277623,14.138395003277623
four,y4_trans,14.09319398346427,14.09319398346427
peace_inverted,y2_trans,-13.92118407989892,13.92118407989892
peace,y6_trans,13.561115196829228,13.561115196829228
rock,y20_trans,-13.4084365017413,13.4084365017413
holy,y1_trans,-13.157845877772495,13.157845877772495
timeout,y0_trans,-12.764355236358483,12.764355236358483
