class,feature,coefficient,abs_coefficient
call,y4_trans,-9.877211263289427,9.877211263289427
call,x3_trans,8.923752860634343,8.923752860634343
call,y10_trans,6.53027578863707,6.53027578863707
call,y13_trans,-6.300471752722237,6.300471752722237
call,x1_trans,-6.1029995783635185,6.1029995783635185
call,y1_trans,5.663452785064371,5.663452785064371
call,x0_trans,4.235143991652218,4.235143991652218
call,y3_trans,4.006554030244912,4.006554030244912
call,x4_trans,-3.830780686564673,3.830780686564673
call,y6_trans,3.796717878476362,3.796717878476362
dislike,y2_trans,11.03610155083285,11.03610155083285
dislike,y18_trans,-9.78279439612013,9.78279439612013
dislike,y5_trans,-9.13016396499108,9.13016396499108
dislike,y13_trans,7.149077007043044,7.149077007043044
dislike,y15_trans,6.586291012092369,6.586291012092369
dislike,y3_trans,-5.06291003446711,5.06291003446711
dislike,y17_trans,-4.7996766347133,4.7996766347133
dislike,x7_trans,-4.468153776501413,4.468153776501413
dislike,y9_trans,4.087982987118118,4.087982987118118
dislike,x19_trans,3.867190345120113,3.867190345120113
fist,x1_trans,-10.414366863209313,10.414366863209313
fist,y11_trans,10.05902985518307,10.05902985518307
fist,y15_trans,8.605227597428714,8.605227597428714
fist,y16_trans,-8.26991312999541,8.26991312999541
fist,y10_trans,-8.164364644904053,8.164364644904053
fist,x10_trans,-7.702748274686472,7.702748274686472
fist,y1_trans,-6.490394538710909,6.490394538710909
fist,y18_trans,-6.4585849656209655,6.4585849656209655
fist,y0_trans,4.693096212407627,4.693096212407627
fist,y2_trans,4.663487995567822,4.663487995567822
four,y3_trans,-21.91408141709096,21.91408141709096
four,y9_trans,-17.113399351462373,17.113399351462373
four,y5_trans,15.713338176456825,15.713338176456825
four,y4_trans,14.09319398346427,14.09319398346427
four,y10_trans,-10.60183987890369,10.60183987890369
four,y1_trans,10.549183859045012,10.549183859045012
four,y18_trans,10.15212752616482,10.15212752616482
four,y6_trans,9.111098707407805,9.111098707407805
four,y13_trans,-6.712555981212781,6.712555981212781
four,y14_trans,5.0575224159202214,5.0575224159202214
grabbing,y11_trans,-10.279970256505099,10.279970256505099
grabbing,y18_trans,9.017147680337679,9.017147680337679
grabbing,y6_trans,8.982357349463854,8.982357349463854
grabbing,y5_trans,-7.316221820103476,7.316221820103476
grabbing,y12_trans,7.249873790369645,7.249873790369645
grabbing,y7_trans,-7.060200509380889,7.060200509380889
grabbing,y15_trans,-6.455473138070218,6.455473138070218
grabbing,y17_trans,-5.431014724650185,5.431014724650185
grabbing,y8_trans,5.032694787474258,5.032694787474258
grabbing,x1_trans,4.9367279242824464,4.9367279242824464
grip,y3_trans,11.45701052114338,11.45701052114338
grip,y15_trans,-8.789720222022183,8.789720222022183
grip,y12_trans,7.798095998461409,7.798095998461409
grip,y19_trans,-7.372644602035761,7.372644602035761
grip,y4_trans,-6.562331693108089,6.562331693108089
grip,y8_trans,5.9919569851002334,5.9919569851002334
grip,y2_trans,-5.9537901378237486,5.9537901378237486
grip,y20_trans,5.812561312680585,5.812561312680585
grip,y5_trans,-5.480198161393037,5.480198161393037
grip,y10_trans,4.648886522469747,4.648886522469747
hand_heart,y4_trans,10.665965212914294,10.665965212914294
hand_heart,y12_trans,-10.007977288000903,10.007977288000903
hand_heart,y6_trans,-8.288769994208135,8.288769994208135
hand_heart,y8_trans,6.760145800582702,6.760145800582702
hand_heart,y20_trans,-5.9997809463074745,5.9997809463074745
hand_heart,y13_trans,5.156829454261601,5.156829454261601
hand_heart,y5_trans,-4.384039863419522,4.384039863419522
hand_heart,y2_trans,-4.250775610394896,4.250775610394896
hand_heart,y0_trans,-3.623866111087151,3.623866111087151
hand_heart,y16_trans,-3.148992349496146,3.148992349496146
hand_heart2,y4_trans,9.232245909425815,9.232245909425815
hand_heart2,y10_trans,-8.533150044442559,8.533150044442559
hand_heart2,y14_trans,-7.011280227767061,7.011280227767061
hand_heart2,x0_trans,-5.20876257054091,5.20876257054091
hand_heart2,y6_trans,-3.768872307827299,3.768872307827299
hand_heart2,x1_trans,3.740884953602137,3.740884953602137
hand_heart2,y18_trans,-3.705302994372786,3.705302994372786
hand_heart2,y20_trans,3.556710322819326,3.556710322819326
hand_heart2,y11_trans,-3.0786871818538515,3.0786871818538515
hand_heart2,y1_trans,-3.0228758171780643,3.0228758171780643
holy,y1_trans,-13.157845877772495,13.157845877772495
holy,y16_trans,-8.462609730918363,8.462609730918363
holy,y12_trans,-8.166603798787914,8.166603798787914
holy,x1_trans,6.869761294735347,6.869761294735347
holy,y8_trans,-6.2147839498767965,6.2147839498767965
holy,y18_trans,5.6439553563354,5.6439553563354
holy,x2_trans,-5.464013080292377,5.464013080292377
holy,x8_trans,-5.209806507174845,5.209806507174845
holy,y15_trans,-5.088965671654055,5.088965671654055
holy,y5_trans,5.04239115283554,5.04239115283554
like,y18_trans,11.247699855727175,11.247699855727175
like,y4_trans,-7.86263695736541,7.86263695736541
like,y16_trans,7.789815479513241,7.789815479513241
like,y5_trans,7.327540785998121,7.327540785998121
like,y1_trans,7.190708156824698,7.190708156824698
like,y14_trans,-6.441624730518828,6.441624730518828
like,x13_trans,-6.103008153175904,6.103008153175904
like,y11_trans,5.769973238727059,5.769973238727059
like,x9_trans,5.680977279260169,5.680977279260169
like,y8_trans,-5.6630885140981855,5.6630885140981855
little_finger,y20_trans,-14.138395003277623,14.138395003277623
little_finger,y16_trans,9.027504697416193,9.027504697416193
little_finger,y18_trans,7.54303717264251,7.54303717264251
little_finger,y19_trans,-6.335116591077093,6.335116591077093
little_finger,y8_trans,6.012607872615585,6.012607872615585
little_finger,y15_trans,5.771789096799378,5.771789096799378
little_finger,x8_trans,-5.549734082846968,5.549734082846968
little_finger,x12_trans,-5.396826923006051,5.396826923006051
little_finger,x11_trans,5.18373944465529,5.18373944465529
little_finger,x1_trans,5.108679678618527,5.108679678618527
middle_finger,y6_trans,-12.011841163980131,12.011841163980131
middle_finger,y14_trans,9.583955392209065,9.583955392209065
middle_finger,y3_trans,-8.487594191505442,8.487594191505442
middle_finger,y12_trans,-6.880636829370074,6.880636829370074
middle_finger,y8_trans,6.187498314945438,6.187498314945438
middle_finger,y13_trans,5.9241548799732415,5.9241548799732415
middle_finger,y18_trans,-5.5865008669681,5.5865008669681
middle_finger,y15_trans,5.310820798587074,5.310820798587074
middle_finger,y0_trans,-5.222807158202663,5.222807158202663
middle_finger,y17_trans,-4.808011108395116,4.808011108395116
mute,y3_trans,17.4380302894419,17.4380302894419
mute,y4_trans,-12.081799403476012,12.081799403476012
mute,y8_trans,-8.01013506422228,8.01013506422228
mute,x14_trans,7.456172794265993,7.456172794265993
mute,y14_trans,-7.389271314565727,7.389271314565727
mute,y17_trans,-7.344109034459606,7.344109034459606
mute,x13_trans,-7.306128370795404,7.306128370795404
mute,y1_trans,-7.200800571429837,7.200800571429837
mute,y6_trans,6.601362808062623,6.601362808062623
mute,y0_trans,6.262027976310683,6.262027976310683
no_gesture,x3_trans,-9.595955518096348,9.595955518096348
no_gesture,y1_trans,9.111728146999145,9.111728146999145
no_gesture,y13_trans,-7.60720509923781,7.60720509923781
no_gesture,x2_trans,7.365050247639175,7.365050247639175
no_gesture,y2_trans,-6.878402467337057,6.878402467337057
no_gesture,x17_trans,6.122445980752342,6.122445980752342
no_gesture,x13_trans,-5.777125826415669,5.777125826415669
no_gesture,y9_trans,5.466697088492048,5.466697088492048
no_gesture,x14_trans,5.46515648245366,5.46515648245366
no_gesture,y4_trans,5.357109015305097,5.357109015305097
ok,y8_trans,7.413528218586523,7.413528218586523
ok,x14_trans,6.504029156628177,6.504029156628177
ok,x5_trans,5.477188046922202,5.477188046922202
ok,x8_trans,4.599030222218568,4.599030222218568
ok,x13_trans,-4.554724369267133,4.554724369267133
ok,y3_trans,4.317839000419802,4.317839000419802
ok,y12_trans,-3.964990268231644,3.964990268231644
ok,y4_trans,-3.694371585417625,3.694371585417625
ok,x1_trans,-3.360559603410587,3.360559603410587
ok,x19_trans,-3.303907990854205,3.303907990854205
one,y2_trans,11.593114093110952,11.593114093110952
one,y9_trans,9.75028234904421,9.75028234904421
one,y8_trans,-8.088425088198152,8.088425088198152
one,x11_trans,-7.533866348943392,7.533866348943392
one,x14_trans,7.152518056640074,7.152518056640074
one,y12_trans,6.5045314435722394,6.5045314435722394
one,y3_trans,-6.481098727631162,6.481098727631162
one,x9_trans,-5.915177983480929,5.915177983480929
one,y7_trans,5.410817022434712,5.410817022434712
one,y13_trans,-5.301859146863259,5.301859146863259
palm,y18_trans,11.621439868658562,11.621439868658562
palm,y14_trans,-10.965220907946557,10.965220907946557
palm,y7_trans,10.58001260085183,10.58001260085183
palm,y19_trans,8.606448922791593,8.606448922791593
palm,y8_trans,-7.534052406292881,7.534052406292881
palm,y20_trans,-6.412498257174164,6.412498257174164
palm,y1_trans,-5.02508982404743,5.02508982404743
palm,y9_trans,4.7549280949387445,4.7549280949387445
palm,y2_trans,4.588120404985373,4.588120404985373
palm,y13_trans,-4.51710264444929,4.51710264444929
peace,y9_trans,-14.60568523385869,14.60568523385869
peace,y6_trans,13.561115196829228,13.561115196829228
peace,x10_trans,7.770540991315027,7.770540991315027
peace,y4_trans,-7.400632971774532,7.400632971774532
peace,y13_trans,6.747943473015333,6.747943473015333
peace,y2_trans,6.543056475452227,6.543056475452227
peace,x15_trans,-6.343565973835808,6.343565973835808
peace,x16_trans,6.176423625753373,6.176423625753373
peace,y12_trans,-6.024471058405996,6.024471058405996
peace,y11_trans,-5.867691432590256,5.867691432590256
peace_inverted,y2_trans,-13.92118407989892,13.92118407989892
peace_inverted,y5_trans,12.48492957441632,12.48492957441632
peace_inverted,y10_trans,-10.15670505765286,10.15670505765286
peace_inverted,x9_trans,9.697173264723931,9.697173264723931
peace_inverted,y19_trans,8.812754633371604,8.812754633371604
peace_inverted,y18_trans,-7.112522216944185,7.112522216944185
peace_inverted,x5_trans,-7.058992657323899,7.058992657323899
peace_inverted,y17_trans,-6.975310024790624,6.975310024790624
peace_inverted,y20_trans,6.318436467816032,6.318436467816032
peace_inverted,y0_trans,6.27412387844571,6.27412387844571
point,y7_trans,-12.026231818810512,12.026231818810512
point,y9_trans,-10.620416988264541,10.620416988264541
point,y4_trans,10.369039747377242,10.369039747377242
point,y8_trans,8.02652563267847,8.02652563267847
point,y2_trans,-7.9108798279455534,7.9108798279455534
point,y12_trans,7.429152215239224,7.429152215239224
point,x18_trans,7.324542836420524,7.324542836420524
point,y3_trans,-6.631891057757171,6.631891057757171
point,y17_trans,6.387323263306241,6.387323263306241
point,x10_trans,-6.172539954901286,6.172539954901286
rock,y20_trans,-13.4084365017413,13.4084365017413
rock,y9_trans,10.235398957946531,10.235398957946531
rock,y1_trans,-8.410597591730031,8.410597591730031
rock,y3_trans,8.39897130680597,8.39897130680597
rock,y15_trans,8.102828747865667,8.102828747865667
rock,y11_trans,6.738009746589787,6.738009746589787
rock,y10_trans,-6.314145498198919,6.314145498198919
rock,y7_trans,-4.95116657637463,4.95116657637463
rock,x17_trans,-4.9254438737671125,4.9254438737671125
rock,y12_trans,4.867496868211222,4.867496868211222
stop,y2_trans,12.127744343959654,12.127744343959654
stop,y4_trans,-10.562182254302979,10.562182254302979
stop,y7_trans,7.410015410829481,7.410015410829481
stop,x2_trans,-7.282708741517691,7.282708741517691
stop,y5_trans,-7.169354170628189,7.169354170628189
stop,y10_trans,6.504065752886155,6.504065752886155
stop,y3_trans,6.028817290346394,6.028817290346394
stop,x3_trans,5.144009042255596,5.144009042255596
stop,x14_trans,-5.058216814094564,5.058216814094564
stop,y8_trans,-4.9092788667584255,4.9092788667584255
stop_inverted,y2_trans,15.16965048287111,15.16965048287111
stop_inverted,y3_trans,-10.564478132461913,10.564478132461913
stop_inverted,y6_trans,-10.009041189794864,10.009041189794864
stop_inverted,y1_trans,-9.361658973021372,9.361658973021372
stop_inverted,x14_trans,-8.939652581376334,8.939652581376334
stop_inverted,x10_trans,7.611791284591707,7.611791284591707
stop_inverted,y10_trans,7.433343314785319,7.433343314785319
stop_inverted,y17_trans,5.8553057919950415,5.8553057919950415
stop_inverted,y15_trans,-4.733957640291168,4.733957640291168
stop_inverted,y18_trans,-4.72805929158534,4.72805929158534
take_picture,y10_trans,17.7480224783713,17.7480224783713
take_picture,y17_trans,-12.380544548544387,12.380544548544387
take_picture,y18_trans,-12.068429967046328,12.068429967046328
take_picture,y2_trans,11.26686844218553,11.26686844218553
take_picture,y11_trans,-9.237689531873754,9.237689531873754
take_picture,y0_trans,8.938861240868148,8.938861240868148
take_picture,y6_trans,-8.083963522528554,8.083963522528554
take_picture,x11_trans,-7.949554428384138,7.949554428384138
take_picture,y1_trans,-7.615987996161386,7.615987996161386
take_picture,y3_trans,-7.592268029865539,7.592268029865539
three,y20_trans,16.368507049380344,16.368507049380344
three,y18_trans,-12.736809933975234,12.736809933975234
three,y16_trans,-11.873369814726646,11.873369814726646
three,y14_trans,7.249502743971806,7.249502743971806
three,x4_trans,-6.370683743894148,6.370683743894148
three,x3_trans,6.0869845576009665,6.0869845576009665
three,y17_trans,-4.974170023922601,4.974170023922601
three,x11_trans,-4.6928782872353025,4.6928782872353025
three,x2_trans,4.652556692008135,4.652556692008135
three,x14_trans,4.441513114171305,4.441513114171305
three2,y1_trans,10.398266101143982,10.398266101143982
three2,y0_trans,-9.640662620796572,9.640662620796572
three2,y8_trans,-5.719827170765002,5.719827170765002
three2,y7_trans,5.65602195305877,5.65602195305877
three2,y15_trans,4.671432692241484,4.671432692241484
three2,y11_trans,-4.6605698373952755,4.6605698373952755
three2,y3_trans,-4.629073406018316,4.629073406018316
three2,x2_trans,-4.514062496440253,4.514062496440253
three2,y5_trans,-4.216048472387569,4.216048472387569
three2,x19_trans,4.105011025347178,4.105011025347178
three3,y20_trans,-14.476075396440617,14.476075396440617
three3,y16_trans,9.968487191470736,9.968487191470736
three3,y18_trans,7.9327636760601,7.9327636760601
three3,x7_trans,-4.780139189361036,4.780139189361036
three3,y15_trans,4.721379964914993,4.721379964914993
three3,x17_trans,-4.4318806528636125,4.4318806528636125
three3,y11_trans,-4.035663006520418,4.035663006520418
three3,y17_trans,3.999861789676312,3.999861789676312
three3,x10_trans,3.992083462813679,3.992083462813679
three3,x3_trans,-3.9111417767942283,3.9111417767942283
three_gun,y14_trans,19.851618250105563,19.851618250105563
three_gun,y9_trans,-11.787739491275659,11.787739491275659
three_gun,y7_trans,-11.626030035440232,11.626030035440232
three_gun,x9_trans,-9.477161006938815,9.477161006938815
three_gun,y4_trans,-9.464756672239185,9.464756672239185
three_gun,y18_trans,-9.46219952432095,9.46219952432095
three_gun,y2_trans,9.094778827297898,9.094778827297898
three_gun,y8_trans,8.17918016613863,8.17918016613863
three_gun,y16_trans,-7.21237638069704,7.21237638069704
three_gun,y19_trans,-6.726191003475074,6.726191003475074
