,precision,recall,f1-score,support
call,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
dislike,0.5,0.5294117647058824,0.5142857142857143,17.0
fist,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
four,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
grabbing,0.7142857142857143,0.5263157894736842,0.6060606060606061,19.0
grip,0.6666666666666666,0.8421052631578947,0.744186046511628,19.0
hand_heart,0.9523809523809523,1.0,0.975609756097561,20.0
hand_heart2,0.7,0.7,0.7,20.0
holy,0.5263157894736842,0.5555555555555556,0.5405405405405405,18.0
like,0.6818181818181818,0.8333333333333334,0.7499999999999999,18.0
little_finger,1.0,1.0,1.0,20.0
middle_finger,1.0,0.8421052631578947,0.9142857142857143,19.0
mute,0.65,0.7222222222222222,0.6842105263157895,18.0
no_gesture,0.3684210526315789,0.35,0.358974358974359,20.0
ok,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
one,0.8461538461538461,0.5789473684210527,0.6875,19.0
palm,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
peace,0.8235294117647058,0.7777777777777778,0.7999999999999999,18.0
peace_inverted,0.9230769230769231,0.6,0.7272727272727274,20.0
point,0.5652173913043478,0.7222222222222222,0.6341463414634146,18.0
rock,0.8888888888888888,0.8,0.8421052631578948,20.0
stop,0.7,0.7777777777777778,0.7368421052631577,18.0
stop_inverted,0.7272727272727273,0.8421052631578947,0.7804878048780488,19.0
take_picture,0.6521739130434783,0.75,0.6976744186046512,20.0
three,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
three2,0.7727272727272727,0.85,0.8095238095238095,20.0
three3,1.0,0.9,0.9473684210526316,20.0
three_gun,0.9473684210526315,0.9,0.9230769230769231,20.0
thumb_index,0.6111111111111112,0.5789473684210527,0.5945945945945946,19.0
thumb_index2,0.5789473684210527,0.55,0.5641025641025641,20.0
timeout,0.5263157894736842,0.5555555555555556,0.5405405405405405,18.0
two_up,0.7777777777777778,0.7368421052631579,0.7567567567567567,19.0
two_up_inverted,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
xsign,0.7727272727272727,0.8947368421052632,0.8292682926829269,19.0
accuracy,0.7593167701863354,0.7593167701863354,0.7593167701863354,0.7593167701863354
macro avg,0.7664696169920133,0.758673789433214,0.7584827722071465,644.0
weighted avg,0.768611168512073,0.7593167701863354,0.7598297761252067,644.0
