feature,importance
theta_1_2_3,0.1067563379906167
theta_5_6_7,0.08948460451904675
theta_17_18_19,0.08940172252255739
theta_9_10_11,0.08455903758704869
theta_0_5_6,0.08062850557650418
theta_13_14_15,0.07708040810699017
theta_2_3_4,0.06099338090476083
theta_0_1_2,0.05962391641734927
theta_0_9_10,0.05781994291435282
theta_0_17_18,0.055944492206160906
theta_6_7_8,0.05383759030029632
theta_10_11_12,0.050762281299949294
theta_0_13_14,0.04632063585641543
theta_18_19_20,0.04395816282597493
theta_14_15_16,0.0428289809719763
