,precision,recall,f1-score,support
call,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
dislike,0.6666666666666666,0.7058823529411765,0.6857142857142857,17.0
fist,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
four,0.9333333333333333,0.7368421052631579,0.8235294117647058,19.0
grabbing,0.8666666666666667,0.6842105263157895,0.7647058823529413,19.0
grip,0.7037037037037037,1.0,0.8260869565217391,19.0
hand_heart,1.0,0.95,0.9743589743589743,20.0
hand_heart2,1.0,0.9,0.9473684210526316,20.0
holy,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
like,0.85,0.9444444444444444,0.8947368421052632,18.0
little_finger,0.95,0.95,0.9500000000000001,20.0
middle_finger,1.0,0.8421052631578947,0.9142857142857143,19.0
mute,0.6666666666666666,0.6666666666666666,0.6666666666666666,18.0
no_gesture,0.5625,0.45,0.5,20.0
ok,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
one,0.7058823529411765,0.631578947368421,0.6666666666666667,19.0
palm,0.68,0.8947368421052632,0.7727272727272727,19.0
peace,0.8235294117647058,0.7777777777777778,0.7999999999999999,18.0
peace_inverted,0.8947368421052632,0.85,0.8717948717948718,20.0
point,0.7,0.7777777777777778,0.7368421052631577,18.0
rock,0.9411764705882353,0.8,0.8648648648648648,20.0
stop,0.52,0.7222222222222222,0.6046511627906976,18.0
stop_inverted,0.5416666666666666,0.6842105263157895,0.6046511627906976,19.0
take_picture,0.9444444444444444,0.85,0.8947368421052632,20.0
three,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
three2,0.9411764705882353,0.8,0.8648648648648648,20.0
three3,0.9473684210526315,0.9,0.9230769230769231,20.0
three_gun,1.0,0.9,0.9473684210526316,20.0
thumb_index,0.75,0.7894736842105263,0.7692307692307692,19.0
thumb_index2,0.7777777777777778,0.7,0.7368421052631577,20.0
timeout,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
two_up,0.7777777777777778,0.7368421052631579,0.7567567567567567,19.0
two_up_inverted,0.8,0.8888888888888888,0.8421052631578948,18.0
xsign,0.9,0.9473684210526315,0.9230769230769231,19.0
accuracy,0.8167701863354038,0.8167701863354038,0.8167701863354038,0.8167701863354038
macro avg,0.8261005804110431,0.8166074789048746,0.8173142540779196,644.0
weighted avg,0.8285388458714277,0.8167701863354038,0.8185987828340378,644.0
