,precision,recall,f1-score,support
call,0.85,0.9444444444444444,0.8947368421052632,18.0
dislike,0.7272727272727273,0.9411764705882353,0.8205128205128205,17.0
fist,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0
four,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
grabbing,0.7647058823529411,0.6842105263157895,0.7222222222222222,19.0
grip,0.8095238095238095,0.8947368421052632,0.8500000000000001,19.0
hand_heart,0.9523809523809523,1.0,0.975609756097561,20.0
hand_heart2,1.0,0.9,0.9473684210526316,20.0
holy,1.0,0.8888888888888888,0.9411764705882353,18.0
like,0.8181818181818182,1.0,0.9,18.0
little_finger,1.0,1.0,1.0,20.0
middle_finger,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
mute,0.875,0.7777777777777778,0.823529411764706,18.0
no_gesture,0.6818181818181818,0.75,0.7142857142857143,20.0
ok,1.0,0.8947368421052632,0.9444444444444444,19.0
one,0.75,0.631578947368421,0.6857142857142857,19.0
palm,1.0,0.8947368421052632,0.9444444444444444,19.0
peace,1.0,0.7777777777777778,0.8750000000000001,18.0
peace_inverted,0.9473684210526315,0.9,0.9230769230769231,20.0
point,0.6521739130434783,0.8333333333333334,0.7317073170731708,18.0
rock,0.9444444444444444,0.85,0.8947368421052632,20.0
stop,0.8,0.8888888888888888,0.8421052631578948,18.0
stop_inverted,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
take_picture,0.9523809523809523,1.0,0.975609756097561,20.0
three,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
three2,0.9444444444444444,0.85,0.8947368421052632,20.0
three3,0.9473684210526315,0.9,0.9230769230769231,20.0
three_gun,1.0,0.95,0.9743589743589743,20.0
thumb_index,0.6842105263157895,0.6842105263157895,0.6842105263157895,19.0
thumb_index2,0.8333333333333334,0.75,0.7894736842105262,20.0
timeout,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
two_up,0.8260869565217391,1.0,0.9047619047619047,19.0
two_up_inverted,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
xsign,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
accuracy,0.8726708074534162,0.8726708074534162,0.8726708074534162,0.8726708074534162
macro avg,0.8781301265881765,0.8726851008721341,0.8722742454023907,644.0
weighted avg,0.8798079082152785,0.8726708074534162,0.8731953073078561,644.0
