,precision,recall,f1-score,support
call,1.0,0.9444444444444444,0.9714285714285714,18.0
dislike,0.7647058823529411,0.7647058823529411,0.7647058823529412,17.0
fist,0.85,0.9444444444444444,0.8947368421052632,18.0
four,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
grabbing,0.8666666666666667,0.6842105263157895,0.7647058823529413,19.0
grip,0.782608695652174,0.9473684210526315,0.8571428571428571,19.0
hand_heart,1.0,1.0,1.0,20.0
hand_heart2,0.8571428571428571,0.9,0.8780487804878048,20.0
holy,0.8235294117647058,0.7777777777777778,0.7999999999999999,18.0
like,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
little_finger,1.0,1.0,1.0,20.0
middle_finger,0.85,0.8947368421052632,0.8717948717948718,19.0
mute,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0
no_gesture,0.5,0.6,0.5454545454545454,20.0
ok,1.0,0.8947368421052632,0.9444444444444444,19.0
one,0.9230769230769231,0.631578947368421,0.7499999999999999,19.0
palm,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
peace,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
peace_inverted,0.8888888888888888,0.8,0.8421052631578948,20.0
point,0.6956521739130435,0.8888888888888888,0.7804878048780488,18.0
rock,0.9444444444444444,0.85,0.8947368421052632,20.0
stop,0.6666666666666666,0.8888888888888888,0.761904761904762,18.0
stop_inverted,0.8,0.8421052631578947,0.8205128205128205,19.0
take_picture,0.9444444444444444,0.85,0.8947368421052632,20.0
three,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
three2,0.9444444444444444,0.85,0.8947368421052632,20.0
three3,1.0,0.9,0.9473684210526316,20.0
three_gun,0.95,0.95,0.9500000000000001,20.0
thumb_index,0.65,0.6842105263157895,0.6666666666666667,19.0
thumb_index2,0.75,0.75,0.75,20.0
timeout,0.7368421052631579,0.7777777777777778,0.7567567567567567,18.0
two_up,0.8181818181818182,0.9473684210526315,0.8780487804878049,19.0
two_up_inverted,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
xsign,0.9,0.9473684210526315,0.9230769230769231,19.0
accuracy,0.8509316770186336,0.8509316770186336,0.8509316770186336,0.8509316770186336
macro avg,0.859671460312628,0.8507421234747768,0.8517578046628911,644.0
weighted avg,0.8608526599476956,0.8509316770186336,0.8524683954946598,644.0
