,precision,recall,f1-score,support
call,0.4117647058823529,0.3888888888888889,0.39999999999999997,18.0
dislike,0.5909090909090909,0.7647058823529411,0.6666666666666667,17.0
fist,0.3793103448275862,0.6111111111111112,0.46808510638297873,18.0
four,0.4375,0.3684210526315789,0.39999999999999997,19.0
grabbing,0.4375,0.3684210526315789,0.39999999999999997,19.0
grip,0.5,0.5789473684210527,0.5365853658536586,19.0
hand_heart,0.8,0.8,0.8000000000000002,20.0
hand_heart2,0.75,0.75,0.75,20.0
holy,0.43478260869565216,0.5555555555555556,0.4878048780487805,18.0
like,0.2631578947368421,0.2777777777777778,0.27027027027027023,18.0
little_finger,0.7894736842105263,0.75,0.7692307692307692,20.0
middle_finger,0.8181818181818182,0.47368421052631576,0.6,19.0
mute,0.5909090909090909,0.7222222222222222,0.65,18.0
no_gesture,0.7857142857142857,0.55,0.6470588235294117,20.0
ok,0.75,0.631578947368421,0.6857142857142857,19.0
one,0.35294117647058826,0.3157894736842105,0.33333333333333337,19.0
palm,0.35294117647058826,0.3157894736842105,0.33333333333333337,19.0
peace,0.2727272727272727,0.16666666666666666,0.20689655172413793,18.0
peace_inverted,0.6470588235294118,0.55,0.5945945945945946,20.0
point,0.5263157894736842,0.5555555555555556,0.5405405405405405,18.0
rock,0.6666666666666666,0.5,0.5714285714285715,20.0
stop,0.30434782608695654,0.3888888888888889,0.34146341463414637,18.0
stop_inverted,0.6666666666666666,0.631578947368421,0.6486486486486486,19.0
take_picture,0.8333333333333334,0.75,0.7894736842105262,20.0
three,0.5833333333333334,0.3888888888888889,0.4666666666666666,18.0
three2,0.7142857142857143,0.5,0.588235294117647,20.0
three3,0.6363636363636364,0.7,0.6666666666666666,20.0
three_gun,0.44,0.55,0.48888888888888893,20.0
thumb_index,0.45454545454545453,0.2631578947368421,0.3333333333333333,19.0
thumb_index2,0.5185185185185185,0.7,0.5957446808510639,20.0
timeout,0.4,0.5555555555555556,0.46511627906976744,18.0
two_up,0.38461538461538464,0.5263157894736842,0.4444444444444444,19.0
two_up_inverted,0.3888888888888889,0.3888888888888889,0.3888888888888889,18.0
xsign,0.6956521739130435,0.8421052631578947,0.761904761904762,19.0
accuracy,0.5372670807453416,0.5372670807453416,0.5372670807453416,0.5372670807453416
macro avg,0.5464236870575407,0.5347204516481515,0.5320887865581406,644.0
weighted avg,0.5509841002553006,0.5372670807453416,0.5356702052181949,644.0
