,precision,recall,f1-score,support
call,0.6666666666666666,0.6666666666666666,0.6666666666666666,18.0
dislike,0.5,0.5294117647058824,0.5142857142857143,17.0
fist,0.4482758620689655,0.7222222222222222,0.5531914893617021,18.0
four,0.42105263157894735,0.42105263157894735,0.42105263157894735,19.0
grabbing,0.3793103448275862,0.5789473684210527,0.45833333333333337,19.0
grip,0.7368421052631579,0.7368421052631579,0.7368421052631579,19.0
hand_heart,0.6956521739130435,0.8,0.7441860465116279,20.0
hand_heart2,0.6190476190476191,0.65,0.6341463414634146,20.0
holy,0.7647058823529411,0.7222222222222222,0.7428571428571428,18.0
like,0.42857142857142855,0.5,0.4615384615384615,18.0
little_finger,0.7333333333333333,0.55,0.6285714285714286,20.0
middle_finger,0.5714285714285714,0.42105263157894735,0.48484848484848486,19.0
mute,0.5294117647058824,0.5,0.5142857142857143,18.0
no_gesture,0.42105263157894735,0.4,0.41025641025641024,20.0
ok,0.75,0.631578947368421,0.6857142857142857,19.0
one,0.4666666666666667,0.3684210526315789,0.4117647058823529,19.0
palm,0.5,0.47368421052631576,0.4864864864864865,19.0
peace,0.29411764705882354,0.2777777777777778,0.28571428571428575,18.0
peace_inverted,0.45454545454545453,0.5,0.47619047619047616,20.0
point,0.45454545454545453,0.5555555555555556,0.5,18.0
rock,0.5833333333333334,0.35,0.4375,20.0
stop,0.55,0.6111111111111112,0.5789473684210527,18.0
stop_inverted,0.7333333333333333,0.5789473684210527,0.6470588235294117,19.0
take_picture,0.8095238095238095,0.85,0.8292682926829269,20.0
three,0.5555555555555556,0.2777777777777778,0.3703703703703704,18.0
three2,0.6363636363636364,0.7,0.6666666666666666,20.0
three3,0.7777777777777778,0.7,0.7368421052631577,20.0
three_gun,0.6190476190476191,0.65,0.6341463414634146,20.0
thumb_index,0.6,0.47368421052631576,0.5294117647058824,19.0
thumb_index2,0.6111111111111112,0.55,0.5789473684210527,20.0
timeout,0.75,0.8333333333333334,0.7894736842105262,18.0
two_up,0.2692307692307692,0.3684210526315789,0.3111111111111111,19.0
two_up_inverted,0.375,0.3333333333333333,0.35294117647058826,18.0
xsign,0.5909090909090909,0.6842105263157895,0.6341463414634148,19.0
accuracy,0.5590062111801242,0.5590062111801242,0.5590062111801242,0.5590062111801242
macro avg,0.5675415374805743,0.55783099617556,0.5562871654585196,644.0
weighted avg,0.5695275954200325,0.5590062111801242,0.5579094294646372,644.0
