,precision,recall,f1-score,support
call,0.7619047619047619,0.8888888888888888,0.8205128205128205,18.0
dislike,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
fist,0.6538461538461539,0.9444444444444444,0.7727272727272727,18.0
four,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
grabbing,0.7333333333333333,0.5789473684210527,0.6470588235294117,19.0
grip,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
hand_heart,0.9473684210526315,0.9,0.9230769230769231,20.0
hand_heart2,0.9,0.9,0.9,20.0
holy,0.875,0.7777777777777778,0.823529411764706,18.0
like,0.9473684210526315,1.0,0.972972972972973,18.0
little_finger,1.0,1.0,1.0,20.0
middle_finger,0.7619047619047619,0.8421052631578947,0.8,19.0
mute,0.8235294117647058,0.7777777777777778,0.7999999999999999,18.0
no_gesture,0.7222222222222222,0.65,0.6842105263157895,20.0
ok,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
one,0.9230769230769231,0.631578947368421,0.7499999999999999,19.0
palm,0.9,0.9473684210526315,0.9230769230769231,19.0
peace,0.8,0.6666666666666666,0.7272727272727272,18.0
peace_inverted,0.9,0.9,0.9,20.0
point,0.75,0.8333333333333334,0.7894736842105262,18.0
rock,0.8947368421052632,0.85,0.8717948717948718,20.0
stop,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
stop_inverted,0.85,0.8947368421052632,0.8717948717948718,19.0
take_picture,1.0,1.0,1.0,20.0
three,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
three2,0.9,0.9,0.9,20.0
three3,0.8181818181818182,0.9,0.8571428571428572,20.0
three_gun,0.9047619047619048,0.95,0.9268292682926829,20.0
thumb_index,0.65,0.6842105263157895,0.6666666666666667,19.0
thumb_index2,0.8421052631578947,0.8,0.8205128205128205,20.0
timeout,0.75,0.8333333333333334,0.7894736842105262,18.0
two_up,0.7222222222222222,0.6842105263157895,0.7027027027027027,19.0
two_up_inverted,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
xsign,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
accuracy,0.8462732919254659,0.8462732919254659,0.8462732919254659,0.8462732919254659
macro avg,0.8485719265153794,0.8460081142880268,0.8444087911072689,644.0
weighted avg,0.8498358929485499,0.8462732919254659,0.8452348436402419,644.0
