,precision,recall,f1-score,support
call,0.8,0.8888888888888888,0.8421052631578948,18.0
dislike,0.7619047619047619,0.9411764705882353,0.8421052631578947,17.0
fist,0.7727272727272727,0.9444444444444444,0.85,18.0
four,0.8125,0.6842105263157895,0.742857142857143,19.0
grabbing,0.7333333333333333,0.5789473684210527,0.6470588235294117,19.0
grip,0.9375,0.7894736842105263,0.8571428571428572,19.0
hand_heart,1.0,0.75,0.8571428571428571,20.0
hand_heart2,0.8181818181818182,0.9,0.8571428571428572,20.0
holy,0.8181818181818182,1.0,0.9,18.0
like,0.7272727272727273,0.8888888888888888,0.7999999999999999,18.0
little_finger,1.0,1.0,1.0,20.0
middle_finger,0.7272727272727273,0.8421052631578947,0.7804878048780488,19.0
mute,0.75,0.6666666666666666,0.7058823529411765,18.0
no_gesture,0.7368421052631579,0.7,0.717948717948718,20.0
ok,0.7727272727272727,0.8947368421052632,0.8292682926829269,19.0
one,0.75,0.631578947368421,0.6857142857142857,19.0
palm,0.7777777777777778,0.7368421052631579,0.7567567567567567,19.0
peace,0.8333333333333334,0.5555555555555556,0.6666666666666667,18.0
peace_inverted,0.64,0.8,0.7111111111111111,20.0
point,0.631578947368421,0.6666666666666666,0.6486486486486486,18.0
rock,0.8947368421052632,0.85,0.8717948717948718,20.0
stop,0.47368421052631576,0.5,0.4864864864864865,18.0
stop_inverted,0.6,0.631578947368421,0.6153846153846154,19.0
take_picture,1.0,0.85,0.9189189189189189,20.0
three,0.7142857142857143,0.8333333333333334,0.7692307692307692,18.0
three2,0.9411764705882353,0.8,0.8648648648648648,20.0
three3,0.95,0.95,0.9500000000000001,20.0
three_gun,0.85,0.85,0.85,20.0
thumb_index,0.6,0.631578947368421,0.6153846153846154,19.0
thumb_index2,0.7058823529411765,0.6,0.6486486486486486,20.0
timeout,0.9285714285714286,0.7222222222222222,0.8125000000000001,18.0
two_up,0.75,0.7894736842105263,0.7692307692307692,19.0
two_up_inverted,0.5909090909090909,0.7222222222222222,0.65,18.0
xsign,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
accuracy,0.7795031055900621,0.7795031055900621,0.7795031055900621,0.7795031055900621
macro avg,0.786612483815179,0.7789802505109371,0.777629505304198,644.0
weighted avg,0.7890126243271736,0.7795031055900621,0.7791622710568903,644.0
