,precision,recall,f1-score,support
0,0.4166666666666667,0.625,0.5,8.0
1,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
2,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
3,1.0,1.0,1.0,14.0
4,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
5,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
6,0.8,0.7272727272727273,0.761904761904762,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,1.0,1.0,1.0,13.0
c,0.625,0.5555555555555556,0.5882352941176471,9.0
d,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
h,0.9166666666666666,1.0,0.9565217391304348,11.0
i,0.8461538461538461,0.9166666666666666,0.8799999999999999,12.0
j,0.6,0.6,0.6,5.0
k,1.0,1.0,1.0,14.0
l,1.0,0.9285714285714286,0.962962962962963,14.0
m,0.25,0.3333333333333333,0.28571428571428575,3.0
n,0.25,0.25,0.25,4.0
o,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
p,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
q,1.0,0.75,0.8571428571428571,4.0
r,0.9166666666666666,1.0,0.9565217391304348,11.0
s,1.0,0.6666666666666666,0.8,3.0
t,1.0,0.5,0.6666666666666666,2.0
u,1.0,0.8461538461538461,0.9166666666666666,13.0
v,0.8571428571428571,0.9230769230769231,0.888888888888889,13.0
w,0.7692307692307693,0.8333333333333334,0.8,12.0
x,1.0,1.0,1.0,10.0
y,1.0,0.8888888888888888,0.9411764705882353,9.0
z,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
accuracy,0.8614130434782609,0.8614130434782609,0.8614130434782609,0.8614130434782609
macro avg,0.8350314037814037,0.8103363457530124,0.8171928742481457,368.0
weighted avg,0.8705271404320317,0.8614130434782609,0.863538383155099,368.0
