,theta_0_1_2,theta_1_2_3,theta_2_3_4,theta_0_5_6,theta_5_6_7,theta_6_7_8,theta_0_9_10,theta_9_10_11,theta_10_11_12,theta_0_13_14,theta_13_14_15,theta_14_15_16,theta_0_17_18,theta_17_18_19,theta_18_19_20
0,-1.2135299187184696,2.4015647936149978,-0.6654281054724728,-1.7245613594297429,-1.2185014399218093,-0.8341162877378493,-1.2247336180158166,0.39314726658495824,-2.277965606794044,-0.8172363603693502,2.6324836667379863,0.6028016602924521,0.5357784025929286,1.1857022810903741,0.19649971385881254
1,-1.0240173981410634,0.566161341760099,0.5284299011786335,3.136551585120711,5.4807635663583465,0.4380748794849546,-0.33344779722782497,-5.020099139522675,-0.23516227734147777,0.7087007758158088,-0.22814147145143032,-0.9929529639610092,-1.818583816611996,-1.1581074999268086,-0.5984765579674063
2,0.6237095410318196,-3.0046177196874417,0.5829428339738169,5.431797393289097,1.044729916363703,0.6840913269407684,-3.7668417463500536,3.2224382379360748,2.6847957208254947,0.8216035577865172,-1.5873672368586835,-2.3764253844372734,-0.16505354531604371,-1.5024879250035674,-0.5644707092146549
3,0.9112144604872408,8.615911671595349,2.67490108119057,5.030394082988933,1.01620987457236,1.9577793608869842,-0.193093791529341,2.5915041835486727,0.33777818437755824,-1.4015272061524573,-1.8051990593639338,0.48839720852497287,-0.2791965629113452,-1.7468601509858637,1.1571038264575964
4,-0.8045100301123995,-0.9543486293240724,0.47028470567146147,5.264175364440531,1.4344980642763572,0.5206124398895997,2.641317717614219,2.659156688290691,-1.6834740359344769,0.01833983158157359,4.029408788478707,2.4598858009445803,1.3076883801427417,2.9676756441323437,1.875570712177163
5,-0.1943849266027972,2.2704427020866853,-0.45060645241174535,3.1335140608735386,1.3347298873135973,1.8690858184928911,-0.12832532789199014,1.875806217487467,3.467137744177147,-0.45057405177438287,3.3935094016139393,-0.0032692209887149426,3.5650918416839357,1.997251301957019,-0.01708799378385984
6,-1.3332247671768656,-2.40614436848896,-0.3230391808342199,0.14990219498675517,2.2375074144970677,-0.6788740744819134,0.9828549898142878,0.4597021310146709,2.930443703979138,-1.8266533747827127,4.101798445427692,1.9848477115756966,0.34870138197335016,-2.00861094965239,-1.3244129317602251
7,0.629480172504141,-2.8539558759360744,-0.3236467561921204,1.3994450664393787,1.008837648311162,0.3428690454075188,0.3096789083230606,0.14969484750521134,0.17657061090133053,1.1835380540915545,-1.991327210567708,-2.906009529767533,1.164845300694921,3.9235725496642497,1.1764746673063093
8,-0.781447454377086,1.8205532453120365,-1.2399203980242164,-0.15127957532724962,2.0900479869543567,-0.822232064907233,-1.291797733677005,-3.018437665971833,-0.059421589237121174,-0.43632850618559504,2.3629196530055943,0.8936773096803667,0.5868815632682035,3.3748823957896326,1.0758718024829028
9,2.920904670960722,-1.4939086028128596,-2.4666305768596684,1.9651307597212515,-1.5694546207615796,-1.5184457295445604,3.712957492977792,1.7295419325003676,-0.11990235584911352,-0.241321172669773,1.6947886893185566,0.8943281722625778,5.6124402357508725,1.4275482042449725,-0.41619601402466033
