class,feature,coefficient,abs_coefficient
r,theta_0_9_10,9.072507231458813,9.072507231458813
3,theta_1_2_3,8.615911671595349,8.615911671595349
l,theta_9_10_11,-6.582388749333587,6.582388749333587
l,theta_1_2_3,6.4859394181606085,6.4859394181606085
h,theta_0_5_6,-5.881309984468161,5.881309984468161
9,theta_0_17_18,5.6124402357508725,5.6124402357508725
d,theta_0_5_6,5.5647381266743965,5.5647381266743965
1,theta_5_6_7,5.4807635663583465,5.4807635663583465
2,theta_0_5_6,5.431797393289097,5.431797393289097
v,theta_1_2_3,-5.305759976076882,5.305759976076882
4,theta_0_5_6,5.264175364440531,5.264175364440531
n,theta_5_6_7,-5.258191984797819,5.258191984797819
3,theta_0_5_6,5.030394082988933,5.030394082988933
1,theta_9_10_11,-5.020099139522675,5.020099139522675
p,theta_1_2_3,4.8357943263297445,4.8357943263297445
w,theta_13_14_15,4.834994987316652,4.834994987316652
r,theta_0_5_6,-4.733648668514305,4.733648668514305
d,theta_1_2_3,-4.5642704119144675,4.5642704119144675
d,theta_5_6_7,4.56169005523068,4.56169005523068
s,theta_5_6_7,-4.47296509767216,4.47296509767216
x,theta_0_9_10,-4.443378269692999,4.443378269692999
h,theta_9_10_11,4.426176333929811,4.426176333929811
d,theta_9_10_11,-4.306287899165286,4.306287899165286
p,theta_5_6_7,4.305525426190835,4.305525426190835
n,theta_6_7_8,-4.284540773850527,4.284540773850527
