class,feature,coefficient,abs_coefficient
0,theta_13_14_15,2.6324836667379863,2.6324836667379863
0,theta_1_2_3,2.4015647936149978,2.4015647936149978
0,theta_10_11_12,-2.277965606794044,2.277965606794044
0,theta_0_5_6,-1.7245613594297429,1.7245613594297429
0,theta_0_9_10,-1.2247336180158166,1.2247336180158166
0,theta_5_6_7,-1.2185014399218093,1.2185014399218093
0,theta_0_1_2,-1.2135299187184696,1.2135299187184696
0,theta_17_18_19,1.1857022810903741,1.1857022810903741
0,theta_6_7_8,-0.8341162877378493,0.8341162877378493
0,theta_0_13_14,-0.8172363603693502,0.8172363603693502
1,theta_5_6_7,5.4807635663583465,5.4807635663583465
1,theta_9_10_11,-5.020099139522675,5.020099139522675
1,theta_0_5_6,3.136551585120711,3.136551585120711
1,theta_0_17_18,-1.818583816611996,1.818583816611996
1,theta_17_18_19,-1.1581074999268086,1.1581074999268086
1,theta_0_1_2,-1.0240173981410634,1.0240173981410634
1,theta_14_15_16,-0.9929529639610092,0.9929529639610092
1,theta_0_13_14,0.7087007758158088,0.7087007758158088
1,theta_18_19_20,-0.5984765579674063,0.5984765579674063
1,theta_1_2_3,0.566161341760099,0.566161341760099
2,theta_0_5_6,5.431797393289097,5.431797393289097
2,theta_0_9_10,-3.7668417463500536,3.7668417463500536
2,theta_9_10_11,3.2224382379360748,3.2224382379360748
2,theta_1_2_3,-3.0046177196874417,3.0046177196874417
2,theta_10_11_12,2.6847957208254947,2.6847957208254947
2,theta_14_15_16,-2.3764253844372734,2.3764253844372734
2,theta_13_14_15,-1.5873672368586835,1.5873672368586835
2,theta_17_18_19,-1.5024879250035674,1.5024879250035674
2,theta_5_6_7,1.044729916363703,1.044729916363703
2,theta_0_13_14,0.8216035577865172,0.8216035577865172
3,theta_1_2_3,8.615911671595349,8.615911671595349
3,theta_0_5_6,5.030394082988933,5.030394082988933
3,theta_2_3_4,2.67490108119057,2.67490108119057
3,theta_9_10_11,2.5915041835486727,2.5915041835486727
3,theta_6_7_8,1.9577793608869842,1.9577793608869842
3,theta_13_14_15,-1.8051990593639338,1.8051990593639338
3,theta_17_18_19,-1.7468601509858637,1.7468601509858637
3,theta_0_13_14,-1.4015272061524573,1.4015272061524573
3,theta_18_19_20,1.1571038264575964,1.1571038264575964
3,theta_5_6_7,1.01620987457236,1.01620987457236
4,theta_0_5_6,5.264175364440531,5.264175364440531
4,theta_13_14_15,4.029408788478707,4.029408788478707
4,theta_17_18_19,2.9676756441323437,2.9676756441323437
4,theta_9_10_11,2.659156688290691,2.659156688290691
4,theta_0_9_10,2.641317717614219,2.641317717614219
4,theta_14_15_16,2.4598858009445803,2.4598858009445803
4,theta_18_19_20,1.875570712177163,1.875570712177163
4,theta_10_11_12,-1.6834740359344769,1.6834740359344769
4,theta_5_6_7,1.4344980642763572,1.4344980642763572
4,theta_0_17_18,1.3076883801427417,1.3076883801427417
5,theta_0_17_18,3.5650918416839357,3.5650918416839357
5,theta_10_11_12,3.467137744177147,3.467137744177147
5,theta_13_14_15,3.3935094016139393,3.3935094016139393
